"Status","Year","Disability","Region_ITL2","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","No function","170","160","28310","26100"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Unknown","260","240","30050","29290"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","[c]","[c]","[c]","[c]"
