"Status","Year","Sexual_orientation","Ethnicity","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Asian","16-19","60","60","22730","21010"
"In post","2021","Heterosexual / straight","Asian","20-29","5160","5050","29140","27570"
"In post","2021","Heterosexual / straight","Asian","30-39","6910","6540","33140","29380"
"In post","2021","Heterosexual / straight","Asian","40-49","6130","5680","35260","30820"
"In post","2021","Heterosexual / straight","Asian","50-59","4090","3850","34250","30170"
"In post","2021","Heterosexual / straight","Asian","60-64","950","820","32100","28810"
"In post","2021","Heterosexual / straight","Asian","65+","420","320","31040","27760"
"In post","2021","Heterosexual / straight","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","20-29","1950","1920","29930","29290"
"In post","2021","Heterosexual / straight","Black","30-39","2760","2670","32670","31060"
"In post","2021","Heterosexual / straight","Black","40-49","3070","2950","34000","31060"
"In post","2021","Heterosexual / straight","Black","50-59","4090","3960","33930","30920"
"In post","2021","Heterosexual / straight","Black","60-64","850","780","31420","29300"
"In post","2021","Heterosexual / straight","Black","65+","220","190","29510","26150"
"In post","2021","Heterosexual / straight","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","20-29","190","190","33560","30610"
"In post","2021","Heterosexual / straight","Chinese","30-39","270","260","38790","35110"
"In post","2021","Heterosexual / straight","Chinese","40-49","260","240","36610","31810"
"In post","2021","Heterosexual / straight","Chinese","50-59","160","150","36120","30160"
"In post","2021","Heterosexual / straight","Chinese","60-64","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","20-29","1700","1670","30620","28650"
"In post","2021","Heterosexual / straight","Mixed","30-39","1860","1770","36460","31810"
"In post","2021","Heterosexual / straight","Mixed","40-49","1360","1280","38690","33530"
"In post","2021","Heterosexual / straight","Mixed","50-59","1130","1080","36750","31860"
"In post","2021","Heterosexual / straight","Mixed","60-64","250","220","33630","28200"
"In post","2021","Heterosexual / straight","Mixed","65+","80","60","30720","27130"
"In post","2021","Heterosexual / straight","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","20-29","360","350","31720","30650"
"In post","2021","Heterosexual / straight","Other ethnicity","30-39","500","480","37050","33260"
"In post","2021","Heterosexual / straight","Other ethnicity","40-49","440","420","37390","31300"
"In post","2021","Heterosexual / straight","Other ethnicity","50-59","390","370","37650","31760"
"In post","2021","Heterosexual / straight","Other ethnicity","60-64","100","90","36040","30250"
"In post","2021","Heterosexual / straight","Other ethnicity","65+","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","20-29","280","270","29470","27570"
"In post","2021","Heterosexual / straight","Undeclared","30-39","610","590","34190","30930"
"In post","2021","Heterosexual / straight","Undeclared","40-49","690","650","34020","29980"
"In post","2021","Heterosexual / straight","Undeclared","50-59","980","930","33630","29720"
"In post","2021","Heterosexual / straight","Undeclared","60-64","230","190","29730","27570"
"In post","2021","Heterosexual / straight","Undeclared","65+","90","70","28730","27310"
"In post","2021","Heterosexual / straight","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","20-29","510","500","29530","27570"
"In post","2021","Heterosexual / straight","Unknown","30-39","770","730","32990","30190"
"In post","2021","Heterosexual / straight","Unknown","40-49","720","660","36530","31610"
