"Status","Year","Disability","Responsibility_level","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","AA/AO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Commercial","70","60","22520","21590"
"In post","2021","Declared disabled","AA/AO","Communications","80","60","21260","21130"
"In post","2021","Declared disabled","AA/AO","Counter Fraud","110","100","21730","21440"
"In post","2021","Declared disabled","AA/AO","Debt","280","240","21260","20220"
"In post","2021","Declared disabled","AA/AO","Digital, Data & Technology","50","40","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Finance","150","120","21110","21180"
"In post","2021","Declared disabled","AA/AO","Grants Management","80","70","21050","21050"
"In post","2021","Declared disabled","AA/AO","Human Resources","200","180","21450","21130"
"In post","2021","Declared disabled","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Legal","200","180","22460","21950"
"In post","2021","Declared disabled","AA/AO","No function","6700","5930","22540","21440"
"In post","2021","Declared disabled","AA/AO","Project Delivery","60","60","21790","21490"
"In post","2021","Declared disabled","AA/AO","Property","160","150","21430","21100"
"In post","2021","Declared disabled","AA/AO","Security","350","340","26690","21130"
"In post","2021","Declared disabled","AA/AO","Unknown","7040","6070","21290","21010"
"In post","2021","Declared disabled","EO","Analysis","60","60","27130","27200"
"In post","2021","Declared disabled","EO","Commercial","90","80","27240","26780"
"In post","2021","Declared disabled","EO","Communications","200","190","25920","25560"
"In post","2021","Declared disabled","EO","Counter Fraud","270","250","27130","25720"
"In post","2021","Declared disabled","EO","Debt","80","70","26780","25560"
"In post","2021","Declared disabled","EO","Digital, Data & Technology","260","240","27470","26670"
"In post","2021","Declared disabled","EO","Finance","160","140","26090","26580"
"In post","2021","Declared disabled","EO","Grants Management","30","30","[c]","[c]"
"In post","2021","Declared disabled","EO","Human Resources","220","200","26930","26670"
"In post","2021","Declared disabled","EO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Legal","220","200","28050","28430"
"In post","2021","Declared disabled","EO","No function","3130","2910","27940","27130"
"In post","2021","Declared disabled","EO","Project Delivery","500","470","25080","26000"
"In post","2021","Declared disabled","EO","Property","160","140","27110","26670"
"In post","2021","Declared disabled","EO","Security","120","110","31780","27500"
"In post","2021","Declared disabled","EO","Unknown","10190","9120","27980","27570"
"In post","2021","Declared disabled","G6/G7","Analysis","160","150","58680","57390"
"In post","2021","Declared disabled","G6/G7","Commercial","80","80","60270","57370"
"In post","2021","Declared disabled","G6/G7","Communications","50","40","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Counter Fraud","90","80","57750","54700"
"In post","2021","Declared disabled","G6/G7","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Digital, Data & Technology","240","230","57470","56570"
"In post","2021","Declared disabled","G6/G7","Finance","150","150","57990","57910"
"In post","2021","Declared disabled","G6/G7","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Human Resources","250","240","57590","55570"
"In post","2021","Declared disabled","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Legal","500","450","59700","58040"
"In post","2021","Declared disabled","G6/G7","No function","1490","1440","57740","54730"
"In post","2021","Declared disabled","G6/G7","Project Delivery","570","560","57000","55620"
"In post","2021","Declared disabled","G6/G7","Property","100","100","57660","56360"
"In post","2021","Declared disabled","G6/G7","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Unknown","910","880","59840","57680"
"In post","2021","Declared disabled","SCS","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Digital, Data & Technology","[c]","[c]","[c]","[c]"
