"Status","Year","Age","Region_ITL2","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Bedfordshire and Hertfordshire","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bedfordshire and Hertfordshire","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cumbria","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cumbria","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","Tax","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","Economics","[c]","[c]","[c]","[c]"
