"Status","Year","Sex","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Attorney General's Departments","Heterosexual / straight","4490","4120","42960","40800"
"In post","2021","Female","Attorney General's Departments","LGBO","190","180","42110","33310"
"In post","2021","Female","Attorney General's Departments","Undeclared","230","210","46170","50520"
"In post","2021","Female","Attorney General's Departments","Unknown","1470","1280","45870","50520"
"In post","2021","Female","Cabinet Office","Heterosexual / straight","2470","2370","45960","40580"
"In post","2021","Female","Cabinet Office","LGBO","170","160","41470","34640"
"In post","2021","Female","Cabinet Office","Undeclared","230","220","45300","40580"
"In post","2021","Female","Cabinet Office","Unknown","2170","2130","42670","32000"
"In post","2021","Female","Chancellor's other departments","Heterosexual / straight","140","130","53500","46180"
"In post","2021","Female","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","Undeclared","30","30","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Heterosexual / straight","130","120","34350","29160"
"In post","2021","Female","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Unknown","100","90","34130","29320"
"In post","2021","Female","Competition and Markets Authority","Heterosexual / straight","360","350","58160","55860"
"In post","2021","Female","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Undeclared","30","30","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","3750","3520","40890","38000"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","LGBO","310","310","41820","39170"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Undeclared","430","400","42580","39580"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Unknown","1990","1850","34440","32730"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Heterosexual / straight","700","670","48940","51730"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","LGBO","80","80","41960","34130"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Undeclared","60","60","47810","51730"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Unknown","120","120","48210","51730"
"In post","2021","Female","Department for Education","Heterosexual / straight","3310","3130","43010","37710"
"In post","2021","Female","Department for Education","LGBO","200","200","42050","38620"
"In post","2021","Female","Department for Education","Undeclared","300","280","43130","38150"
"In post","2021","Female","Department for Education","Unknown","840","790","43820","40230"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Heterosexual / straight","4030","3730","35690","32560"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","LGBO","250","240","36000","32560"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Undeclared","450","410","35680","32560"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Unknown","1470","1340","32250","28170"
"In post","2021","Female","Department for International Trade","Heterosexual / straight","740","720","45780","40290"
"In post","2021","Female","Department for International Trade","LGBO","60","60","43870","38540"
"In post","2021","Female","Department for International Trade","Undeclared","70","70","44980","39340"
"In post","2021","Female","Department for International Trade","Unknown","400","390","42510","38540"
"In post","2021","Female","Department for Transport","Heterosexual / straight","4540","4060","31670","26700"
"In post","2021","Female","Department for Transport","LGBO","240","230","31720","26780"
"In post","2021","Female","Department for Transport","Undeclared","1410","1120","26160","21590"
"In post","2021","Female","Department for Transport","Unknown","1090","1000","29740","26130"
"In post","2021","Female","Department for Work and Pensions","Heterosexual / straight","39960","34910","27780","27570"
"In post","2021","Female","Department for Work and Pensions","LGBO","1740","1640","27970","27570"
"In post","2021","Female","Department for Work and Pensions","Undeclared","4810","4120","27190","27570"
"In post","2021","Female","Department for Work and Pensions","Unknown","14320","11800","26620","27570"
"In post","2021","Female","Department of Health and Social Care","Heterosexual / straight","4650","4270","42070","37470"
"In post","2021","Female","Department of Health and Social Care","LGBO","230","220","39370","32790"
"In post","2021","Female","Department of Health and Social Care","Undeclared","660","580","43630","38890"
"In post","2021","Female","Department of Health and Social Care","Unknown","2150","2020","46520","40650"
"In post","2021","Female","ESTYN","Heterosexual / straight","60","50","53540","62360"
"In post","2021","Female","ESTYN","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Heterosexual / straight","390","370","39120","37910"
"In post","2021","Female","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Undeclared","60","60","40570","40350"
"In post","2021","Female","Food Standards Agency","Unknown","60","60","38570","33150"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Heterosexual / straight","3020","2920","46180","39770"
"In post","2021","Female","Foreign, Commonwealth and Development Office","LGBO","150","150","42470","37530"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Undeclared","280","270","46460","40120"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Unknown","770","750","46740","43970"
"In post","2021","Female","HM Land Registry","Heterosexual / straight","2170","1910","31080","27130"
"In post","2021","Female","HM Land Registry","LGBO","60","50","27730","22350"
"In post","2021","Female","HM Land Registry","Undeclared","430","370","31780","27130"
"In post","2021","Female","HM Land Registry","Unknown","1150","1030","27860","27130"
"In post","2021","Female","HM Revenue and Customs","Heterosexual / straight","19790","17560","31790","28130"
"In post","2021","Female","HM Revenue and Customs","LGBO","930","870","31720","28130"
"In post","2021","Female","HM Revenue and Customs","Undeclared","2450","2120","31640","28130"
"In post","2021","Female","HM Revenue and Customs","Unknown","11880","10350","27080","24120"
"In post","2021","Female","HM Treasury","Heterosexual / straight","980","940","46540","42900"
"In post","2021","Female","HM Treasury","LGBO","80","80","47470","52500"
"In post","2021","Female","HM Treasury","Undeclared","140","140","41810","37080"
"In post","2021","Female","HM Treasury","Unknown","100","90","45800","39690"
"In post","2021","Female","Home Office","Heterosexual / straight","14900","13410","31300","27240"
"In post","2021","Female","Home Office","LGBO","490","470","31680","25960"
"In post","2021","Female","Home Office","Undeclared","2080","1850","31740","27370"
"In post","2021","Female","Home Office","Unknown","840","810","31540","27060"
"In post","2021","Female","Ministry of Defence","Heterosexual / straight","17580","16570","31990","28510"
"In post","2021","Female","Ministry of Defence","LGBO","630","610","31000","27540"
"In post","2021","Female","Ministry of Defence","Undeclared","2430","2290","32820","30380"
"In post","2021","Female","Ministry of Defence","Unknown","2180","2030","33870","32020"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","Heterosexual / straight","1320","1250","44740","40720"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","LGBO","100","100","42250","39600"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","Undeclared","110","110","45430","41650"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","Unknown","160","150","39150","32780"
"In post","2021","Female","Ministry of Justice","Heterosexual / straight","31190","28530","28800","25380"
"In post","2021","Female","Ministry of Justice","LGBO","2250","2190","29220","26810"
"In post","2021","Female","Ministry of Justice","Undeclared","3700","3350","29160","25790"
"In post","2021","Female","Ministry of Justice","Unknown","6290","5760","27650","24440"
"In post","2021","Female","National Crime Agency","Heterosexual / straight","1840","1760","37210","36200"
"In post","2021","Female","National Crime Agency","LGBO","110","110","36350","36410"
"In post","2021","Female","National Crime Agency","Undeclared","150","150","36610","34140"
"In post","2021","Female","National Crime Agency","Unknown","350","330","39420","37520"
"In post","2021","Female","Northern Ireland Office","Heterosexual / straight","50","50","44140","36860"
"In post","2021","Female","Northern Ireland Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland Office","Unknown","40","40","[c]","[c]"
"In post","2021","Female","Office for Standards in Education","Heterosexual / straight","990","940","49150","51360"
"In post","2021","Female","Office for Standards in Education","LGBO","50","50","50620","46360"
"In post","2021","Female","Office for Standards in Education","Undeclared","70","70","47120","39850"
"In post","2021","Female","Office for Standards in Education","Unknown","80","70","40910","39850"
"In post","2021","Female","Office of Gas and Electricity Markets","Heterosexual / straight","220","220","42830","38000"
"In post","2021","Female","Office of Gas and Electricity Markets","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Gas and Electricity Markets","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Gas and Electricity Markets","Unknown","270","260","44040","38550"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","Heterosexual / straight","100","100","41930","38510"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","Unknown","40","30","[c]","[c]"
"In post","2021","Female","Office of Rail and Road","Heterosexual / straight","80","70","49590","50810"
"In post","2021","Female","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Rail and Road","Unknown","40","40","[c]","[c]"
"In post","2021","Female","Other Cabinet Office Agencies","Heterosexual / straight","380","360","38870","35290"
"In post","2021","Female","Other Cabinet Office Agencies","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other Cabinet Office Agencies","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other Cabinet Office Agencies","Unknown","90","90","35590","32000"
"In post","2021","Female","Scotland Office","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Female","Scotland Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland Office","Unknown","30","30","[c]","[c]"
"In post","2021","Female","Scottish Government","Heterosexual / straight","6430","6010","38600","33650"
"In post","2021","Female","Scottish Government","LGBO","390","390","35220","32140"
"In post","2021","Female","Scottish Government","Undeclared","1500","1350","30370","26850"
"In post","2021","Female","Scottish Government","Unknown","3240","3000","34190","30080"
"In post","2021","Female","The National Archives","Heterosexual / straight","130","120","35060","33170"
"In post","2021","Female","The National Archives","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","The National Archives","Undeclared","30","30","[c]","[c]"
"In post","2021","Female","The National Archives","Unknown","120","110","36060","33450"
"In post","2021","Female","UK Export Finance","Heterosexual / straight","130","120","47970","43000"
"In post","2021","Female","UK Export Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","UK Export Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","UK Supreme Court","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Female","UK Supreme Court","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","UK Supreme Court","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","United Kingdom Statistics Authority","Heterosexual / straight","2050","1800","31950","29540"
"In post","2021","Female","United Kingdom Statistics Authority","LGBO","110","110","31450","29540"
"In post","2021","Female","United Kingdom Statistics Authority","Undeclared","110","100","31640","29540"
"In post","2021","Female","United Kingdom Statistics Authority","Unknown","840","730","29890","29540"
"In post","2021","Female","Wales Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Female","Wales Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Wales Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Water Services Regulation Authority","Heterosexual / straight","60","50","57100","51460"
"In post","2021","Female","Water Services Regulation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Water Services Regulation Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Water Services Regulation Authority","Unknown","70","60","55290","44680"
"In post","2021","Female","Welsh Government","Heterosexual / straight","2830","2610","39650","37410"
"In post","2021","Female","Welsh Government","LGBO","100","90","39740","37410"
"In post","2021","Female","Welsh Government","Undeclared","390","360","41020","37410"
"In post","2021","Female","Welsh Government","Unknown","110","100","39770","34490"
"In post","2021","Male","Attorney General's Departments","Heterosexual / straight","2280","2230","46660","48830"
"In post","2021","Male","Attorney General's Departments","LGBO","250","240","47650","50510"
"In post","2021","Male","Attorney General's Departments","Undeclared","150","150","49080","51250"
"In post","2021","Male","Attorney General's Departments","Unknown","780","760","49980","55450"
"In post","2021","Male","Cabinet Office","Heterosexual / straight","1940","1920","50540","49700"
"In post","2021","Male","Cabinet Office","LGBO","270","270","46990","43890"
"In post","2021","Male","Cabinet Office","Undeclared","280","270","49780","47050"
"In post","2021","Male","Cabinet Office","Unknown","1930","1920","48310","34640"
"In post","2021","Male","Chancellor's other departments","Heterosexual / straight","160","150","64840","55220"
"In post","2021","Male","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chancellor's other departments","Undeclared","60","50","62710","50540"
"In post","2021","Male","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Charity Commission","Heterosexual / straight","100","100","34560","29160"
"In post","2021","Male","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","Charity Commission","Unknown","80","70","37100","30980"
"In post","2021","Male","Competition and Markets Authority","Heterosexual / straight","320","320","61680","58320"
"In post","2021","Male","Competition and Markets Authority","LGBO","40","40","[c]","[c]"
