"Status","Year","Sex","Responsibility_level","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","AA/AO","Declared disabled","9230","7730","21540","21010"
"In post","2021","Female","AA/AO","Declared non-disabled","51590","43910","21730","21010"
"In post","2021","Female","AA/AO","Undeclared","4410","3780","22710","21430"
"In post","2021","Female","AA/AO","Unknown","14110","12530","21640","21050"
"In post","2021","Female","EO","Declared disabled","9790","8640","27630","27570"
"In post","2021","Female","EO","Declared non-disabled","50990","45570","27470","27570"
"In post","2021","Female","EO","Undeclared","3440","3150","27820","27570"
"In post","2021","Female","EO","Unknown","9240","8680","27730","27510"
"In post","2021","Female","G6/G7","Declared disabled","2460","2340","57990","55960"
"In post","2021","Female","G6/G7","Declared non-disabled","20920","19770","58360","56520"
"In post","2021","Female","G6/G7","Undeclared","1290","1230","58140","56350"
"In post","2021","Female","G6/G7","Unknown","5520","5240","58240","55610"
"In post","2021","Female","SCS","Declared disabled","200","190","86880","80000"
"In post","2021","Female","SCS","Declared non-disabled","2350","2230","87510","80320"
"In post","2021","Female","SCS","Undeclared","130","120","85140","80900"
"In post","2021","Female","SCS","Unknown","730","700","91630","81760"
"In post","2021","Female","SEO/HEO","Declared disabled","6530","6130","36150","35070"
"In post","2021","Female","SEO/HEO","Declared non-disabled","44650","42080","36390","35310"
"In post","2021","Female","SEO/HEO","Undeclared","3420","3250","36770","36160"
"In post","2021","Female","SEO/HEO","Unknown","11350","10860","35820","35050"
"In post","2021","Female","Unknown","Declared disabled","1870","1730","30500","30210"
"In post","2021","Female","Unknown","Declared non-disabled","7240","6630","30520","30210"
"In post","2021","Female","Unknown","Undeclared","410","380","31120","30210"
"In post","2021","Female","Unknown","Unknown","800","740","27890","23840"
"In post","2021","Male","AA/AO","Declared disabled","6310","5900","22630","21010"
"In post","2021","Male","AA/AO","Declared non-disabled","36950","35490","23350","21430"
"In post","2021","Male","AA/AO","Undeclared","5170","4830","25800","23240"
"In post","2021","Male","AA/AO","Unknown","12900","12440","22900","21130"
"In post","2021","Male","EO","Declared disabled","5890","5580","28070","27570"
"In post","2021","Male","EO","Declared non-disabled","36440","35110","27830","27570"
"In post","2021","Male","EO","Undeclared","3760","3610","28960","27570"
"In post","2021","Male","EO","Unknown","9340","9100","28380","27570"
"In post","2021","Male","G6/G7","Declared disabled","2160","2110","58760","57110"
"In post","2021","Male","G6/G7","Declared non-disabled","22280","21840","59400","57620"
"In post","2021","Male","G6/G7","Undeclared","1860","1830","58930","57130"
"In post","2021","Male","G6/G7","Unknown","5930","5820","59090","56520"
"In post","2021","Male","SCS","Declared disabled","220","220","90630","82230"
"In post","2021","Male","SCS","Declared non-disabled","2690","2640","92220","83800"
"In post","2021","Male","SCS","Undeclared","170","160","92240","83180"
"In post","2021","Male","SCS","Unknown","810","800","94100","83840"
"In post","2021","Male","SEO/HEO","Declared disabled","5270","5100","37150","36260"
"In post","2021","Male","SEO/HEO","Declared non-disabled","41540","40590","37430","36590"
"In post","2021","Male","SEO/HEO","Undeclared","4370","4270","37880","37280"
"In post","2021","Male","SEO/HEO","Unknown","11860","11630","36800","36160"
"In post","2021","Male","Unknown","Declared disabled","600","570","34000","33880"
"In post","2021","Male","Unknown","Declared non-disabled","3270","3190","35270","33360"
"In post","2021","Male","Unknown","Undeclared","300","290","35820","34120"
"In post","2021","Male","Unknown","Unknown","2080","2060","37310","33950"
"In post","2021","Unknown","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Female","AA/AO","Declared disabled","9420","7910","22030","21260"
"In post","2022","Female","AA/AO","Declared non-disabled","50520","43300","22190","21260"
"In post","2022","Female","AA/AO","Undeclared","4110","3520","23070","21550"
"In post","2022","Female","AA/AO","Unknown","13490","12030","22410","21680"
"In post","2022","Female","EO","Declared disabled","10170","8990","27830","27570"
"In post","2022","Female","EO","Declared non-disabled","50930","45700","27670","27570"
"In post","2022","Female","EO","Undeclared","3270","2970","28020","27570"
"In post","2022","Female","EO","Unknown","10510","9940","28160","27230"
"In post","2022","Female","G6/G7","Declared disabled","2960","2820","58090","55550"
"In post","2022","Female","G6/G7","Declared non-disabled","23080","21860","58590","56450"
"In post","2022","Female","G6/G7","Undeclared","1220","1170","58640","56650"
"In post","2022","Female","G6/G7","Unknown","6670","6370","58810","56060"
"In post","2022","Female","SCS","Declared disabled","250","240","85970","78460"
"In post","2022","Female","SCS","Declared non-disabled","2370","2260","87040","80000"
"In post","2022","Female","SCS","Undeclared","110","100","82090","78290"
"In post","2022","Female","SCS","Unknown","680","650","94070","84360"
"In post","2022","Female","SEO/HEO","Declared disabled","7420","7000","36520","35310"
"In post","2022","Female","SEO/HEO","Declared non-disabled","49070","46410","36820","35980"
"In post","2022","Female","SEO/HEO","Undeclared","3320","3150","37090","36150"
"In post","2022","Female","SEO/HEO","Unknown","13050","12540","36440","35900"
"In post","2022","Female","Unknown","Declared disabled","2650","2460","30650","28200"
"In post","2022","Female","Unknown","Declared non-disabled","9420","8710","30560","28200"
"In post","2022","Female","Unknown","Undeclared","580","530","31460","30200"
"In post","2022","Female","Unknown","Unknown","2790","2540","27900","25480"
"In post","2022","Male","AA/AO","Declared disabled","6310","5890","23040","21260"
"In post","2022","Male","AA/AO","Declared non-disabled","36380","34960","23730","21680"
"In post","2022","Male","AA/AO","Undeclared","4690","4360","25850","22750"
"In post","2022","Male","AA/AO","Unknown","12260","11820","23560","21680"
"In post","2022","Male","EO","Declared disabled","6110","5790","28220","27570"
