"Status","Year","Age","Function_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","West Lothian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Lambeth","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","York","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Barnet","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Brent","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Dudley","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","East Surrey","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Lambeth","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Leeds","40","30","[c]","[c]"
"In post","2021","16-19","No function","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Manchester","[c]","[c]","[c]","[c]"
