"Status","Year","Region_ITL1","Ethnicity","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Asian","Heterosexual / straight","1320","1210","27270","25560"
"In post","2021","East Midlands (England)","Asian","LGBO","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Undeclared","90","80","26450","22300"
"In post","2021","East Midlands (England)","Asian","Unknown","260","220","26150","25560"
"In post","2021","East Midlands (England)","Black","Heterosexual / straight","420","400","26960","25560"
"In post","2021","East Midlands (England)","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Unknown","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Heterosexual / straight","250","230","30290","27570"
"In post","2021","East Midlands (England)","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Unknown","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Heterosexual / straight","130","120","27210","27250"
"In post","2021","East Midlands (England)","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Undeclared","610","570","31080","27570"
"In post","2021","East Midlands (England)","Undeclared","Unknown","170","150","29200","27570"
"In post","2021","East Midlands (England)","Unknown","Heterosexual / straight","180","170","29520","27130"
"In post","2021","East Midlands (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Undeclared","100","90","31410","29700"
"In post","2021","East Midlands (England)","Unknown","Unknown","2420","2280","27290","25560"
"In post","2021","East Midlands (England)","White","Heterosexual / straight","11780","10940","30380","27570"
"In post","2021","East Midlands (England)","White","LGBO","690","670","29780","27570"
"In post","2021","East Midlands (England)","White","Undeclared","1140","1030","29620","27570"
"In post","2021","East Midlands (England)","White","Unknown","1500","1330","29440","27570"
"In post","2021","East of England","Asian","Heterosexual / straight","940","850","30070","27570"
"In post","2021","East of England","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Asian","Undeclared","80","70","29140","26260"
"In post","2021","East of England","Asian","Unknown","90","80","35130","28530"
"In post","2021","East of England","Black","Heterosexual / straight","500","480","30510","29290"
"In post","2021","East of England","Black","LGBO","[c]","[c]","[c]","[c]"
