"Status","Year","Responsibility_level","Sexual_orientation","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","EO","Heterosexual / straight","White","68770","63580","27510","27570"
"In post","2021","EO","LGBO","Asian","170","160","28390","27570"
"In post","2021","EO","LGBO","Black","130","130","29030","28770"
"In post","2021","EO","LGBO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","EO","LGBO","Mixed","180","180","28000","27570"
"In post","2021","EO","LGBO","Other ethnicity","50","50","[c]","[c]"
"In post","2021","EO","LGBO","Undeclared","90","80","28540","27570"
"In post","2021","EO","LGBO","Unknown","50","50","28640","27660"
"In post","2021","EO","LGBO","White","4290","4160","27510","27570"
"In post","2021","EO","Undeclared","Asian","570","510","28370","28550"
"In post","2021","EO","Undeclared","Black","280","270","29350","29370"
"In post","2021","EO","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Mixed","180","170","28040","27570"
"In post","2021","EO","Undeclared","Other ethnicity","80","70","28700","28670"
"In post","2021","EO","Undeclared","Undeclared","3440","3190","28010","27570"
"In post","2021","EO","Undeclared","Unknown","740","690","28470","29350"
"In post","2021","EO","Undeclared","White","6640","6000","27770","27570"
"In post","2021","EO","Unknown","Asian","1110","980","28500","27570"
"In post","2021","EO","Unknown","Black","620","570","29970","31020"
"In post","2021","EO","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Mixed","140","130","28420","27570"
"In post","2021","EO","Unknown","Other ethnicity","90","80","28380","27570"
"In post","2021","EO","Unknown","Undeclared","1410","1240","28650","27570"
"In post","2021","EO","Unknown","Unknown","13220","12640","27520","27420"
"In post","2021","EO","Unknown","White","10120","8850","27980","27570"
"In post","2021","G6/G7","Heterosexual / straight","Asian","2520","2460","58460","57410"
"In post","2021","G6/G7","Heterosexual / straight","Black","1080","1060","57830","56340"
"In post","2021","G6/G7","Heterosexual / straight","Chinese","190","190","58540","56760"
"In post","2021","G6/G7","Heterosexual / straight","Mixed","1000","970","58290","56350"
"In post","2021","G6/G7","Heterosexual / straight","Other ethnicity","290","270","59530","57460"
"In post","2021","G6/G7","Heterosexual / straight","Undeclared","320","310","59820","58040"
"In post","2021","G6/G7","Heterosexual / straight","Unknown","410","390","58580","56070"
"In post","2021","G6/G7","Heterosexual / straight","White","36180","34830","58840","57120"
"In post","2021","G6/G7","LGBO","Asian","80","70","58050","56000"
"In post","2021","G6/G7","LGBO","Black","40","40","[c]","[c]"
"In post","2021","G6/G7","LGBO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","LGBO","Mixed","120","120","57070","55680"
"In post","2021","G6/G7","LGBO","Other ethnicity","30","30","[c]","[c]"
"In post","2021","G6/G7","LGBO","Undeclared","40","40","[c]","[c]"
"In post","2021","G6/G7","LGBO","Unknown","40","40","[c]","[c]"
"In post","2021","G6/G7","LGBO","White","2420","2380","58640","56630"
"In post","2021","G6/G7","Undeclared","Asian","120","120","59130","57170"
"In post","2021","G6/G7","Undeclared","Black","50","50","57420","55630"
"In post","2021","G6/G7","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Mixed","70","70","58620","55330"
"In post","2021","G6/G7","Undeclared","Other ethnicity","70","70","61240","59160"
"In post","2021","G6/G7","Undeclared","Undeclared","1970","1910","58940","57430"
"In post","2021","G6/G7","Undeclared","Unknown","260","250","58880","57130"
"In post","2021","G6/G7","Undeclared","White","2760","2650","60030","57870"
"In post","2021","G6/G7","Unknown","Asian","280","270","59430","56610"
"In post","2021","G6/G7","Unknown","Black","110","110","59810","58940"
"In post","2021","G6/G7","Unknown","Chinese","30","30","[c]","[c]"
"In post","2021","G6/G7","Unknown","Mixed","100","90","59070","58030"
"In post","2021","G6/G7","Unknown","Other ethnicity","50","50","60530","59720"
"In post","2021","G6/G7","Unknown","Undeclared","510","490","56750","55020"
"In post","2021","G6/G7","Unknown","Unknown","7230","7010","58720","56200"
"In post","2021","G6/G7","Unknown","White","4020","3780","58490","56690"
"In post","2021","SCS","Heterosexual / straight","Asian","250","240","91810","89930"
"In post","2021","SCS","Heterosexual / straight","Black","80","70","92960","86320"
"In post","2021","SCS","Heterosexual / straight","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Heterosexual / straight","Mixed","110","110","82480","77840"
"In post","2021","SCS","Heterosexual / straight","Other ethnicity","40","30","[c]","[c]"
"In post","2021","SCS","Heterosexual / straight","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Heterosexual / straight","Unknown","50","50","93180","92350"
"In post","2021","SCS","Heterosexual / straight","White","4350","4200","90260","82470"
"In post","2021","SCS","LGBO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","SCS","LGBO","Black","[c]","[c]","[c]","[c]"
"In post","2021","SCS","LGBO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","SCS","LGBO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","SCS","LGBO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","SCS","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","SCS","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","LGBO","White","300","290","87190","78810"
"In post","2021","SCS","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","Undeclared","130","120","89210","82100"
"In post","2021","SCS","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","White","300","290","89660","82120"
"In post","2021","SCS","Unknown","Asian","40","40","[c]","[c]"
"In post","2021","SCS","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Unknown","Undeclared","40","40","[c]","[c]"
"In post","2021","SCS","Unknown","Unknown","1090","1070","90620","79410"
"In post","2021","SCS","Unknown","White","370","350","96180","86640"
"In post","2021","SEO/HEO","Heterosexual / straight","Asian","6290","6100","36870","36160"
"In post","2021","SEO/HEO","Heterosexual / straight","Black","3380","3320","37310","36240"
"In post","2021","SEO/HEO","Heterosexual / straight","Chinese","290","280","37530","36790"
"In post","2021","SEO/HEO","Heterosexual / straight","Mixed","1780","1740","36820","36160"
"In post","2021","SEO/HEO","Heterosexual / straight","Other ethnicity","520","500","37690","36650"
"In post","2021","SEO/HEO","Heterosexual / straight","Undeclared","690","670","37170","36470"
"In post","2021","SEO/HEO","Heterosexual / straight","Unknown","760","720","36980","36160"
"In post","2021","SEO/HEO","Heterosexual / straight","White","73350","70200","36890","36140"
"In post","2021","SEO/HEO","LGBO","Asian","140","140","37200","36160"
"In post","2021","SEO/HEO","LGBO","Black","70","70","38340","36680"
"In post","2021","SEO/HEO","LGBO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","LGBO","Mixed","200","200","36620","35940"
"In post","2021","SEO/HEO","LGBO","Other ethnicity","50","50","[c]","[c]"
"In post","2021","SEO/HEO","LGBO","Undeclared","60","50","36000","36040"
"In post","2021","SEO/HEO","LGBO","Unknown","60","50","37300","35000"
"In post","2021","SEO/HEO","LGBO","White","4570","4490","36040","35060"
"In post","2021","SEO/HEO","Undeclared","Asian","360","340","37510","36600"
"In post","2021","SEO/HEO","Undeclared","Black","180","170","37560","36800"
"In post","2021","SEO/HEO","Undeclared","Chinese","40","40","[c]","[c]"
"In post","2021","SEO/HEO","Undeclared","Mixed","150","140","36700","35200"
"In post","2021","SEO/HEO","Undeclared","Other ethnicity","80","80","39050","38160"
"In post","2021","SEO/HEO","Undeclared","Undeclared","4360","4190","37540","36860"
"In post","2021","SEO/HEO","Undeclared","Unknown","690","650","37530","35230"
"In post","2021","SEO/HEO","Undeclared","White","6170","5860","37370","36520"
"In post","2021","SEO/HEO","Unknown","Asian","630","610","37160","36650"
"In post","2021","SEO/HEO","Unknown","Black","280","270","37290","36650"
"In post","2021","SEO/HEO","Unknown","Chinese","40","40","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","Mixed","170","160","36870","36610"
"In post","2021","SEO/HEO","Unknown","Other ethnicity","60","60","40000","38530"
"In post","2021","SEO/HEO","Unknown","Undeclared","980","930","36810","36730"
"In post","2021","SEO/HEO","Unknown","Unknown","14950","14550","35530","34370"
"In post","2021","SEO/HEO","Unknown","White","7690","7230","37160","36380"
"In post","2021","Unknown","Heterosexual / straight","Asian","580","540","29940","28680"
"In post","2021","Unknown","Heterosexual / straight","Black","760","740","30930","28200"
"In post","2021","Unknown","Heterosexual / straight","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Mixed","330","310","30590","30210"
"In post","2021","Unknown","Heterosexual / straight","Other ethnicity","60","60","30190","31260"
"In post","2021","Unknown","Heterosexual / straight","Undeclared","90","90","31410","30210"
"In post","2021","Unknown","Heterosexual / straight","Unknown","120","110","31610","32690"
"In post","2021","Unknown","Heterosexual / straight","White","9660","9010","32070","30320"
"In post","2021","Unknown","LGBO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","White","590","570","29540","27730"
"In post","2021","Unknown","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Undeclared","430","410","36090","34440"
"In post","2021","Unknown","Undeclared","Unknown","60","50","33300","32700"
"In post","2021","Unknown","Undeclared","White","670","610","33980","32940"
"In post","2021","Unknown","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Unknown","2920","2820","34180","32700"
"In post","2021","Unknown","Unknown","White","100","90","34540","32710"
"In post","2022","AA/AO","Heterosexual / straight","Asian","6710","6010","22670","21260"
"In post","2022","AA/AO","Heterosexual / straight","Black","3390","3170","24470","23760"
"In post","2022","AA/AO","Heterosexual / straight","Mixed","1550","1430","23540","21680"
"In post","2022","AA/AO","Heterosexual / straight","Other ethnicity","410","380","23880","22240"
"In post","2022","AA/AO","Heterosexual / straight","Undeclared","810","730","23180","21830"
"In post","2022","AA/AO","Heterosexual / straight","Unknown","1060","940","23280","21840"
"In post","2022","AA/AO","Heterosexual / straight","White","72480","65530","22820","21300"
"In post","2022","AA/AO","LGBO","Asian","190","170","23060","21300"
"In post","2022","AA/AO","LGBO","Black","70","70","24490","23720"
"In post","2022","AA/AO","LGBO","Mixed","170","170","23730","21680"
"In post","2022","AA/AO","LGBO","Other ethnicity","40","40","[c]","[c]"
"In post","2022","AA/AO","LGBO","Undeclared","100","90","24730","22030"
"In post","2022","AA/AO","LGBO","Unknown","70","70","24310","22080"
"In post","2022","AA/AO","LGBO","White","4760","4570","23050","21260"
"In post","2022","AA/AO","Undeclared","Asian","610","520","22680","21680"
"In post","2022","AA/AO","Undeclared","Black","230","200","24370","24310"
"In post","2022","AA/AO","Undeclared","Mixed","150","130","23630","21830"
"In post","2022","AA/AO","Undeclared","Other ethnicity","40","40","[c]","[c]"
"In post","2022","AA/AO","Undeclared","Undeclared","2700","2450","23200","21680"
"In post","2022","AA/AO","Undeclared","Unknown","390","350","23370","21960"
"In post","2022","AA/AO","Undeclared","White","7030","6120","22700","21300"
"In post","2022","AA/AO","Unknown","Asian","1010","820","22530","21260"
"In post","2022","AA/AO","Unknown","Black","450","400","25380","24310"
"In post","2022","AA/AO","Unknown","Mixed","150","130","23140","21260"
"In post","2022","AA/AO","Unknown","Other ethnicity","70","60","24310","23230"
"In post","2022","AA/AO","Unknown","Undeclared","1040","870","22220","21260"
"In post","2022","AA/AO","Unknown","Unknown","21280","19790","22780","21300"
"In post","2022","AA/AO","Unknown","White","10240","8540","23310","21300"
"In post","2022","EO","Heterosexual / straight","Asian","8980","8490","28310","27570"
"In post","2022","EO","Heterosexual / straight","Black","4710","4530","29170","29250"
"In post","2022","EO","Heterosexual / straight","Mixed","1800","1720","28270","27570"
"In post","2022","EO","Heterosexual / straight","Other ethnicity","530","510","28580","27850"
"In post","2022","EO","Heterosexual / straight","Undeclared","980","920","28930","27570"
"In post","2022","EO","Heterosexual / straight","Unknown","710","670","28230","27570"
"In post","2022","EO","Heterosexual / straight","White","70620","65390","27760","27570"
"In post","2022","EO","LGBO","Asian","200","190","28230","27570"
"In post","2022","EO","LGBO","Black","130","130","29220","28990"
"In post","2022","EO","LGBO","Mixed","190","180","28100","27570"
"In post","2022","EO","LGBO","Other ethnicity","50","50","28810","27960"
"In post","2022","EO","LGBO","Undeclared","90","80","29050","27570"
"In post","2022","EO","LGBO","Unknown","50","50","28830","27690"
"In post","2022","EO","LGBO","White","4820","4670","27710","27570"
"In post","2022","EO","Undeclared","Asian","590","530","28580","28310"
"In post","2022","EO","Undeclared","Black","280","260","29450","29370"
"In post","2022","EO","Undeclared","Mixed","200","180","28270","27570"
"In post","2022","EO","Undeclared","Other ethnicity","70","70","28950","28990"
"In post","2022","EO","Undeclared","Undeclared","3310","3080","28270","27570"
"In post","2022","EO","Undeclared","Unknown","410","390","27920","27270"
"In post","2022","EO","Undeclared","White","6400","5810","27960","27570"
"In post","2022","EO","Unknown","Asian","1050","930","28580","27570"
"In post","2022","EO","Unknown","Black","550","500","30070","31020"
"In post","2022","EO","Unknown","Mixed","140","120","28530","27570"
"In post","2022","EO","Unknown","Other ethnicity","70","60","28900","28310"
"In post","2022","EO","Unknown","Undeclared","1230","1080","29030","27570"
"In post","2022","EO","Unknown","Unknown","14770","14100","28000","27230"
"In post","2022","EO","Unknown","White","8360","7310","28130","27570"
"In post","2022","G6/G7","Heterosexual / straight","Asian","3240","3160","58820","57290"
"In post","2022","G6/G7","Heterosexual / straight","Black","1280","1260","57990","55770"
"In post","2022","G6/G7","Heterosexual / straight","Mixed","1150","1110","58470","56640"
"In post","2022","G6/G7","Heterosexual / straight","Other ethnicity","290","270","59610","57460"
"In post","2022","G6/G7","Heterosexual / straight","Undeclared","360","350","59400","57620"
"In post","2022","G6/G7","Heterosexual / straight","Unknown","480","460","59450","56500"
"In post","2022","G6/G7","Heterosexual / straight","White","40230","38760","59160","57190"
"In post","2022","G6/G7","LGBO","Asian","110","100","57210","55210"
"In post","2022","G6/G7","LGBO","Black","50","50","[c]","[c]"
"In post","2022","G6/G7","LGBO","Mixed","140","140","57810","56360"
"In post","2022","G6/G7","LGBO","Other ethnicity","50","50","57050","54870"
"In post","2022","G6/G7","LGBO","Undeclared","30","30","[c]","[c]"
"In post","2022","G6/G7","LGBO","Unknown","40","40","[c]","[c]"
"In post","2022","G6/G7","LGBO","White","2910","2860","58490","55730"
"In post","2022","G6/G7","Undeclared","Asian","180","170","58420","56740"
"In post","2022","G6/G7","Undeclared","Black","60","60","57140","55170"
"In post","2022","G6/G7","Undeclared","Mixed","90","90","57890","54850"
"In post","2022","G6/G7","Undeclared","Other ethnicity","60","60","61200","57460"
"In post","2022","G6/G7","Undeclared","Undeclared","1980","1920","59950","57680"
"In post","2022","G6/G7","Undeclared","Unknown","790","760","57500","54130"
"In post","2022","G6/G7","Undeclared","White","2930","2820","59960","57680"
"In post","2022","G6/G7","Unknown","Asian","310","300","59830","58380"
"In post","2022","G6/G7","Unknown","Black","100","100","58800","56090"
"In post","2022","G6/G7","Unknown","Mixed","100","100","60320","59520"
"In post","2022","G6/G7","Unknown","Other ethnicity","40","40","[c]","[c]"
"In post","2022","G6/G7","Unknown","Undeclared","530","500","56830","55500"
"In post","2022","G6/G7","Unknown","Unknown","7800","7600","59780","57430"
"In post","2022","G6/G7","Unknown","White","4140","3900","58040","56310"
"In post","2022","SCS","Heterosexual / straight","Asian","270","260","90840","85000"
"In post","2022","SCS","Heterosexual / straight","Black","80","80","91020","82420"
"In post","2022","SCS","Heterosexual / straight","Mixed","120","110","84020","78000"
"In post","2022","SCS","Heterosexual / straight","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Heterosexual / straight","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Heterosexual / straight","Unknown","50","40","[c]","[c]"
"In post","2022","SCS","Heterosexual / straight","White","4550","4410","90010","82270"
"In post","2022","SCS","LGBO","Asian","[c]","[c]","[c]","[c]"
"In post","2022","SCS","LGBO","Black","[c]","[c]","[c]","[c]"
"In post","2022","SCS","LGBO","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","SCS","LGBO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","SCS","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","SCS","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SCS","LGBO","White","320","320","87130","79410"
"In post","2022","SCS","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Undeclared","Undeclared","150","140","87360","80220"
"In post","2022","SCS","Undeclared","Unknown","80","70","91760","88190"
"In post","2022","SCS","Undeclared","White","300","280","89180","82720"
"In post","2022","SCS","Unknown","Asian","40","40","[c]","[c]"
"In post","2022","SCS","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Undeclared","30","30","[c]","[c]"
"In post","2022","SCS","Unknown","Unknown","810","780","96750","88000"
"In post","2022","SCS","Unknown","White","290","270","95240","84710"
"In post","2022","SEO/HEO","Heterosexual / straight","Asian","7960","7760","37250","36500"
"In post","2022","SEO/HEO","Heterosexual / straight","Black","3940","3880","37660","36970"
"In post","2022","SEO/HEO","Heterosexual / straight","Mixed","2050","2000","37260","36500"
"In post","2022","SEO/HEO","Heterosexual / straight","Other ethnicity","580","560","37810","37170"
"In post","2022","SEO/HEO","Heterosexual / straight","Undeclared","770","750","37540","36650"
"In post","2022","SEO/HEO","Heterosexual / straight","Unknown","930","880","37210","36500"
"In post","2022","SEO/HEO","Heterosexual / straight","White","80650","77320","37300","36480"
"In post","2022","SEO/HEO","LGBO","Asian","200","190","37580","36720"
"In post","2022","SEO/HEO","LGBO","Black","80","80","37500","36480"
"In post","2022","SEO/HEO","LGBO","Mixed","260","250","36840","36140"
"In post","2022","SEO/HEO","LGBO","Other ethnicity","60","60","38080","36330"
"In post","2022","SEO/HEO","LGBO","Undeclared","70","70","36930","36190"
"In post","2022","SEO/HEO","LGBO","Unknown","70","70","37650","36820"
"In post","2022","SEO/HEO","LGBO","White","5660","5560","36460","35310"
"In post","2022","SEO/HEO","Undeclared","Asian","460","440","37620","36880"
"In post","2022","SEO/HEO","Undeclared","Black","200","200","38180","37770"
"In post","2022","SEO/HEO","Undeclared","Mixed","180","170","37420","36700"
"In post","2022","SEO/HEO","Undeclared","Other ethnicity","80","70","39270","39090"
"In post","2022","SEO/HEO","Undeclared","Undeclared","4470","4290","38040","37450"
"In post","2022","SEO/HEO","Undeclared","Unknown","860","830","36730","36300"
"In post","2022","SEO/HEO","Undeclared","White","6580","6270","37640","36820"
"In post","2022","SEO/HEO","Unknown","Asian","710","680","37760","37610"
"In post","2022","SEO/HEO","Unknown","Black","270","270","38040","37930"
"In post","2022","SEO/HEO","Unknown","Mixed","170","170","36100","35360"
"In post","2022","SEO/HEO","Unknown","Other ethnicity","60","50","39800","38330"
"In post","2022","SEO/HEO","Unknown","Undeclared","930","870","37580","37930"
"In post","2022","SEO/HEO","Unknown","Unknown","16280","15890","36110","34640"
"In post","2022","SEO/HEO","Unknown","White","7020","6630","37240","36700"
"In post","2022","Unknown","Heterosexual / straight","Asian","790","730","30030","28200"
"In post","2022","Unknown","Heterosexual / straight","Black","1130","1080","31400","28690"
"In post","2022","Unknown","Heterosexual / straight","Mixed","470","450","30930","30000"
"In post","2022","Unknown","Heterosexual / straight","Other ethnicity","90","80","31020","28820"
"In post","2022","Unknown","Heterosexual / straight","Undeclared","120","110","31370","30200"
"In post","2022","Unknown","Heterosexual / straight","Unknown","150","140","30640","28870"
"In post","2022","Unknown","Heterosexual / straight","White","12780","11920","31710","29040"
"In post","2022","Unknown","LGBO","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","LGBO","Black","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","LGBO","Mixed","40","40","[c]","[c]"
"In post","2022","Unknown","LGBO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","LGBO","White","930","900","29910","27060"
"In post","2022","Unknown","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","Black","40","40","[c]","[c]"
"In post","2022","Unknown","Undeclared","Mixed","30","30","[c]","[c]"
"In post","2022","Unknown","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","Undeclared","460","430","35190","34340"
"In post","2022","Unknown","Undeclared","Unknown","50","40","[c]","[c]"
"In post","2022","Unknown","Undeclared","White","760","710","33360","32690"
"In post","2022","Unknown","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Unknown","5370","5020","31430","28730"
"In post","2022","Unknown","Unknown","White","100","100","33210","31420"
"Leaver CS","2021","AA/AO","Heterosexual / straight","Asian","330","300","21630","21010"
"Leaver CS","2021","AA/AO","Heterosexual / straight","Black","190","180","22580","22680"
"Leaver CS","2021","AA/AO","Heterosexual / straight","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Heterosexual / straight","Mixed","110","100","21900","21010"
"Leaver CS","2021","AA/AO","Heterosexual / straight","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Heterosexual / straight","Undeclared","40","30","[c]","[c]"
"Leaver CS","2021","AA/AO","Heterosexual / straight","Unknown","100","90","[c]","[c]"
"Leaver CS","2021","AA/AO","Heterosexual / straight","White","4420","3910","21200","21010"
"Leaver CS","2021","AA/AO","LGBO","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","LGBO","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","LGBO","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","LGBO","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","LGBO","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","LGBO","White","290","280","20770","21010"
"Leaver CS","2021","AA/AO","Undeclared","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Undeclared","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Undeclared","Chinese","[c]","[c]","[c]","[c]"
