"Status","Year","Function_of_post","Ethnicity","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Economics","110","110","44960","42020"
"In post","2021","Analysis","Asian","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Other","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Policy","30","30","[c]","[c]"
"In post","2021","Analysis","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Statistics","120","120","41490","39070"
"In post","2021","Analysis","Asian","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Economics","40","40","[c]","[c]"
"In post","2021","Analysis","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Other","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Social Research","[c]","[c]","[c]","[c]"
