"Status","Year","Region_ITL1","Profession_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Declared non-disabled","90","90","43740","43130"
"In post","2021","East Midlands (England)","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Declared non-disabled","60","60","38370","37860"
"In post","2021","East Midlands (England)","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","Declared disabled","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","Declared non-disabled","150","150","37910","35730"
"In post","2021","East Midlands (England)","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","Unknown","90","80","35360","31830"
"In post","2021","East Midlands (England)","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Declared non-disabled","150","140","36250","32010"
"In post","2021","East Midlands (England)","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Declared disabled","50","50","35290","32620"
"In post","2021","East Midlands (England)","Human Resources","Declared non-disabled","240","230","39350","35000"
"In post","2021","East Midlands (England)","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Unknown","60","50","34100","30120"
"In post","2021","East Midlands (England)","Inspector of Education and Training","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Inspector of Education and Training","Declared non-disabled","60","60","65390","64500"
"In post","2021","East Midlands (England)","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Intelligence Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Intelligence Analysis","Declared non-disabled","90","90","29920","27380"
"In post","2021","East Midlands (England)","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","International Trade","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","Declared disabled","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","Declared non-disabled","320","290","44040","46210"
"In post","2021","East Midlands (England)","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","Unknown","120","120","38240","33780"
"In post","2021","East Midlands (England)","Medicine","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Medicine","Declared non-disabled","130","130","45130","37890"
"In post","2021","East Midlands (England)","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Medicine","Unknown","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Delivery","Declared disabled","1170","1080","27130","24460"
"In post","2021","East Midlands (England)","Operational Delivery","Declared non-disabled","6640","6130","27690","25560"
"In post","2021","East Midlands (England)","Operational Delivery","Undeclared","860","790","28410","28100"
"In post","2021","East Midlands (England)","Operational Delivery","Unknown","1430","1340","24660","22350"
"In post","2021","East Midlands (England)","Operational Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other","Declared disabled","80","80","23860","21130"
"In post","2021","East Midlands (England)","Other","Declared non-disabled","620","590","25730","21130"
"In post","2021","East Midlands (England)","Other","Undeclared","60","50","23480","20920"
"In post","2021","East Midlands (England)","Other","Unknown","90","90","24600","21130"
"In post","2021","East Midlands (England)","Planning","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Planning","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","Declared non-disabled","190","180","42370","38630"
"In post","2021","East Midlands (England)","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Declared disabled","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Declared non-disabled","270","260","39530","37900"
"In post","2021","East Midlands (England)","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Unknown","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Declared disabled","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Declared non-disabled","290","270","35500","33300"
"In post","2021","East Midlands (England)","Property","Undeclared","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Unknown","110","100","28950","24500"
