"Status","Year","Region_ITL2","Parent_department","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Attorney General's Departments","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Attorney General's Departments","Legal","170","150","42580","40000"
"In post","2021","Bedfordshire and Hertfordshire","Cabinet Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Cabinet Office","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Business, Energy and Industrial Strategy","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Business, Energy and Industrial Strategy","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Business, Energy and Industrial Strategy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Education","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Education","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Transport","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Transport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Transport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Transport","No function","100","90","29500","27680"
"In post","2021","Bedfordshire and Hertfordshire","Department for Work and Pensions","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Work and Pensions","No function","60","60","42850","45100"
"In post","2021","Bedfordshire and Hertfordshire","Department for Work and Pensions","Unknown","1110","1020","28790","29290"
"In post","2021","Bedfordshire and Hertfordshire","Department of Health and Social Care","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department of Health and Social Care","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department of Health and Social Care","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department of Health and Social Care","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department of Health and Social Care","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department of Health and Social Care","Unknown","300","290","44550","41010"
"In post","2021","Bedfordshire and Hertfordshire","Food Standards Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","HM Revenue and Customs","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","HM Revenue and Customs","Debt","40","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","HM Revenue and Customs","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","HM Revenue and Customs","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","HM Revenue and Customs","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Home Office","Unknown","280","250","28740","26520"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Defence","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Defence","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Defence","Digital, Data & Technology","50","50","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Defence","Finance","70","70","43720","37640"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Defence","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Defence","Project Delivery","180","170","40320","37640"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Defence","Security","80","80","25050","22650"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Defence","Unknown","340","330","34790","32200"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Housing, Communities and Local Government","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Housing, Communities and Local Government","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Housing, Communities and Local Government","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Justice","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Justice","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Justice","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Justice","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Justice","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Justice","Internal Audit","[c]","[c]","[c]","[c]"
