"Status","Year","Function_of_post","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Digital, Data and Technology","100","100","41970","41990"
"In post","2021","Analysis","Female","Economics","430","420","46270","37950"
"In post","2021","Analysis","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Intelligence Analysis","140","130","51920","53360"
"In post","2021","Analysis","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Operational Delivery","320","290","31620","29540"
"In post","2021","Analysis","Female","Operational Research","230","210","43040","39000"
"In post","2021","Analysis","Female","Other","80","70","60160","58760"
"In post","2021","Analysis","Female","Policy","180","170","47430","45250"
"In post","2021","Analysis","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Science and Engineering","270","250","32670","29680"
"In post","2021","Analysis","Female","Social Research","580","540","41330","37020"
"In post","2021","Analysis","Female","Statistics","810","770","42710","38770"
"In post","2021","Analysis","Female","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Unknown","40","30","[c]","[c]"
"In post","2021","Analysis","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","Digital, Data and Technology","140","130","42370","42220"
"In post","2021","Analysis","Male","Economics","840","830","46560","40480"
"In post","2021","Analysis","Male","Finance","30","30","[c]","[c]"
"In post","2021","Analysis","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","Intelligence Analysis","150","150","52390","53360"
"In post","2021","Analysis","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","Operational Delivery","260","260","33270","30130"
"In post","2021","Analysis","Male","Operational Research","430","420","44750","46080"
"In post","2021","Analysis","Male","Other","140","130","66740","57250"
"In post","2021","Analysis","Male","Policy","170","160","47630","45540"
"In post","2021","Analysis","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","Science and Engineering","400","390","38070","35900"
"In post","2021","Analysis","Male","Social Research","290","280","41240","37020"
"In post","2021","Analysis","Male","Statistics","950","930","43630","39850"
"In post","2021","Analysis","Male","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","Unknown","60","60","44470","41760"
"In post","2021","Analysis","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Commercial","2210","2100","38880","36460"
"In post","2021","Commercial","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Finance","40","40","[c]","[c]"
"In post","2021","Commercial","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Knowledge and Information Management","330","310","30720","26670"
"In post","2021","Commercial","Female","Operational Delivery","180","170","36510","33790"
"In post","2021","Commercial","Female","Other","30","30","[c]","[c]"
"In post","2021","Commercial","Female","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Unknown","670","650","65860","62010"
