"Status","Year","Organisation","Ethnicity","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Asian","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Asian","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Asian","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Asian","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Asian","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Asian","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Asian","65+","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Black","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Black","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Black","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Black","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Black","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Black","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Black","65+","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Chinese","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Chinese","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Chinese","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Chinese","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Chinese","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Chinese","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Chinese","65+","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Mixed","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Mixed","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Mixed","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Mixed","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Mixed","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Mixed","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Mixed","65+","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Other ethnicity","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Other ethnicity","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Other ethnicity","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Other ethnicity","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Other ethnicity","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Other ethnicity","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Other ethnicity","65+","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","White","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","White","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","White","30-39","30","30","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","White","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","White","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","White","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","White","65+","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Asian","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Asian","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Asian","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Asian","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Asian","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Asian","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Asian","65+","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Black","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Black","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Black","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Black","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Black","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Black","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Black","65+","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Chinese","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Chinese","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Chinese","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Chinese","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Chinese","50-59","[c]","[c]","[c]","[c]"
