"Status","Year","Region_ITL1","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Heterosexual / straight","Commercial","100","100","43010","41500"
"In post","2021","East Midlands (England)","Heterosexual / straight","Communications","60","60","37450","35560"
"In post","2021","East Midlands (England)","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Heterosexual / straight","Digital, Data and Technology","180","170","36470","32790"
"In post","2021","East Midlands (England)","Heterosexual / straight","Finance","160","150","35240","31810"
"In post","2021","East Midlands (England)","Heterosexual / straight","Human Resources","270","260","39010","35000"
"In post","2021","East Midlands (England)","Heterosexual / straight","Inspector of Education and Training","60","60","65280","64500"
"In post","2021","East Midlands (England)","Heterosexual / straight","Intelligence Analysis","90","90","29720","27380"
"In post","2021","East Midlands (England)","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Heterosexual / straight","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Heterosexual / straight","Knowledge and Information Management","50","50","35270","33350"
"In post","2021","East Midlands (England)","Heterosexual / straight","Legal","330","300","43860","46210"
"In post","2021","East Midlands (England)","Heterosexual / straight","Medicine","130","130","45200","37890"
"In post","2021","East Midlands (England)","Heterosexual / straight","Operational Delivery","6760","6270","27530","25560"
"In post","2021","East Midlands (England)","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Heterosexual / straight","Other","680","660","25080","21130"
"In post","2021","East Midlands (England)","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Heterosexual / straight","Policy","200","180","41450","36960"
"In post","2021","East Midlands (England)","Heterosexual / straight","Project Delivery","270","260","39330","35290"
"In post","2021","East Midlands (England)","Heterosexual / straight","Property","310","290","35280","33250"
"In post","2021","East Midlands (England)","Heterosexual / straight","Psychology","140","130","34500","30450"
"In post","2021","East Midlands (England)","Heterosexual / straight","Science and Engineering","390","360","38620","37000"
"In post","2021","East Midlands (England)","Heterosexual / straight","Security","110","110","28220","24620"
"In post","2021","East Midlands (England)","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Heterosexual / straight","Tax","700","660","35720","31810"
"In post","2021","East Midlands (England)","Heterosexual / straight","Unknown","3060","2740","26480","27570"
"In post","2021","East Midlands (England)","Heterosexual / straight","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
