"Status","Year","Function_of_post","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Bedfordshire and Hertfordshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bedfordshire and Hertfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Heterosexual / straight","40","30","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","Heterosexual / straight","50","50","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","Unknown","60","60","32890","29270"
"In post","2021","Analysis","East Anglia","Heterosexual / straight","130","120","33340","30220"
"In post","2021","Analysis","East Anglia","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Unknown","200","190","35390","31070"
"In post","2021","Analysis","East Wales","Heterosexual / straight","630","600","37500","36030"
"In post","2021","Analysis","East Wales","LGBO","60","50","36870","37020"
"In post","2021","Analysis","East Wales","Undeclared","40","40","[c]","[c]"
"In post","2021","Analysis","East Wales","Unknown","330","310","34340","30130"
"In post","2021","Analysis","East Yorkshire and Northern Lincolnshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Yorkshire and Northern Lincolnshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Essex","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Essex","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Essex","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Essex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","230","220","39270","37320"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Undeclared","30","30","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","30","30","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","Heterosexual / straight","140","140","39020","38630"
"In post","2021","Analysis","Greater Manchester","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","Unknown","40","40","[c]","[c]"
"In post","2021","Analysis","Hampshire and Isle of Wight","Heterosexual / straight","580","550","39210","37320"
"In post","2021","Analysis","Hampshire and Isle of Wight","LGBO","50","40","[c]","[c]"
"In post","2021","Analysis","Hampshire and Isle of Wight","Undeclared","50","40","[c]","[c]"
"In post","2021","Analysis","Hampshire and Isle of Wight","Unknown","150","140","38460","36570"
"In post","2021","Analysis","Herefordshire, Worcestershire and Warwickshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Herefordshire, Worcestershire and Warwickshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Herefordshire, Worcestershire and Warwickshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Highlands and Islands","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Highlands and Islands","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Highlands and Islands","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inner London - East","Heterosexual / straight","450","440","51160","46940"
"In post","2021","Analysis","Inner London - East","LGBO","40","40","[c]","[c]"
"In post","2021","Analysis","Inner London - East","Undeclared","60","60","51700","55430"
"In post","2021","Analysis","Inner London - East","Unknown","130","130","48510","41920"
"In post","2021","Analysis","Inner London - West","Heterosexual / straight","1810","1760","48820","44870"
"In post","2021","Analysis","Inner London - West","LGBO","180","180","44800","40890"
"In post","2021","Analysis","Inner London - West","Undeclared","200","190","50020","45780"
"In post","2021","Analysis","Inner London - West","Unknown","540","520","47830","44690"
"In post","2021","Analysis","Kent","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Kent","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lancashire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lancashire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leicestershire, Rutland and Northamptonshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leicestershire, Rutland and Northamptonshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lincolnshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lincolnshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merseyside","Heterosexual / straight","90","80","41190","38630"
"In post","2021","Analysis","Merseyside","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merseyside","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merseyside","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Yorkshire","Heterosexual / straight","50","50","36820","31550"
"In post","2021","Analysis","North Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Yorkshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Northumberland and Tyne and Wear","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Northumberland and Tyne and Wear","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Northumberland and Tyne and Wear","Undeclared","[c]","[c]","[c]","[c]"
