"Status","Year","Profession_of_post","Age","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","16-19","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Asian","40","40","[c]","[c]"
"In post","2021","Commercial","20-29","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Unknown","170","170","31900","29550"
"In post","2021","Commercial","20-29","White","570","570","30450","29550"
"In post","2021","Commercial","30-39","Asian","60","50","37100","36500"
"In post","2021","Commercial","30-39","Black","40","40","[c]","[c]"
"In post","2021","Commercial","30-39","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Undeclared","50","50","38030","39720"
"In post","2021","Commercial","30-39","Unknown","140","140","40630","39500"
"In post","2021","Commercial","30-39","White","950","910","38300","36750"
"In post","2021","Commercial","40-49","Asian","80","80","41960","38940"
"In post","2021","Commercial","40-49","Black","50","50","[c]","[c]"
"In post","2021","Commercial","40-49","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Undeclared","60","50","40500","37320"
"In post","2021","Commercial","40-49","Unknown","140","130","44760","39820"
"In post","2021","Commercial","40-49","White","990","950","43590","40580"
"In post","2021","Commercial","50-59","Asian","50","50","[c]","[c]"
"In post","2021","Commercial","50-59","Black","60","60","40270","39710"
"In post","2021","Commercial","50-59","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Undeclared","70","70","42970","41450"
"In post","2021","Commercial","50-59","Unknown","100","100","41970","39630"
"In post","2021","Commercial","50-59","White","1190","1170","44970","41600"
"In post","2021","Commercial","60-64","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","White","250","220","44120","40980"
"In post","2021","Commercial","65+","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","65+","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","65+","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","65+","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","65+","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","65+","White","50","40","40850","38270"
"In post","2021","Communications","16-19","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","16-19","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","16-19","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","16-19","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","16-19","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","16-19","White","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","Asian","50","50","[c]","[c]"
"In post","2021","Communications","20-29","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","Mixed","30","30","[c]","[c]"
"In post","2021","Communications","20-29","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","Unknown","230","230","34020","32120"
