"Status","Year","Function_of_post","Region_ITL2","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Bedfordshire and Hertfordshire","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","Centre for Environment, Fisheries and Aquaculture Science","120","110","33040","29270"
