"Status","Year","Responsibility_level","Function_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Analysis","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Unknown","40","40","[c]","[c]"
"In post","2021","AA/AO","Analysis","White","130","120","21310","21050"
"In post","2021","AA/AO","Commercial","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Unknown","80","70","21800","20920"
"In post","2021","AA/AO","Commercial","White","370","340","21960","21130"
"In post","2021","AA/AO","Communications","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Unknown","90","80","21600","21050"
"In post","2021","AA/AO","Communications","White","360","320","21290","21130"
"In post","2021","AA/AO","Counter Fraud","Asian","70","60","22420","21440"
"In post","2021","AA/AO","Counter Fraud","Black","40","30","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Undeclared","50","40","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Unknown","160","140","21130","20140"
"In post","2021","AA/AO","Counter Fraud","White","520","450","21220","21440"
"In post","2021","AA/AO","Debt","Asian","280","240","22270","20430"
"In post","2021","AA/AO","Debt","Black","110","100","22900","24120"
"In post","2021","AA/AO","Debt","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Debt","Mixed","30","30","[c]","[c]"
"In post","2021","AA/AO","Debt","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Debt","Undeclared","100","90","21930","21440"
"In post","2021","AA/AO","Debt","Unknown","1340","1250","20570","20140"
"In post","2021","AA/AO","Debt","White","1530","1340","20800","20140"
"In post","2021","AA/AO","Digital, Data & Technology","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Unknown","100","90","21570","21590"
"In post","2021","AA/AO","Digital, Data & Technology","White","290","280","21850","21440"
"In post","2021","AA/AO","Finance","Asian","100","90","21490","20140"
"In post","2021","AA/AO","Finance","Black","30","30","[c]","[c]"
"In post","2021","AA/AO","Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Undeclared","60","50","21340","21440"
"In post","2021","AA/AO","Finance","Unknown","310","260","20710","20140"
"In post","2021","AA/AO","Finance","White","980","820","21100","21180"
"In post","2021","AA/AO","Grants Management","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Grants Management","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Grants Management","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Grants Management","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Grants Management","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Grants Management","Unknown","420","400","20990","21050"
"In post","2021","AA/AO","Grants Management","White","470","400","21020","21050"
"In post","2021","AA/AO","Human Resources","Asian","60","50","21730","20920"
"In post","2021","AA/AO","Human Resources","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Undeclared","60","50","21120","21130"
"In post","2021","AA/AO","Human Resources","Unknown","180","160","21150","20920"
"In post","2021","AA/AO","Human Resources","White","1260","1140","21310","21130"
"In post","2021","AA/AO","Internal Audit","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","White","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Asian","180","170","22760","23520"
"In post","2021","AA/AO","Legal","Black","120","110","23260","23520"
"In post","2021","AA/AO","Legal","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Mixed","40","30","[c]","[c]"
"In post","2021","AA/AO","Legal","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Undeclared","30","30","[c]","[c]"
"In post","2021","AA/AO","Legal","Unknown","1070","950","21740","22820"
"In post","2021","AA/AO","Legal","White","1120","1030","22140","21950"
"In post","2021","AA/AO","No function","Asian","3330","2990","22010","20520"
"In post","2021","AA/AO","No function","Black","2190","2070","25000","23500"
"In post","2021","AA/AO","No function","Chinese","120","110","22570","21160"
"In post","2021","AA/AO","No function","Mixed","970","910","23950","22490"
"In post","2021","AA/AO","No function","Other ethnicity","280","260","24400","22680"
"In post","2021","AA/AO","No function","Undeclared","2000","1820","23120","21590"
"In post","2021","AA/AO","No function","Unknown","14630","13570","22400","20940"
"In post","2021","AA/AO","No function","White","46990","42060","23280","21590"
"In post","2021","AA/AO","Project Delivery","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Unknown","90","80","21520","21440"
"In post","2021","AA/AO","Project Delivery","White","440","410","21380","21280"
"In post","2021","AA/AO","Property","Asian","60","50","22770","21250"
"In post","2021","AA/AO","Property","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Property","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Property","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Property","Undeclared","80","80","21650","21100"
"In post","2021","AA/AO","Property","Unknown","590","550","21690","21100"
"In post","2021","AA/AO","Property","White","1580","1480","21390","21050"
"In post","2021","AA/AO","Security","Asian","110","110","24610","21150"
"In post","2021","AA/AO","Security","Black","60","60","23710","22650"
"In post","2021","AA/AO","Security","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Security","Mixed","40","40","[c]","[c]"
"In post","2021","AA/AO","Security","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Security","Undeclared","250","240","29710","26750"
"In post","2021","AA/AO","Security","Unknown","840","830","27020","25390"
"In post","2021","AA/AO","Security","White","4190","4080","26560","21150"
"In post","2021","AA/AO","Unknown","Asian","3700","3180","22330","21430"
"In post","2021","AA/AO","Unknown","Black","1420","1290","23120","23130"
"In post","2021","AA/AO","Unknown","Chinese","110","100","21560","21010"
"In post","2021","AA/AO","Unknown","Mixed","740","670","21970","21010"
"In post","2021","AA/AO","Unknown","Other ethnicity","210","180","22080","21010"
"In post","2021","AA/AO","Unknown","Undeclared","2260","1970","21470","21010"
"In post","2021","AA/AO","Unknown","Unknown","3740","3390","21460","21010"
"In post","2021","AA/AO","Unknown","White","36870","32540","21220","21010"
"In post","2021","EO","Analysis","Asian","50","50","27690","27680"
"In post","2021","EO","Analysis","Black","[c]","[c]","[c]","[c]"
"In post","2021","EO","Analysis","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","EO","Analysis","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","EO","Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","EO","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Analysis","Unknown","120","110","25990","25880"
"In post","2021","EO","Analysis","White","490","460","26200","25800"
"In post","2021","EO","Commercial","Asian","50","50","28100","28080"
"In post","2021","EO","Commercial","Black","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Undeclared","40","40","[c]","[c]"
"In post","2021","EO","Commercial","Unknown","90","90","25500","26010"
"In post","2021","EO","Commercial","White","630","600","26800","26670"
"In post","2021","EO","Communications","Asian","250","240","25250","25560"
"In post","2021","EO","Communications","Black","100","100","25860","25560"
"In post","2021","EO","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","Mixed","50","50","[c]","[c]"
"In post","2021","EO","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","Undeclared","70","70","25850","25560"
"In post","2021","EO","Communications","Unknown","1110","1080","25820","25560"
"In post","2021","EO","Communications","White","1600","1520","25800","25560"
"In post","2021","EO","Counter Fraud","Asian","250","240","27770","27700"
"In post","2021","EO","Counter Fraud","Black","110","110","28870","29570"
"In post","2021","EO","Counter Fraud","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","EO","Counter Fraud","Mixed","50","50","26980","25560"
"In post","2021","EO","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","EO","Counter Fraud","Undeclared","170","150","27890","28130"
"In post","2021","EO","Counter Fraud","Unknown","730","700","26840","25560"
"In post","2021","EO","Counter Fraud","White","2080","1930","26750","25560"
"In post","2021","EO","Debt","Asian","60","60","28050","26470"
"In post","2021","EO","Debt","Black","30","30","[c]","[c]"
"In post","2021","EO","Debt","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","EO","Debt","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","EO","Debt","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","EO","Debt","Undeclared","40","30","[c]","[c]"
"In post","2021","EO","Debt","Unknown","190","180","26440","25560"
"In post","2021","EO","Debt","White","630","570","26630","25560"
"In post","2021","EO","Digital, Data & Technology","Asian","160","160","27780","27130"
"In post","2021","EO","Digital, Data & Technology","Black","80","80","28250","28170"
"In post","2021","EO","Digital, Data & Technology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","EO","Digital, Data & Technology","Mixed","40","40","[c]","[c]"
"In post","2021","EO","Digital, Data & Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","EO","Digital, Data & Technology","Undeclared","90","90","28650","27510"
"In post","2021","EO","Digital, Data & Technology","Unknown","450","450","26880","26210"
"In post","2021","EO","Digital, Data & Technology","White","1440","1370","27440","26670"
"In post","2021","EO","Finance","Asian","150","140","27150","26490"
"In post","2021","EO","Finance","Black","60","60","28420","28670"
"In post","2021","EO","Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","Undeclared","70","60","27240","26720"
"In post","2021","EO","Finance","Unknown","180","170","26130","25810"
"In post","2021","EO","Finance","White","1190","1120","26240","26670"
"In post","2021","EO","Grants Management","Asian","[c]","[c]","[c]","[c]"
"In post","2021","EO","Grants Management","Black","[c]","[c]","[c]","[c]"
"In post","2021","EO","Grants Management","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","EO","Grants Management","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","EO","Grants Management","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","EO","Grants Management","Undeclared","30","30","[c]","[c]"
"In post","2021","EO","Grants Management","Unknown","180","170","25090","25100"
"In post","2021","EO","Grants Management","White","330","300","25700","25660"
"In post","2021","EO","Human Resources","Asian","110","110","27280","27380"
"In post","2021","EO","Human Resources","Black","80","80","28050","27710"
"In post","2021","EO","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","Undeclared","60","50","27510","26670"
"In post","2021","EO","Human Resources","Unknown","220","210","26680","26670"
"In post","2021","EO","Human Resources","White","1260","1180","26500","26590"
"In post","2021","EO","Internal Audit","Asian","[c]","[c]","[c]","[c]"
"In post","2021","EO","Internal Audit","Black","[c]","[c]","[c]","[c]"
"In post","2021","EO","Internal Audit","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","EO","Internal Audit","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","EO","Internal Audit","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","EO","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Internal Audit","White","30","30","[c]","[c]"
"In post","2021","EO","Legal","Asian","200","190","27670","27580"
"In post","2021","EO","Legal","Black","140","140","28390","27760"
"In post","2021","EO","Legal","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","EO","Legal","Mixed","50","50","28800","27570"
"In post","2021","EO","Legal","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","EO","Legal","Undeclared","50","50","[c]","[c]"
"In post","2021","EO","Legal","Unknown","670","630","28320","29350"
"In post","2021","EO","Legal","White","1300","1200","27900","28430"
"In post","2021","EO","No function","Asian","1660","1570","27400","26880"
"In post","2021","EO","No function","Black","1020","990","28770","28170"
"In post","2021","EO","No function","Chinese","80","80","27390","26780"
"In post","2021","EO","No function","Mixed","520","490","28130","27130"
"In post","2021","EO","No function","Other ethnicity","170","160","28460","27500"
"In post","2021","EO","No function","Undeclared","1490","1390","28910","28130"
"In post","2021","EO","No function","Unknown","5260","5010","28320","27230"
"In post","2021","EO","No function","White","22930","21390","28170","27130"
"In post","2021","EO","Project Delivery","Asian","180","180","26300","26550"
"In post","2021","EO","Project Delivery","Black","120","110","26580","26790"
"In post","2021","EO","Project Delivery","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","EO","Project Delivery","Mixed","70","60","25410","26350"
"In post","2021","EO","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","EO","Project Delivery","Undeclared","170","160","25730","26300"
"In post","2021","EO","Project Delivery","Unknown","480","460","24320","25560"
"In post","2021","EO","Project Delivery","White","3580","3390","24750","25690"
"In post","2021","EO","Property","Asian","100","100","27980","27500"
"In post","2021","EO","Property","Black","40","40","[c]","[c]"
"In post","2021","EO","Property","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","EO","Property","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","EO","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","EO","Property","Undeclared","80","80","27750","26670"
"In post","2021","EO","Property","Unknown","370","340","26860","26000"
"In post","2021","EO","Property","White","1320","1250","27510","26670"
"In post","2021","EO","Security","Asian","30","30","[c]","[c]"
"In post","2021","EO","Security","Black","[c]","[c]","[c]","[c]"
"In post","2021","EO","Security","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","EO","Security","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","EO","Security","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","EO","Security","Undeclared","60","60","35940","42660"
"In post","2021","EO","Security","Unknown","150","140","28570","26670"
"In post","2021","EO","Security","White","900","880","32850","28350"
"In post","2021","EO","Unknown","Asian","6550","6050","28730","28650"
"In post","2021","EO","Unknown","Black","3560","3380","29580","29500"
"In post","2021","EO","Unknown","Chinese","140","130","28290","27570"
"In post","2021","EO","Unknown","Mixed","1300","1220","28390","27570"
"In post","2021","EO","Unknown","Other ethnicity","420","400","28770","28670"
"In post","2021","EO","Unknown","Undeclared","3450","3110","28140","27570"
"In post","2021","EO","Unknown","Unknown","4570","4340","27980","27570"
"In post","2021","EO","Unknown","White","50110","45400","27620","27570"
"In post","2021","G6/G7","Analysis","Asian","130","130","59230","58820"
"In post","2021","G6/G7","Analysis","Black","30","30","[c]","[c]"
"In post","2021","G6/G7","Analysis","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Analysis","Mixed","60","60","58100","55430"
"In post","2021","G6/G7","Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Analysis","Undeclared","100","90","58210","56350"
"In post","2021","G6/G7","Analysis","Unknown","300","290","57160","54760"
"In post","2021","G6/G7","Analysis","White","1750","1670","58510","56410"
"In post","2021","G6/G7","Commercial","Asian","40","40","[c]","[c]"
"In post","2021","G6/G7","Commercial","Black","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Commercial","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Commercial","Undeclared","50","40","[c]","[c]"
"In post","2021","G6/G7","Commercial","Unknown","670","660","62480","56200"
"In post","2021","G6/G7","Commercial","White","940","910","60740","58670"
"In post","2021","G6/G7","Communications","Asian","40","30","[c]","[c]"
"In post","2021","G6/G7","Communications","Black","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Communications","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Communications","Unknown","230","230","57850","55080"
"In post","2021","G6/G7","Communications","White","730","700","57860","55890"
"In post","2021","G6/G7","Counter Fraud","Asian","50","50","[c]","[c]"
"In post","2021","G6/G7","Counter Fraud","Black","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Counter Fraud","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Counter Fraud","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Counter Fraud","Undeclared","100","90","58250","56400"
"In post","2021","G6/G7","Counter Fraud","Unknown","120","120","57500","56740"
"In post","2021","G6/G7","Counter Fraud","White","800","760","57470","54700"
"In post","2021","G6/G7","Debt","Asian","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Debt","Black","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Debt","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Debt","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Debt","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Debt","White","40","40","[c]","[c]"
"In post","2021","G6/G7","Digital, Data & Technology","Asian","210","210","58370","55480"
"In post","2021","G6/G7","Digital, Data & Technology","Black","80","80","56210","54700"
"In post","2021","G6/G7","Digital, Data & Technology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Digital, Data & Technology","Mixed","80","80","56450","54700"
"In post","2021","G6/G7","Digital, Data & Technology","Other ethnicity","[c]","[c]","[c]","[c]"
