"Status","Year","Profession_of_post","Sex","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Female","Declared disabled","310","290","38920","36970"
"In post","2021","Commercial","Female","Declared non-disabled","1880","1780","38990","36460"
"In post","2021","Commercial","Female","Undeclared","160","150","39630","36110"
"In post","2021","Commercial","Female","Unknown","510","480","37560","35760"
"In post","2021","Commercial","Male","Declared disabled","200","190","41000","40580"
"In post","2021","Commercial","Male","Declared non-disabled","1640","1620","42930","40000"
"In post","2021","Commercial","Male","Undeclared","190","190","44960","42080"
"In post","2021","Commercial","Male","Unknown","480","470","39740","36500"
"In post","2021","Communications","Female","Declared disabled","150","140","38260","34320"
"In post","2021","Communications","Female","Declared non-disabled","1530","1440","41700","38630"
"In post","2021","Communications","Female","Undeclared","100","100","42020","38600"
"In post","2021","Communications","Female","Unknown","550","530","41400","37880"
"In post","2021","Communications","Male","Declared disabled","110","110","36120","34240"
"In post","2021","Communications","Male","Declared non-disabled","1030","1020","42060","38620"
"In post","2021","Communications","Male","Undeclared","100","100","41900","38810"
"In post","2021","Communications","Male","Unknown","400","400","42400","38620"
"In post","2021","Corporate Finance","Female","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","Declared non-disabled","70","70","44410","41990"
"In post","2021","Corporate Finance","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","Declared non-disabled","60","60","50400","47140"
"In post","2021","Corporate Finance","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","Declared disabled","40","40","[c]","[c]"
"In post","2021","Counter Fraud","Female","Declared non-disabled","280","260","34380","33100"
"In post","2021","Counter Fraud","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","Unknown","50","50","40140","34050"
"In post","2021","Counter Fraud","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Male","Declared non-disabled","330","320","41080","39490"
"In post","2021","Counter Fraud","Male","Undeclared","50","40","[c]","[c]"
"In post","2021","Counter Fraud","Male","Unknown","90","80","41330","37380"
"In post","2021","Digital, Data and Technology","Female","Declared disabled","410","390","37340","33770"
"In post","2021","Digital, Data and Technology","Female","Declared non-disabled","3020","2860","41220","38450"
"In post","2021","Digital, Data and Technology","Female","Undeclared","210","200","40280","38450"
"In post","2021","Digital, Data and Technology","Female","Unknown","990","950","40280","36780"
"In post","2021","Digital, Data and Technology","Male","Declared disabled","630","620","40490","37410"
"In post","2021","Digital, Data and Technology","Male","Declared non-disabled","5360","5290","43200","39750"
"In post","2021","Digital, Data and Technology","Male","Undeclared","510","500","41460","38630"
"In post","2021","Digital, Data and Technology","Male","Unknown","2170","2140","41130","38050"
"In post","2021","Digital, Data and Technology","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Female","Declared disabled","40","40","[c]","[c]"
"In post","2021","Economics","Female","Declared non-disabled","540","510","48820","51970"
"In post","2021","Economics","Female","Undeclared","30","30","[c]","[c]"
"In post","2021","Economics","Female","Unknown","190","180","41270","35060"
"In post","2021","Economics","Male","Declared disabled","60","60","47760","51970"
"In post","2021","Economics","Male","Declared non-disabled","870","860","49170","48370"
"In post","2021","Economics","Male","Undeclared","90","90","45020","37000"
"In post","2021","Economics","Male","Unknown","350","350","43440","36160"
"In post","2021","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","Declared disabled","460","410","36210","32180"
"In post","2021","Finance","Female","Declared non-disabled","3630","3370","38460","33930"
"In post","2021","Finance","Female","Undeclared","270","250","37960","34740"
"In post","2021","Finance","Female","Unknown","780","730","36880","32950"
"In post","2021","Finance","Male","Declared disabled","310","300","40300","37410"
"In post","2021","Finance","Male","Declared non-disabled","2820","2780","44640","40580"
"In post","2021","Finance","Male","Undeclared","250","250","41680","38630"
"In post","2021","Finance","Male","Unknown","640","630","39840","35000"
"In post","2021","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Female","Declared disabled","700","650","39420","35000"
"In post","2021","Human Resources","Female","Declared non-disabled","3760","3510","38690","33900"
"In post","2021","Human Resources","Female","Undeclared","280","270","38060","34030"
"In post","2021","Human Resources","Female","Unknown","820","770","34950","30940"
"In post","2021","Human Resources","Male","Declared disabled","280","280","41120","36720"
"In post","2021","Human Resources","Male","Declared non-disabled","1550","1520","40570","36500"
"In post","2021","Human Resources","Male","Undeclared","130","120","39250","36600"
"In post","2021","Human Resources","Male","Unknown","350","350","34980","31810"
"In post","2021","Human Resources","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Female","Declared disabled","40","40","[c]","[c]"
"In post","2021","Inspector of Education and Training","Female","Declared non-disabled","500","480","64840","64500"
"In post","2021","Inspector of Education and Training","Female","Unknown","70","60","57140","51360"
"In post","2021","Inspector of Education and Training","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Male","Declared non-disabled","220","220","73860","75500"
"In post","2021","Inspector of Education and Training","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Female","Declared disabled","150","140","31150","28760"
"In post","2021","Intelligence Analysis","Female","Declared non-disabled","1130","1050","32670","29250"
"In post","2021","Intelligence Analysis","Female","Undeclared","130","120","31820","28850"
"In post","2021","Intelligence Analysis","Female","Unknown","150","150","46000","48060"
"In post","2021","Intelligence Analysis","Male","Declared disabled","160","150","35720","33300"
"In post","2021","Intelligence Analysis","Male","Declared non-disabled","1270","1240","35090","31810"
"In post","2021","Intelligence Analysis","Male","Undeclared","160","160","35850","33300"
"In post","2021","Intelligence Analysis","Male","Unknown","260","250","43010","39420"
"In post","2021","Internal Audit","Female","Declared disabled","50","40","[c]","[c]"
"In post","2021","Internal Audit","Female","Declared non-disabled","300","280","43710","41640"
"In post","2021","Internal Audit","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Male","Declared disabled","50","40","[c]","[c]"
"In post","2021","Internal Audit","Male","Declared non-disabled","280","270","48660","46770"
"In post","2021","Internal Audit","Male","Undeclared","30","30","[c]","[c]"
"In post","2021","Internal Audit","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Female","Declared disabled","60","60","44740","39360"
"In post","2021","International Trade","Female","Declared non-disabled","320","310","47580","45960"
"In post","2021","International Trade","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Female","Unknown","260","250","43930","38540"
"In post","2021","International Trade","Male","Declared disabled","50","50","[c]","[c]"
"In post","2021","International Trade","Male","Declared non-disabled","460","460","47970","44030"
"In post","2021","International Trade","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Male","Unknown","290","280","47300","39070"
"In post","2021","Knowledge and Information Management","Female","Declared disabled","140","130","33770","33300"
"In post","2021","Knowledge and Information Management","Female","Declared non-disabled","870","810","35520","32180"
"In post","2021","Knowledge and Information Management","Female","Undeclared","80","80","35580","33800"
"In post","2021","Knowledge and Information Management","Female","Unknown","200","170","37210","33790"
"In post","2021","Knowledge and Information Management","Male","Declared disabled","130","130","35540","32860"
"In post","2021","Knowledge and Information Management","Male","Declared non-disabled","730","720","37790","36060"
"In post","2021","Knowledge and Information Management","Male","Undeclared","90","80","41170","36460"
"In post","2021","Knowledge and Information Management","Male","Unknown","150","150","41080","38510"
"In post","2021","Legal","Female","Declared disabled","580","530","48450","50520"
"In post","2021","Legal","Female","Declared non-disabled","4810","4360","49970","51250"
"In post","2021","Legal","Female","Undeclared","250","220","47650","46210"
"In post","2021","Legal","Female","Unknown","1400","1290","44650","43550"
"In post","2021","Legal","Male","Declared disabled","390","370","48630","50520"
"In post","2021","Legal","Male","Declared non-disabled","3340","3240","48850","50500"
"In post","2021","Legal","Male","Undeclared","290","280","43730","36590"
"In post","2021","Legal","Male","Unknown","1090","1070","42630","38000"
"In post","2021","Medicine","Female","Declared disabled","80","70","50710","38640"
"In post","2021","Medicine","Female","Declared non-disabled","1100","980","49860","37890"
"In post","2021","Medicine","Female","Undeclared","80","70","59420","51200"
"In post","2021","Medicine","Female","Unknown","480","430","55510","39680"
"In post","2021","Medicine","Male","Declared disabled","40","40","[c]","[c]"
"In post","2021","Medicine","Male","Declared non-disabled","450","420","64690","66570"
"In post","2021","Medicine","Male","Undeclared","50","40","[c]","[c]"
"In post","2021","Medicine","Male","Unknown","220","210","69180","67170"
"In post","2021","Operational Delivery","Female","Declared disabled","10310","9120","27340","24940"
"In post","2021","Operational Delivery","Female","Declared non-disabled","63610","56550","27990","25480"
"In post","2021","Operational Delivery","Female","Undeclared","5680","5020","28150","25770"
"In post","2021","Operational Delivery","Female","Unknown","17300","15600","26410","22920"
"In post","2021","Operational Delivery","Male","Declared disabled","7040","6610","29010","26780"
"In post","2021","Operational Delivery","Male","Declared non-disabled","49470","47450","30320","27280"
"In post","2021","Operational Delivery","Male","Undeclared","7070","6630","30810","31650"
"In post","2021","Operational Delivery","Male","Unknown","15620","15030","28730","25790"
"In post","2021","Operational Delivery","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Female","Declared disabled","60","50","40910","38970"
"In post","2021","Operational Research","Female","Declared non-disabled","290","270","43700","40480"
"In post","2021","Operational Research","Female","Undeclared","30","30","[c]","[c]"
"In post","2021","Operational Research","Female","Unknown","50","50","42410","37020"
"In post","2021","Operational Research","Male","Declared disabled","80","80","43130","38630"
"In post","2021","Operational Research","Male","Declared non-disabled","500","480","45470","46080"
"In post","2021","Operational Research","Male","Undeclared","70","70","46160","46080"
"In post","2021","Operational Research","Male","Unknown","110","110","42940","40000"
"In post","2021","Operational Research","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other","Female","Declared disabled","1000","920","27950","24620"
"In post","2021","Other","Female","Declared non-disabled","7390","6960","29800","25440"
"In post","2021","Other","Female","Undeclared","580","550","28260","23890"
"In post","2021","Other","Female","Unknown","1790","1690","32710","28650"
"In post","2021","Other","Male","Declared disabled","900","870","28960","26250"
"In post","2021","Other","Male","Declared non-disabled","6690","6540","33410","28240"
"In post","2021","Other","Male","Undeclared","780","750","31230","27500"
"In post","2021","Other","Male","Unknown","3550","3490","35320","32700"
"In post","2021","Planning","Female","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Female","Declared non-disabled","80","70","45330","40720"
"In post","2021","Planning","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Male","Declared non-disabled","80","80","49040","43360"
"In post","2021","Planning","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Female","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Female","Declared non-disabled","90","80","58080","58810"
"In post","2021","Planning Inspectors","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Male","Declared non-disabled","160","140","58370","58810"
"In post","2021","Planning Inspectors","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Male","Unknown","40","40","[c]","[c]"
"In post","2021","Policy","Female","Declared disabled","1390","1340","43880","39330"
"In post","2021","Policy","Female","Declared non-disabled","10590","10110","46650","42170"
"In post","2021","Policy","Female","Undeclared","800","780","44030","39580"
"In post","2021","Policy","Female","Unknown","2940","2850","44900","40220"
"In post","2021","Policy","Male","Declared disabled","1070","1050","46330","41760"
"In post","2021","Policy","Male","Declared non-disabled","9120","9020","49930","49860"
"In post","2021","Policy","Male","Undeclared","850","840","47880","44170"
"In post","2021","Policy","Male","Unknown","2330","2310","47460","43350"
"In post","2021","Policy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","Declared disabled","850","810","39060","36160"
"In post","2021","Project Delivery","Female","Declared non-disabled","5720","5470","40740","37730"
"In post","2021","Project Delivery","Female","Undeclared","420","400","40100","37890"
"In post","2021","Project Delivery","Female","Unknown","1060","1020","41030","38600"
"In post","2021","Project Delivery","Male","Declared disabled","630","610","42280","40000"
"In post","2021","Project Delivery","Male","Declared non-disabled","5740","5650","44730","40580"
"In post","2021","Project Delivery","Male","Undeclared","510","500","43610","40580"
"In post","2021","Project Delivery","Male","Unknown","1090","1070","43850","40000"
"In post","2021","Project Delivery","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Declared disabled","270","250","34870","33000"
"In post","2021","Property","Female","Declared non-disabled","1910","1780","35070","33000"
"In post","2021","Property","Female","Undeclared","200","180","34190","31100"
"In post","2021","Property","Female","Unknown","400","370","31130","28700"
"In post","2021","Property","Male","Declared disabled","300","290","35610","33300"
"In post","2021","Property","Male","Declared non-disabled","2910","2840","38640","34770"
"In post","2021","Property","Male","Undeclared","330","320","38750","35480"
"In post","2021","Property","Male","Unknown","640","630","33540","30270"
"In post","2021","Psychology","Female","Declared disabled","100","100","32800","29750"
"In post","2021","Psychology","Female","Declared non-disabled","890","850","35970","31180"
"In post","2021","Psychology","Female","Undeclared","110","110","37640","31180"
"In post","2021","Psychology","Female","Unknown","130","130","32980","30930"
"In post","2021","Psychology","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Male","Declared non-disabled","120","120","36070","30450"
"In post","2021","Psychology","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Female","Declared disabled","370","350","35310","32560"
"In post","2021","Science and Engineering","Female","Declared non-disabled","3040","2820","37970","36330"
"In post","2021","Science and Engineering","Female","Undeclared","260","240","39950","37910"
"In post","2021","Science and Engineering","Female","Unknown","810","750","40610","38940"
"In post","2021","Science and Engineering","Male","Declared disabled","750","730","37500","37210"
"In post","2021","Science and Engineering","Male","Declared non-disabled","6530","6370","39060","37360"
"In post","2021","Science and Engineering","Male","Undeclared","800","770","38760","37320"
"In post","2021","Science and Engineering","Male","Unknown","1530","1490","39360","37320"
"In post","2021","Security","Female","Declared disabled","150","150","30900","28200"
"In post","2021","Security","Female","Declared non-disabled","1180","1130","32130","28950"
"In post","2021","Security","Female","Undeclared","120","120","36150","32980"
"In post","2021","Security","Female","Unknown","290","280","31180","28080"
"In post","2021","Security","Male","Declared disabled","450","430","32240","28970"
"In post","2021","Security","Male","Declared non-disabled","4060","3990","30900","26610"
"In post","2021","Security","Male","Undeclared","560","550","34030","35750"
"In post","2021","Security","Male","Unknown","1510","1490","31160","28890"
"In post","2021","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Female","Declared disabled","80","70","42580","40200"
"In post","2021","Social Research","Female","Declared non-disabled","530","500","44670","43760"
"In post","2021","Social Research","Female","Undeclared","30","30","[c]","[c]"
"In post","2021","Social Research","Female","Unknown","160","160","36270","36940"
"In post","2021","Social Research","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Male","Declared non-disabled","210","200","46330","47000"
"In post","2021","Social Research","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Male","Unknown","100","100","36200","34800"
"In post","2021","Social Research","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Female","Declared disabled","80","80","42520","39090"
"In post","2021","Statistics","Female","Declared non-disabled","630","600","44090","40640"
"In post","2021","Statistics","Female","Undeclared","30","30","[c]","[c]"
"In post","2021","Statistics","Female","Unknown","200","190","39280","37010"
"In post","2021","Statistics","Male","Declared disabled","90","90","43580","38090"
"In post","2021","Statistics","Male","Declared non-disabled","720","710","44730","41540"
"In post","2021","Statistics","Male","Undeclared","60","60","42710","40920"
"In post","2021","Statistics","Male","Unknown","200","200","40550","37020"
"In post","2021","Statistics","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Tax","Female","Declared disabled","710","650","34180","31810"
"In post","2021","Tax","Female","Declared non-disabled","4670","4290","34400","31810"
"In post","2021","Tax","Female","Undeclared","340","310","36580","31980"
"In post","2021","Tax","Female","Unknown","2710","2540","27030","25560"
"In post","2021","Tax","Male","Declared disabled","650","610","36370","31940"
"In post","2021","Tax","Male","Declared non-disabled","5090","4890","36870","31810"
"In post","2021","Tax","Male","Undeclared","530","500","39050","35000"
"In post","2021","Tax","Male","Unknown","3110","3010","29340","25560"
"In post","2021","Unknown","Female","Declared disabled","11490","9870","28250","27570"
"In post","2021","Unknown","Female","Declared non-disabled","53190","46450","29370","27570"
"In post","2021","Unknown","Female","Undeclared","2810","2530","28670","27570"
"In post","2021","Unknown","Female","Unknown","7370","7000","36350","29250"
"In post","2021","Unknown","Male","Declared disabled","6000","5660","29240","27570"
"In post","2021","Unknown","Male","Declared non-disabled","31230","30210","32140","27570"
"In post","2021","Unknown","Male","Undeclared","2060","2000","30700","27570"
"In post","2021","Unknown","Male","Unknown","6510","6420","38550","31810"
"In post","2021","Veterinarian","Female","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","Female","Declared non-disabled","190","180","45840","45110"
"In post","2021","Veterinarian","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","Male","Declared non-disabled","150","140","46530","47550"
"In post","2021","Veterinarian","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Female","Declared disabled","350","330","37610","36530"
"In post","2022","Commercial","Female","Declared non-disabled","2210","2090","38590","36050"
"In post","2022","Commercial","Female","Undeclared","170","160","40020","37100"
"In post","2022","Commercial","Female","Unknown","670","640","38390","36500"
"In post","2022","Commercial","Male","Declared disabled","250","240","39140","36500"
"In post","2022","Commercial","Male","Declared non-disabled","1790","1760","42080","38800"
"In post","2022","Commercial","Male","Undeclared","180","170","44270","41500"
"In post","2022","Commercial","Male","Unknown","590","580","40300","38260"
"In post","2022","Communications","Female","Declared disabled","200","190","39730","36960"
"In post","2022","Communications","Female","Declared non-disabled","1570","1490","42580","39580"
"In post","2022","Communications","Female","Undeclared","80","80","41460","38670"
"In post","2022","Communications","Female","Unknown","640","620","42460","38620"
"In post","2022","Communications","Male","Declared disabled","120","120","37320","34360"
"In post","2022","Communications","Male","Declared non-disabled","1060","1040","43000","39580"
"In post","2022","Communications","Male","Undeclared","80","80","40200","37800"
"In post","2022","Communications","Male","Unknown","430","420","43630","40000"
"In post","2022","Corporate Finance","Female","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Female","Declared non-disabled","70","60","42490","38590"
"In post","2022","Corporate Finance","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Male","Declared non-disabled","60","60","57180","48090"
"In post","2022","Corporate Finance","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Female","Declared disabled","620","540","28320","27570"
"In post","2022","Counter Fraud","Female","Declared non-disabled","2950","2570","28120","27570"
"In post","2022","Counter Fraud","Female","Undeclared","180","160","29400","27570"
"In post","2022","Counter Fraud","Female","Unknown","150","140","31610","27570"
"In post","2022","Counter Fraud","Male","Declared disabled","370","340","28390","27570"
"In post","2022","Counter Fraud","Male","Declared non-disabled","1990","1870","30530","27570"
"In post","2022","Counter Fraud","Male","Undeclared","150","140","30200","27570"
"In post","2022","Counter Fraud","Male","Unknown","170","160","35080","31000"
"In post","2022","Digital, Data and Technology","Female","Declared disabled","700","660","38870","35970"
"In post","2022","Digital, Data and Technology","Female","Declared non-disabled","4660","4420","41120","37930"
"In post","2022","Digital, Data and Technology","Female","Undeclared","290","280","39770","36760"
"In post","2022","Digital, Data and Technology","Female","Unknown","1350","1310","41610","37930"
"In post","2022","Digital, Data and Technology","Male","Declared disabled","1040","1010","40860","36970"
"In post","2022","Digital, Data and Technology","Male","Declared non-disabled","8340","8220","43170","40060"
"In post","2022","Digital, Data and Technology","Male","Undeclared","800","790","41740","38460"
"In post","2022","Digital, Data and Technology","Male","Unknown","2830","2800","42490","38550"
"In post","2022","Economics","Female","Declared disabled","50","40","[c]","[c]"
"In post","2022","Economics","Female","Declared non-disabled","540","520","48470","50810"
"In post","2022","Economics","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Female","Unknown","160","150","41420","34710"
"In post","2022","Economics","Male","Declared disabled","70","70","47860","41840"
"In post","2022","Economics","Male","Declared non-disabled","850","840","49500","51210"
"In post","2022","Economics","Male","Undeclared","70","70","45630","40370"
"In post","2022","Economics","Male","Unknown","330","320","44350","37930"
"In post","2022","Finance","Female","Declared disabled","660","620","37340","33300"
"In post","2022","Finance","Female","Declared non-disabled","4840","4560","38870","34520"
"In post","2022","Finance","Female","Undeclared","330","310","38350","34050"
"In post","2022","Finance","Female","Unknown","1060","1010","38440","35000"
"In post","2022","Finance","Male","Declared disabled","460","440","40040","36050"
"In post","2022","Finance","Male","Declared non-disabled","3750","3700","43620","40000"
"In post","2022","Finance","Male","Undeclared","340","330","41970","39740"
"In post","2022","Finance","Male","Unknown","890","880","40810","37000"
"In post","2022","Geography","Female","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Female","Declared non-disabled","110","100","31280","33000"
"In post","2022","Geography","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Female","Unknown","30","30","[c]","[c]"
"In post","2022","Geography","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Male","Declared non-disabled","180","180","32140","33290"
"In post","2022","Geography","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Male","Unknown","100","100","31220","29290"
"In post","2022","Human Resources","Female","Declared disabled","900","840","39680","35070"
"In post","2022","Human Resources","Female","Declared non-disabled","4560","4260","38920","34290"
"In post","2022","Human Resources","Female","Undeclared","350","330","37600","34610"
"In post","2022","Human Resources","Female","Unknown","980","930","35890","31970"
"In post","2022","Human Resources","Male","Declared disabled","370","360","40210","36190"
"In post","2022","Human Resources","Male","Declared non-disabled","1880","1840","40610","36740"
"In post","2022","Human Resources","Male","Undeclared","150","140","39120","35590"
"In post","2022","Human Resources","Male","Unknown","440","430","37330","33300"
"In post","2022","Inspector of Education and Training","Female","Declared disabled","50","50","59630","51360"
"In post","2022","Inspector of Education and Training","Female","Declared non-disabled","570","550","63570","64500"
"In post","2022","Inspector of Education and Training","Female","Unknown","60","50","57510","51360"
"In post","2022","Inspector of Education and Training","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Male","Declared non-disabled","230","230","73150","75500"
"In post","2022","Inspector of Education and Training","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Female","Declared disabled","150","140","31410","28760"
"In post","2022","Intelligence Analysis","Female","Declared non-disabled","1090","1020","32010","29080"
"In post","2022","Intelligence Analysis","Female","Undeclared","110","110","32420","29310"
"In post","2022","Intelligence Analysis","Female","Unknown","130","130","34640","30820"
"In post","2022","Intelligence Analysis","Male","Declared disabled","150","140","35260","33080"
"In post","2022","Intelligence Analysis","Male","Declared non-disabled","1220","1190","35090","31810"
"In post","2022","Intelligence Analysis","Male","Undeclared","160","160","36100","33330"
"In post","2022","Intelligence Analysis","Male","Unknown","220","220","35780","33300"
"In post","2022","Internal Audit","Female","Declared disabled","50","50","44610","41230"
"In post","2022","Internal Audit","Female","Declared non-disabled","310","290","44530","42230"
