"Status","Year","Profession_of_post","Age","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","16-19","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Female","450","450","30800","29550"
"In post","2021","Commercial","20-29","Male","400","400","30700","29550"
"In post","2021","Commercial","30-39","Female","710","660","37330","35430"
"In post","2021","Commercial","30-39","Male","570","570","39750","38260"
"In post","2021","Commercial","40-49","Female","790","750","42240","39420"
"In post","2021","Commercial","40-49","Male","540","540","45090","41550"
"In post","2021","Commercial","50-59","Female","730","700","40930","37920"
"In post","2021","Commercial","50-59","Male","780","780","47670","43580"
"In post","2021","Commercial","60-64","Female","150","130","40990","37570"
"In post","2021","Commercial","60-64","Male","160","150","46150","42550"
"In post","2021","Commercial","65+","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","65+","Male","40","40","[c]","[c]"
"In post","2021","Communications","16-19","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","16-19","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","Female","550","540","33710","32440"
"In post","2021","Communications","20-29","Male","290","290","35250","33610"
"In post","2021","Communications","30-39","Female","720","680","42870","40200"
"In post","2021","Communications","30-39","Male","450","450","43370","40650"
"In post","2021","Communications","40-49","Female","600","540","46210","42420"
"In post","2021","Communications","40-49","Male","450","450","45440","40850"
"In post","2021","Communications","50-59","Female","390","380","42710","38630"
"In post","2021","Communications","50-59","Male","340","340","41940","36780"
"In post","2021","Communications","60-64","Female","60","50","39910","36310"
"In post","2021","Communications","60-64","Male","70","60","36610","33300"
"In post","2021","Communications","65+","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","65+","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","20-29","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","20-29","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","30-39","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","30-39","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","40-49","Female","30","30","[c]","[c]"
"In post","2021","Corporate Finance","40-49","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","50-59","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","50-59","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","60-64","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","60-64","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","65+","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","65+","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","20-29","Female","50","40","[c]","[c]"
"In post","2021","Counter Fraud","20-29","Male","30","30","[c]","[c]"
"In post","2021","Counter Fraud","30-39","Female","100","90","35730","33100"
"In post","2021","Counter Fraud","30-39","Male","90","90","37960","35620"
"In post","2021","Counter Fraud","40-49","Female","110","100","35530","34500"
"In post","2021","Counter Fraud","40-49","Male","110","110","41050","39150"
"In post","2021","Counter Fraud","50-59","Female","120","120","37090","34050"
"In post","2021","Counter Fraud","50-59","Male","180","170","43210","39980"
"In post","2021","Counter Fraud","60-64","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","60-64","Male","70","60","40700","38510"
"In post","2021","Counter Fraud","65+","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","65+","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","16-19","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","16-19","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","20-29","Female","680","670","33550","31810"
"In post","2021","Digital, Data and Technology","20-29","Male","1260","1250","33130","31810"
