"Status","Year","Profession_of_post","Ethnicity","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Asian","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","London","100","100","41720","38540"
"In post","2021","Commercial","Asian","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","West Midlands (England)","40","30","[c]","[c]"
"In post","2021","Commercial","Asian","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","London","100","100","40140","37770"
"In post","2021","Commercial","Black","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","London","30","30","[c]","[c]"
"In post","2021","Commercial","Mixed","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Wales","[c]","[c]","[c]","[c]"
