"Status","Year","Parent_department","Responsibility_level","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","AA/AO","East Midlands (England)","110","110","21360","21950"
"In post","2021","Attorney General's Departments","AA/AO","East of England","110","100","22440","23520"
"In post","2021","Attorney General's Departments","AA/AO","London","420","390","23220","23520"
"In post","2021","Attorney General's Departments","AA/AO","North East (England)","100","80","21860","21950"
"In post","2021","Attorney General's Departments","AA/AO","North West (England)","210","190","21970","21950"
"In post","2021","Attorney General's Departments","AA/AO","South East (England)","150","140","22760","23520"
"In post","2021","Attorney General's Departments","AA/AO","South West (England)","60","50","21750","21950"
"In post","2021","Attorney General's Departments","AA/AO","Wales","80","70","21970","21950"
"In post","2021","Attorney General's Departments","AA/AO","West Midlands (England)","130","120","21790","21950"
"In post","2021","Attorney General's Departments","AA/AO","Yorkshire and The Humber","180","160","21720","21950"
"In post","2021","Attorney General's Departments","EO","East Midlands (England)","90","80","27040","27350"
"In post","2021","Attorney General's Departments","EO","East of England","110","100","28640","28430"
"In post","2021","Attorney General's Departments","EO","London","740","700","28640","27760"
"In post","2021","Attorney General's Departments","EO","North East (England)","60","60","27390","28430"
"In post","2021","Attorney General's Departments","EO","North West (England)","210","200","27610","28430"
"In post","2021","Attorney General's Departments","EO","South East (England)","150","140","28650","27760"
"In post","2021","Attorney General's Departments","EO","South West (England)","60","60","26970","26340"
"In post","2021","Attorney General's Departments","EO","Wales","60","50","27440","28430"
"In post","2021","Attorney General's Departments","EO","West Midlands (England)","110","100","27170","28430"
"In post","2021","Attorney General's Departments","EO","Yorkshire and The Humber","170","160","27110","27350"
"In post","2021","Attorney General's Departments","G6/G7","East Midlands (England)","180","170","53780","54170"
"In post","2021","Attorney General's Departments","G6/G7","East of England","190","170","58620","59930"
"In post","2021","Attorney General's Departments","G6/G7","London","2550","2370","60350","61360"
"In post","2021","Attorney General's Departments","G6/G7","North East (England)","130","130","54840","55610"
"In post","2021","Attorney General's Departments","G6/G7","North West (England)","400","380","55690","55610"
"In post","2021","Attorney General's Departments","G6/G7","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","South East (England)","290","270","59500","61640"
"In post","2021","Attorney General's Departments","G6/G7","South West (England)","150","140","55380","55610"
"In post","2021","Attorney General's Departments","G6/G7","Wales","170","150","54990","55610"
"In post","2021","Attorney General's Departments","G6/G7","West Midlands (England)","240","220","55630","55610"
"In post","2021","Attorney General's Departments","G6/G7","Yorkshire and The Humber","460","420","56790","55610"
"In post","2021","Attorney General's Departments","SCS","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","London","260","250","87160","81420"
"In post","2021","Attorney General's Departments","SCS","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","West Midlands (England)","[c]","[c]","[c]","[c]"
