"Status","Year","Sex","Profession_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Commercial","AA/AO","160","150","22370","21710"
"In post","2021","Female","Commercial","EO","420","390","25870","26400"
"In post","2021","Female","Commercial","G6/G7","470","450","57950","54970"
"In post","2021","Female","Commercial","SCS","50","40","[c]","[c]"
"In post","2021","Female","Commercial","SEO/HEO","1650","1570","36900","36780"
"In post","2021","Female","Commercial","Unknown","110","100","36870","33010"
"In post","2021","Female","Communications","AA/AO","140","130","22170","21590"
"In post","2021","Female","Communications","EO","370","350","27400","26970"
"In post","2021","Female","Communications","G6/G7","560","530","57970","56620"
"In post","2021","Female","Communications","SCS","70","60","83440","79580"
"In post","2021","Female","Communications","SEO/HEO","1190","1140","37870","37410"
"In post","2021","Female","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","G6/G7","30","30","[c]","[c]"
"In post","2021","Female","Corporate Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Female","Counter Fraud","AA/AO","40","30","[c]","[c]"
"In post","2021","Female","Counter Fraud","EO","120","110","26410","25580"
"In post","2021","Female","Counter Fraud","G6/G7","30","30","[c]","[c]"
"In post","2021","Female","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","SEO/HEO","210","200","37240","37910"
"In post","2021","Female","Digital, Data and Technology","AA/AO","190","180","21760","21420"
"In post","2021","Female","Digital, Data and Technology","EO","810","760","27230","26670"
"In post","2021","Female","Digital, Data and Technology","G6/G7","1190","1150","57040","55650"
"In post","2021","Female","Digital, Data and Technology","SCS","80","80","87410","80420"
"In post","2021","Female","Digital, Data and Technology","SEO/HEO","2340","2220","36870","36740"
"In post","2021","Female","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","AA/AO","40","40","[c]","[c]"
"In post","2021","Female","Economics","EO","60","60","26300","26250"
"In post","2021","Female","Economics","G6/G7","360","330","59210","57850"
"In post","2021","Female","Economics","SCS","30","30","[c]","[c]"
"In post","2021","Female","Economics","SEO/HEO","310","310","34670","33880"
"In post","2021","Female","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","AA/AO","810","660","21400","21440"
"In post","2021","Female","Finance","EO","1050","970","26670","26670"
"In post","2021","Female","Finance","G6/G7","1020","980","58220","57460"
"In post","2021","Female","Finance","SCS","110","110","88770","81830"
"In post","2021","Female","Finance","SEO/HEO","2080","1970","37440","36820"
"In post","2021","Female","Finance","Unknown","80","80","41270","39860"
"In post","2021","Female","Human Resources","AA/AO","890","790","21650","21130"
"In post","2021","Female","Human Resources","EO","990","920","26910","26670"
"In post","2021","Female","Human Resources","G6/G7","1170","1120","57900","56610"
