"Status","Year","Region_ITL1","Parent_department","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Attorney General's Departments","AA/AO","110","110","21360","21950"
"In post","2021","East Midlands (England)","Attorney General's Departments","EO","90","80","27040","27350"
"In post","2021","East Midlands (England)","Attorney General's Departments","G6/G7","180","170","53780","54170"
"In post","2021","East Midlands (England)","Attorney General's Departments","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Attorney General's Departments","SEO/HEO","60","50","35150","34480"
"In post","2021","East Midlands (England)","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Cabinet Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Cabinet Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Cabinet Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy","AA/AO","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy","EO","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy","SEO/HEO","120","110","35290","34500"
"In post","2021","East Midlands (England)","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education","EO","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education","G6/G7","100","100","54100","50630"
"In post","2021","East Midlands (England)","Department for Education","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education","SEO/HEO","150","140","35260","36500"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs","AA/AO","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs","EO","60","60","25460","25190"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs","G6/G7","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs","SEO/HEO","90","80","33800","32160"
"In post","2021","East Midlands (England)","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport","AA/AO","100","100","23860","21590"
"In post","2021","East Midlands (England)","Department for Transport","EO","250","240","27110","26780"
"In post","2021","East Midlands (England)","Department for Transport","G6/G7","60","60","62310","56730"
"In post","2021","East Midlands (England)","Department for Transport","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport","SEO/HEO","230","220","37210","37200"
"In post","2021","East Midlands (England)","Department for Work and Pensions","AA/AO","1540","1290","20840","21010"
"In post","2021","East Midlands (England)","Department for Work and Pensions","EO","2680","2420","27490","27570"
"In post","2021","East Midlands (England)","Department for Work and Pensions","G6/G7","140","130","59240","57510"
"In post","2021","East Midlands (England)","Department for Work and Pensions","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Work and Pensions","SEO/HEO","520","490","35310","33650"
"In post","2021","East Midlands (England)","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department of Health and Social Care","G6/G7","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Department of Health and Social Care","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department of Health and Social Care","SEO/HEO","90","80","34630","36330"
"In post","2021","East Midlands (England)","Food Standards Agency","EO","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","HM Land Registry","AA/AO","230","210","22340","22350"
"In post","2021","East Midlands (England)","HM Land Registry","EO","320","280","27170","27130"
"In post","2021","East Midlands (England)","HM Land Registry","G6/G7","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","HM Land Registry","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Land Registry","SEO/HEO","270","250","36750","33840"
"In post","2021","East Midlands (England)","HM Revenue and Customs","AA/AO","890","780","20540","20140"
"In post","2021","East Midlands (England)","HM Revenue and Customs","EO","990","920","25930","25560"
"In post","2021","East Midlands (England)","HM Revenue and Customs","G6/G7","500","480","55110","52580"
"In post","2021","East Midlands (England)","HM Revenue and Customs","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Revenue and Customs","SEO/HEO","1540","1470","34150","31810"
"In post","2021","East Midlands (England)","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Home Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Home Office","EO","140","130","25920","25310"
"In post","2021","East Midlands (England)","Home Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Home Office","SEO/HEO","50","50","33040","31100"
"In post","2021","East Midlands (England)","Ministry of Defence","AA/AO","940","900","21050","20920"
"In post","2021","East Midlands (England)","Ministry of Defence","EO","310","300","28080","26670"
"In post","2021","East Midlands (England)","Ministry of Defence","G6/G7","70","60","64310","56230"
"In post","2021","East Midlands (England)","Ministry of Defence","SEO/HEO","480","460","36550","34970"
"In post","2021","East Midlands (England)","Ministry of Defence","Unknown","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice","AA/AO","4030","3720","23100","21710"
"In post","2021","East Midlands (England)","Ministry of Justice","EO","1040","990","26670","26330"
"In post","2021","East Midlands (England)","Ministry of Justice","G6/G7","130","120","62450","60000"
"In post","2021","East Midlands (England)","Ministry of Justice","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice","SEO/HEO","960","910","37720","36720"
"In post","2021","East Midlands (England)","Ministry of Justice","Unknown","960","880","29420","28260"
"In post","2021","East Midlands (England)","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","National Crime Agency","EO","70","70","32630","32770"
"In post","2021","East Midlands (England)","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","National Crime Agency","SEO/HEO","70","70","42410","42780"
"In post","2021","East Midlands (England)","Office for Standards in Education","AA/AO","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Office for Standards in Education","EO","[c]","[c]","[c]","[c]"
