"Status","Year","Region_ITL3","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Operational Delivery","Female","280","260","29410","25870"
"In post","2021","Aberdeen City and Aberdeenshire","Operational Delivery","Male","350","330","43520","33650"
"In post","2021","Aberdeen City and Aberdeenshire","Other","Female","40","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Policy","Female","50","50","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Policy","Male","30","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Psychology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Psychology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Security","Male","80","80","41160","44070"
"In post","2021","Aberdeen City and Aberdeenshire","Tax","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Tax","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Female","490","440","31840","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Male","410","390","35490","30650"
"In post","2021","Aberdeen City and Aberdeenshire","Veterinarian","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Veterinarian","Male","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Medicine","Female","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Medicine","Male","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Operational Delivery","Female","210","180","24290","21490"
"In post","2021","Angus and Dundee City","Operational Delivery","Male","140","140","22700","21400"
"In post","2021","Angus and Dundee City","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Tax","Female","40","40","[c]","[c]"
"In post","2021","Angus and Dundee City","Tax","Male","40","40","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Female","870","780","26580","23340"
"In post","2021","Angus and Dundee City","Unknown","Male","520","500","26050","21150"
"In post","2021","Antrim and Newtownabbey","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Medicine","Female","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Medicine","Male","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Other","Male","30","30","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Security","Male","70","70","21120","20310"
"In post","2021","Antrim and Newtownabbey","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Medicine","Female","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Medicine","Male","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Operational Delivery","Male","30","30","[c]","[c]"
"In post","2021","Ards and North Down","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Security","Male","90","90","20850","20310"
"In post","2021","Ards and North Down","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Legal","Female","[c]","[c]","[c]","[c]"
