"Status","Year","Function_of_post","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Economics","50","50","[c]","[c]"
"In post","2021","Analysis","AA/AO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Operational Delivery","30","30","[c]","[c]"
"In post","2021","Analysis","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Science and Engineering","40","40","[c]","[c]"
"In post","2021","Analysis","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Statistics","30","30","[c]","[c]"
"In post","2021","Analysis","EO","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Analysis","EO","Economics","90","90","27180","27680"
"In post","2021","Analysis","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Operational Delivery","180","160","24920","24240"
"In post","2021","Analysis","EO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Science and Engineering","100","90","25200","24920"
"In post","2021","Analysis","EO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Statistics","200","200","27320","27200"
"In post","2021","Analysis","EO","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Digital, Data and Technology","70","60","56590","54160"
"In post","2021","Analysis","G6/G7","Economics","510","490","59910","58130"
"In post","2021","Analysis","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Intelligence Analysis","200","200","57990","54320"
"In post","2021","Analysis","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Operational Delivery","60","50","53880","49410"
"In post","2021","Analysis","G6/G7","Operational Research","280","260","55120","56350"
"In post","2021","Analysis","G6/G7","Other","120","110","84100","79450"
"In post","2021","Analysis","G6/G7","Policy","130","120","57560","54400"
"In post","2021","Analysis","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Science and Engineering","150","140","52950","48080"
"In post","2021","Analysis","G6/G7","Social Research","260","240","55560","54780"
"In post","2021","Analysis","G6/G7","Statistics","570","550","56830","57110"
"In post","2021","Analysis","G6/G7","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Unknown","30","30","[c]","[c]"
"In post","2021","Analysis","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Economics","60","60","90730","82810"
"In post","2021","Analysis","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Operational Research","[c]","[c]","[c]","[c]"
