"Status","Year","Sex","Ethnicity","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Asian","Analysis","210","200","43230","38630"
"In post","2021","Female","Asian","Commercial","140","130","39670","34550"
"In post","2021","Female","Asian","Communications","210","210","35740","31810"
"In post","2021","Female","Asian","Counter Fraud","290","270","31500","29570"
"In post","2021","Female","Asian","Debt","220","180","23710","24360"
"In post","2021","Female","Asian","Digital, Data & Technology","320","310","41290","36390"
"In post","2021","Female","Asian","Finance","360","340","36730","33660"
"In post","2021","Female","Asian","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Human Resources","360","340","37070","33950"
"In post","2021","Female","Asian","Internal Audit","40","40","[c]","[c]"
"In post","2021","Female","Asian","Legal","780","710","42110","40920"
"In post","2021","Female","Asian","No function","5100","4660","32200","28130"
"In post","2021","Female","Asian","Project Delivery","560","540","41070","37640"
"In post","2021","Female","Asian","Property","160","140","31710","29450"
"In post","2021","Female","Asian","Security","80","70","34800","33080"
"In post","2021","Female","Asian","Unknown","7490","6570","29400","27570"
"In post","2021","Female","Black","Analysis","100","100","38410","36120"
"In post","2021","Female","Black","Commercial","120","120","38600","36060"
"In post","2021","Female","Black","Communications","140","130","33700","31810"
"In post","2021","Female","Black","Counter Fraud","160","160","31400","29570"
"In post","2021","Female","Black","Debt","100","90","25420","24120"
"In post","2021","Female","Black","Digital, Data & Technology","160","150","38250","35960"
"In post","2021","Female","Black","Finance","220","210","38080","35990"
"In post","2021","Female","Black","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Human Resources","260","250","37270","33820"
"In post","2021","Female","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Legal","480","450","40580","35000"
"In post","2021","Female","Black","No function","3590","3420","31690","28690"
"In post","2021","Female","Black","Project Delivery","400","390","39120","36160"
"In post","2021","Female","Black","Property","90","90","34880","31620"
"In post","2021","Female","Black","Security","40","40","[c]","[c]"
"In post","2021","Female","Black","Unknown","4200","3900","30300","29360"
"In post","2021","Female","Chinese","Analysis","30","30","[c]","[c]"
"In post","2021","Female","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Finance","30","30","[c]","[c]"
"In post","2021","Female","Chinese","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Legal","40","40","[c]","[c]"
"In post","2021","Female","Chinese","No function","260","250","36900","32790"
"In post","2021","Female","Chinese","Project Delivery","30","30","[c]","[c]"
"In post","2021","Female","Chinese","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Unknown","240","220","32150","27570"
"In post","2021","Female","Mixed","Analysis","90","80","42220","37020"
"In post","2021","Female","Mixed","Commercial","60","60","38630","34670"
"In post","2021","Female","Mixed","Communications","100","100","37080","33730"
"In post","2021","Female","Mixed","Counter Fraud","60","50","30820","27830"
"In post","2021","Female","Mixed","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Female","Mixed","Digital, Data & Technology","100","100","42300","40480"
"In post","2021","Female","Mixed","Finance","90","80","39700","36590"
"In post","2021","Female","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Mixed","Human Resources","120","110","41230","37010"
"In post","2021","Female","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Mixed","Legal","230","210","46690","50520"
"In post","2021","Female","Mixed","No function","1880","1770","33510","30500"
"In post","2021","Female","Mixed","Project Delivery","230","220","41000","36890"
"In post","2021","Female","Mixed","Property","60","50","33330","31600"
"In post","2021","Female","Mixed","Security","40","30","[c]","[c]"
"In post","2021","Female","Mixed","Unknown","1750","1610","30690","27570"
"In post","2021","Female","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other ethnicity","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","Female","Other ethnicity","Finance","30","30","[c]","[c]"
"In post","2021","Female","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other ethnicity","Human Resources","40","30","[c]","[c]"
"In post","2021","Female","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other ethnicity","Legal","100","90","50630","52730"
"In post","2021","Female","Other ethnicity","No function","540","500","35510","31810"
"In post","2021","Female","Other ethnicity","Project Delivery","70","70","43770","39100"
"In post","2021","Female","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other ethnicity","Unknown","480","440","31050","28850"
"In post","2021","Female","Undeclared","Analysis","60","60","44850","42220"
"In post","2021","Female","Undeclared","Commercial","120","110","36780","34090"
"In post","2021","Female","Undeclared","Communications","90","80","35730","31810"
"In post","2021","Female","Undeclared","Counter Fraud","200","180","33730","31810"
"In post","2021","Female","Undeclared","Debt","80","60","24390","24120"
"In post","2021","Female","Undeclared","Digital, Data & Technology","150","150","41060","38540"
"In post","2021","Female","Undeclared","Finance","160","140","36980","33300"
"In post","2021","Female","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Human Resources","180","160","35680","32180"
"In post","2021","Female","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Legal","190","170","45820","43460"
"In post","2021","Female","Undeclared","No function","2820","2560","32990","29190"
"In post","2021","Female","Undeclared","Project Delivery","460","440","39630","37320"
"In post","2021","Female","Undeclared","Property","150","130","34320","33250"
"In post","2021","Female","Undeclared","Security","70","70","33600","33300"
"In post","2021","Female","Undeclared","Unknown","3790","3270","29200","27570"
"In post","2021","Female","Unknown","Analysis","380","360","40660","36980"
"In post","2021","Female","Unknown","Commercial","770","750","56350","53320"
"In post","2021","Female","Unknown","Communications","1070","1030","33840","28500"
"In post","2021","Female","Unknown","Counter Fraud","730","680","30840","29570"
"In post","2021","Female","Unknown","Debt","810","730","21600","20140"
"In post","2021","Female","Unknown","Digital, Data & Technology","790","760","40470","36780"
"In post","2021","Female","Unknown","Finance","640","590","34580","31810"
"In post","2021","Female","Unknown","Grants Management","370","350","23980","21050"
"In post","2021","Female","Unknown","Human Resources","630","600","34910","31660"
"In post","2021","Female","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Legal","2110","1900","35430","29350"
"In post","2021","Female","Unknown","No function","15770","14560","29290","25560"
"In post","2021","Female","Unknown","Project Delivery","1310","1250","41740","38630"
"In post","2021","Female","Unknown","Property","650","590","28710","25860"
"In post","2021","Female","Unknown","Security","330","310","30490","26670"
"In post","2021","Female","Unknown","Unknown","6740","6150","31070","27570"
"In post","2021","Female","White","Analysis","2370","2200","42260","37320"
"In post","2021","Female","White","Commercial","2290","2170","39550","35570"
"In post","2021","Female","White","Communications","2650","2470","36250","31810"
"In post","2021","Female","White","Counter Fraud","3050","2760","32830","31810"
"In post","2021","Female","White","Debt","1400","1180","24040","21440"
"In post","2021","Female","White","Digital, Data & Technology","3420","3220","40170","37540"
"In post","2021","Female","White","Finance","3760","3440","37060","32780"
"In post","2021","Female","White","Grants Management","670","560","25670","24920"
"In post","2021","Female","White","Human Resources","5090","4730","37480","32960"
"In post","2021","Female","White","Internal Audit","290","270","44100","41550"
"In post","2021","Female","White","Legal","5790","5200","45160","46080"
"In post","2021","Female","White","No function","69400","62520","31850","27380"
"In post","2021","Female","White","Project Delivery","9560","9010","39770","36160"
"In post","2021","Female","White","Property","2760","2550","33050","30990"
"In post","2021","Female","White","Security","1510","1460","31950","28870"
"In post","2021","Female","White","Unknown","73670","64900","29680","27570"
"In post","2021","Male","Asian","Analysis","220","220","42530","39730"
"In post","2021","Male","Asian","Commercial","140","130","42930","37920"
"In post","2021","Male","Asian","Communications","290","290","30500","26210"
"In post","2021","Male","Asian","Counter Fraud","320","320","33160","31810"
"In post","2021","Male","Asian","Debt","140","120","24100","21400"
"In post","2021","Male","Asian","Digital, Data & Technology","480","480","41190","37640"
"In post","2021","Male","Asian","Finance","380","380","39760","36640"
"In post","2021","Male","Asian","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Asian","Human Resources","120","110","36230","32310"
"In post","2021","Male","Asian","Internal Audit","40","40","[c]","[c]"
"In post","2021","Male","Asian","Legal","370","360","43290","40800"
"In post","2021","Male","Asian","No function","4220","4070","32940","29730"
"In post","2021","Male","Asian","Project Delivery","580","570","42080","38630"
"In post","2021","Male","Asian","Property","160","150","37060","31810"
"In post","2021","Male","Asian","Security","150","150","30450","26590"
"In post","2021","Male","Asian","Unknown","5240","5070","30010","27570"
"In post","2021","Male","Black","Analysis","80","80","41080","39870"
"In post","2021","Male","Black","Commercial","60","60","43940","40580"
"In post","2021","Male","Black","Communications","70","70","31410","25560"
"In post","2021","Male","Black","Counter Fraud","90","90","31710","29570"
"In post","2021","Male","Black","Debt","60","50","25310","25600"
"In post","2021","Male","Black","Digital, Data & Technology","220","220","39930","36030"
"In post","2021","Male","Black","Finance","130","130","41640","38580"
"In post","2021","Male","Black","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Black","Human Resources","50","50","38230","34640"
"In post","2021","Male","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","Black","Legal","170","170","43150","36160"
"In post","2021","Male","Black","No function","2230","2190","32930","31570"
"In post","2021","Male","Black","Project Delivery","260","260","39070","36650"
"In post","2021","Male","Black","Property","60","50","38770","37530"
"In post","2021","Male","Black","Security","80","80","29470","22650"
"In post","2021","Male","Black","Unknown","1970","1930","30800","29290"
"In post","2021","Male","Chinese","Analysis","30","30","[c]","[c]"
"In post","2021","Male","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","Male","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","No function","200","190","36610","32560"
"In post","2021","Male","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Property","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Security","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Unknown","140","140","32540","28980"
"In post","2021","Male","Mixed","Analysis","110","100","42560","38160"
"In post","2021","Male","Mixed","Commercial","40","40","[c]","[c]"
"In post","2021","Male","Mixed","Communications","60","60","35410","31810"
"In post","2021","Male","Mixed","Counter Fraud","80","70","36840","34250"
"In post","2021","Male","Mixed","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mixed","Digital, Data & Technology","130","130","44470","40040"
"In post","2021","Male","Mixed","Finance","70","70","43840","40000"
"In post","2021","Male","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mixed","Human Resources","60","60","40400","34020"
"In post","2021","Male","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mixed","Legal","120","110","48850","51120"
"In post","2021","Male","Mixed","No function","1400","1360","36670","32560"
"In post","2021","Male","Mixed","Project Delivery","230","220","43350","39860"
"In post","2021","Male","Mixed","Property","50","50","[c]","[c]"
"In post","2021","Male","Mixed","Security","60","60","35060","31360"
"In post","2021","Male","Mixed","Unknown","1050","1010","31690","27570"
"In post","2021","Male","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other ethnicity","Digital, Data & Technology","60","60","45840","40230"
"In post","2021","Male","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other ethnicity","Legal","60","60","54830","58460"
"In post","2021","Male","Other ethnicity","No function","440","430","37800","33590"
"In post","2021","Male","Other ethnicity","Project Delivery","80","70","44790","42940"
"In post","2021","Male","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other ethnicity","Security","30","30","[c]","[c]"
"In post","2021","Male","Other ethnicity","Unknown","370","360","33770","28670"
"In post","2021","Male","Undeclared","Analysis","180","180","44990","41790"
"In post","2021","Male","Undeclared","Commercial","160","160","43310","40580"
"In post","2021","Male","Undeclared","Communications","130","130","33590","31810"
"In post","2021","Male","Undeclared","Counter Fraud","380","360","37520","32520"
"In post","2021","Male","Undeclared","Debt","70","70","25100","21440"
"In post","2021","Male","Undeclared","Digital, Data & Technology","500","490","42090","39670"
"In post","2021","Male","Undeclared","Finance","220","210","41520","37570"
"In post","2021","Male","Undeclared","Grants Management","60","60","28010","26520"
"In post","2021","Male","Undeclared","Human Resources","100","100","37130","33150"
"In post","2021","Male","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","Undeclared","Legal","160","160","46740","47100"
"In post","2021","Male","Undeclared","No function","4090","3920","36450","32860"
"In post","2021","Male","Undeclared","Project Delivery","1060","1030","43040","40580"
"In post","2021","Male","Undeclared","Property","320","310","38110","35540"
"In post","2021","Male","Undeclared","Security","380","380","34980","39010"
"In post","2021","Male","Undeclared","Unknown","4170","3970","31870","27570"
"In post","2021","Male","Unknown","Analysis","570","560","41030","36570"
"In post","2021","Male","Unknown","Commercial","840","830","61620","56340"
"In post","2021","Male","Unknown","Communications","1100","1090","32290","25560"
"In post","2021","Male","Unknown","Counter Fraud","960","930","33130","31810"
"In post","2021","Male","Unknown","Debt","740","720","21370","20140"
"In post","2021","Male","Unknown","Digital, Data & Technology","1700","1680","40390","37060"
"In post","2021","Male","Unknown","Finance","570","550","37270","32790"
"In post","2021","Male","Unknown","Grants Management","320","310","24590","21050"
"In post","2021","Male","Unknown","Human Resources","320","320","35280","31950"
"In post","2021","Male","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","Unknown","Legal","1060","1020","38550","29570"
"In post","2021","Male","Unknown","No function","15410","14910","31050","27690"
"In post","2021","Male","Unknown","Project Delivery","1510","1490","41640","38630"
"In post","2021","Male","Unknown","Property","860","830","32510","28870"
"In post","2021","Male","Unknown","Security","950","940","30540","27500"
"In post","2021","Male","Unknown","Unknown","7030","6920","33970","29250"
"In post","2021","Male","White","Analysis","2710","2660","45000","39850"
"In post","2021","Male","White","Commercial","2200","2170","45430","40580"
"In post","2021","Male","White","Communications","2240","2200","35200","31810"
"In post","2021","Male","White","Counter Fraud","3250","3130","35660","31810"
"In post","2021","Male","White","Debt","1000","960","24300","21440"
"In post","2021","Male","White","Digital, Data & Technology","5480","5380","42950","39100"
"In post","2021","Male","White","Finance","2700","2650","43530","38980"
"In post","2021","Male","White","Grants Management","400","390","27090","25190"
"In post","2021","Male","White","Human Resources","2230","2180","39010","34550"
"In post","2021","Male","White","Internal Audit","280","270","48600","45820"
"In post","2021","Male","White","Legal","3180","3080","49470","51250"
"In post","2021","Male","White","No function","57590","55300","35200","31650"
"In post","2021","Male","White","Project Delivery","12050","11810","42240","39750"
"In post","2021","Male","White","Property","3980","3880","36410","33300"
"In post","2021","Male","White","Security","5040","4950","31400","27420"
"In post","2021","Male","White","Unknown","48380","46590","32100","27570"
"In post","2021","Unknown","Black","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Black","No function","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Chinese","Digital, Data & Technology","[c]","[c]","[c]","[c]"
