"Status","Year","Profession_of_post","Ethnicity","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Asian","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Commercial","160","150","38560","36500"
"In post","2021","Commercial","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","No function","40","40","[c]","[c]"
"In post","2021","Commercial","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Commercial","140","130","38360","36390"
"In post","2021","Commercial","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Security","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Security","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Commercial","70","60","39420","34800"
"In post","2021","Commercial","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Commercial","180","170","38820","37320"
"In post","2021","Commercial","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Project Delivery","30","30","[c]","[c]"
"In post","2021","Commercial","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Commercial","490","480","39500","37600"
"In post","2021","Commercial","Unknown","No function","40","40","[c]","[c]"
"In post","2021","Commercial","Unknown","Project Delivery","50","50","36180","33400"
"In post","2021","Commercial","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","White","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","White","Commercial","3040","2930","40970","38000"
"In post","2021","Commercial","White","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","White","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","White","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","White","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","White","No function","180","180","45310","39680"
"In post","2021","Commercial","White","Project Delivery","660","640","38800","35150"
"In post","2021","Commercial","White","Property","30","30","[c]","[c]"
"In post","2021","Commercial","White","Security","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","White","Unknown","70","70","40470","41940"
"In post","2021","Communications","Asian","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Communications","150","150","39860","35270"
"In post","2021","Communications","Asian","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Communications","100","90","37550","34970"
"In post","2021","Communications","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Property","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Property","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Communications","100","90","39570","37190"
"In post","2021","Communications","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Communications","90","90","40890","37360"
"In post","2021","Communications","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Communications","650","640","42500","38720"
"In post","2021","Communications","Unknown","Human Resources","[c]","[c]","[c]","[c]"
