"Status","Year","Parent_department","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Commercial","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","London","60","60","43790","39750"
"In post","2021","Attorney General's Departments","Communications","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","London","280","270","45240","40080"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","London","80","80","43070","39800"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Yorkshire and The Humber","60","60","37770","32680"
"In post","2021","Attorney General's Departments","Finance","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","London","70","60","42800","32570"
"In post","2021","Attorney General's Departments","Finance","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Yorkshire and The Humber","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","London","110","110","42000","35770"
"In post","2021","Attorney General's Departments","Human Resources","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","North West (England)","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Yorkshire and The Humber","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","East Midlands (England)","210","190","51100","51470"
"In post","2021","Attorney General's Departments","Legal","East of England","240","210","53510","54770"
"In post","2021","Attorney General's Departments","Legal","London","2730","2540","60120","61000"
"In post","2021","Attorney General's Departments","Legal","North East (England)","150","150","51930","54200"
"In post","2021","Attorney General's Departments","Legal","North West (England)","450","420","53040","54200"
"In post","2021","Attorney General's Departments","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","South East (England)","350","320","56190","56560"
"In post","2021","Attorney General's Departments","Legal","South West (England)","190","170","52840","54200"
"In post","2021","Attorney General's Departments","Legal","Wales","190","170","52480","53350"
"In post","2021","Attorney General's Departments","Legal","West Midlands (England)","280","260","53280","53350"
"In post","2021","Attorney General's Departments","Legal","Yorkshire and The Humber","480","430","55050","55610"
"In post","2021","Attorney General's Departments","Operational Delivery","East Midlands (England)","190","180","25840","23470"
"In post","2021","Attorney General's Departments","Operational Delivery","East of England","230","210","27200","25820"
"In post","2021","Attorney General's Departments","Operational Delivery","London","790","740","29530","27440"
"In post","2021","Attorney General's Departments","Operational Delivery","North East (England)","170","150","25580","23470"
"In post","2021","Attorney General's Departments","Operational Delivery","North West (England)","470","430","26750","25820"
"In post","2021","Attorney General's Departments","Operational Delivery","South East (England)","330","310","27580","26970"
"In post","2021","Attorney General's Departments","Operational Delivery","South West (England)","130","120","26250","25480"
"In post","2021","Attorney General's Departments","Operational Delivery","Wales","150","140","27630","25480"
"In post","2021","Attorney General's Departments","Operational Delivery","West Midlands (England)","260","240","25590","25480"
"In post","2021","Attorney General's Departments","Operational Delivery","Yorkshire and The Humber","350","310","26160","23470"
"In post","2021","Attorney General's Departments","Other","London","420","400","32540","27580"
"In post","2021","Attorney General's Departments","Other","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","London","80","70","49350","54760"
"In post","2021","Attorney General's Departments","Policy","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","London","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Other","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","East of England","120","110","46980","38500"
"In post","2021","Cabinet Office","Unknown","London","6410","6320","49820","42270"
"In post","2021","Cabinet Office","Unknown","North East (England)","410","390","29410","24570"
"In post","2021","Cabinet Office","Unknown","North West (England)","440","430","46940","49700"
"In post","2021","Cabinet Office","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Scotland","80","80","48190","49700"
"In post","2021","Cabinet Office","Unknown","South East (England)","220","210","42660","33950"
"In post","2021","Cabinet Office","Unknown","South West (England)","190","180","53730","49700"
"In post","2021","Cabinet Office","Unknown","Unknown","600","590","36190","32000"
"In post","2021","Cabinet Office","Unknown","Wales","70","60","38410","30370"
"In post","2021","Cabinet Office","Unknown","West Midlands (England)","50","50","62730","52530"
"In post","2021","Cabinet Office","Unknown","Yorkshire and The Humber","740","700","36340","33030"
"In post","2021","Chancellor's other departments","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Commercial","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Counter Fraud","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Digital, Data and Technology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","London","40","40","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other","London","250","240","64530","56030"
"In post","2021","Chancellor's other departments","Other","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Project Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Project Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Social Research","London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Corporate Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","North West (England)","40","40","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","International Trade","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Knowledge and Information Management","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","North West (England)","40","40","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other","North West (England)","[c]","[c]","[c]","[c]"
