"Status","Year","Disability","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Heterosexual / straight","90","80","32860","27570"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Heterosexual / straight","200","180","24650","21150"
"In post","2021","Declared disabled","Angus and Dundee City","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","Heterosexual / straight","80","70","30460","31060"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","Heterosexual / straight","90","90","35360","31060"
