"Status","Year","Function_of_post","Ethnicity","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Asian","Heterosexual / straight","360","350","42360","38630"
"In post","2021","Analysis","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Unknown","30","30","[c]","[c]"
"In post","2021","Analysis","Black","Heterosexual / straight","140","140","39160","36160"
"In post","2021","Analysis","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Heterosexual / straight","50","50","[c]","[c]"
"In post","2021","Analysis","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Heterosexual / straight","150","150","43160","38510"
"In post","2021","Analysis","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Analysis","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Undeclared","160","160","44560","41780"
"In post","2021","Analysis","Undeclared","Unknown","50","40","[c]","[c]"
"In post","2021","Analysis","Unknown","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","910","880","40590","36590"
"In post","2021","Analysis","White","Heterosexual / straight","3850","3690","44330","39570"
"In post","2021","Analysis","White","LGBO","370","360","40450","36160"
"In post","2021","Analysis","White","Undeclared","280","260","44310","38550"
"In post","2021","Analysis","White","Unknown","610","570","41310","36580"
"In post","2021","Commercial","Asian","Heterosexual / straight","240","230","41840","36780"
"In post","2021","Commercial","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Heterosexual / straight","150","150","41030","37260"
"In post","2021","Commercial","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Heterosexual / straight","80","70","41050","36260"
"In post","2021","Commercial","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Commercial","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Undeclared","220","210","40190","36300"
"In post","2021","Commercial","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Heterosexual / straight","50","50","41410","38820"
"In post","2021","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","1530","1500","60040","54700"
"In post","2021","Commercial","White","Heterosexual / straight","3600","3490","42470","37910"
"In post","2021","Commercial","White","LGBO","170","160","38820","34490"
"In post","2021","Commercial","White","Undeclared","300","290","40240","36410"
"In post","2021","Commercial","White","Unknown","420","400","45160","41820"
"In post","2021","Communications","Asian","Heterosexual / straight","420","410","32730","30720"
"In post","2021","Communications","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Unknown","50","40","[c]","[c]"
"In post","2021","Communications","Black","Heterosexual / straight","170","160","33180","29720"
"In post","2021","Communications","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Heterosexual / straight","130","120","36790","32900"
"In post","2021","Communications","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Undeclared","150","150","34240","31810"
"In post","2021","Communications","Undeclared","Unknown","30","30","[c]","[c]"
"In post","2021","Communications","Unknown","Heterosexual / straight","50","50","35750","31960"
"In post","2021","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Undeclared","30","30","[c]","[c]"
"In post","2021","Communications","Unknown","Unknown","2080","2030","32890","26350"
"In post","2021","Communications","White","Heterosexual / straight","3930","3770","35830","31810"
"In post","2021","Communications","White","LGBO","330","320","36090","31810"
"In post","2021","Communications","White","Undeclared","260","250","33080","31040"
"In post","2021","Communications","White","Unknown","370","340","36720","31810"
"In post","2021","Counter Fraud","Asian","Heterosexual / straight","460","440","32850","31810"
"In post","2021","Counter Fraud","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Asian","Unknown","120","110","30510","29570"
"In post","2021","Counter Fraud","Black","Heterosexual / straight","200","190","31470","29570"
"In post","2021","Counter Fraud","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Black","Unknown","40","40","[c]","[c]"
