"Status","Year","Sexual_orientation","Region_ITL2","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Asian","440","410","30870","29290"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Black","190","180","31120","29290"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Mixed","110","110","31420","29290"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Undeclared","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Unknown","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","White","2360","2220","33000","29670"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Asian","490","460","30790","28550"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Black","240","240","30570","29120"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Mixed","130","130","31830","29290"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Other ethnicity","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","70","70","32730","29290"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Unknown","60","60","32770","31190"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","White","5560","5310","33210","30030"
"In post","2021","Heterosexual / straight","Cheshire","Asian","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Mixed","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Unknown","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","White","2540","2410","31860","28850"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","White","1080","990","26730","26670"
"In post","2021","Heterosexual / straight","Cumbria","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cumbria","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cumbria","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cumbria","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cumbria","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cumbria","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cumbria","White","1260","1150","28740","26010"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Asian","520","480","30150","27570"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Black","250","240","26840","25560"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Mixed","160","150","30240","27570"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Undeclared","60","60","27450","27570"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Unknown","110","100","31010","27380"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","White","6730","6240","32000","27570"
"In post","2021","Heterosexual / straight","Devon","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Devon","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Devon","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Devon","Mixed","50","50","28240","25380"
"In post","2021","Heterosexual / straight","Devon","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Devon","Undeclared","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Devon","Unknown","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Devon","White","4690","4300","29540","27340"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Mixed","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Unknown","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Dorset and Somerset","White","3440","3210","29590","27570"
"In post","2021","Heterosexual / straight","East Anglia","Asian","320","270","26620","23660"
"In post","2021","Heterosexual / straight","East Anglia","Black","100","90","31760","27570"
"In post","2021","Heterosexual / straight","East Anglia","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Anglia","Mixed","150","140","28470","27570"
"In post","2021","Heterosexual / straight","East Anglia","Other ethnicity","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","East Anglia","Undeclared","60","60","27670","27570"
"In post","2021","Heterosexual / straight","East Anglia","Unknown","100","90","30740","27570"
"In post","2021","Heterosexual / straight","East Anglia","White","7880","7370","30300","27570"
"In post","2021","Heterosexual / straight","East Wales","Asian","280","270","31000","25560"
"In post","2021","Heterosexual / straight","East Wales","Black","130","130","29500","27160"
"In post","2021","Heterosexual / straight","East Wales","Chinese","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","East Wales","Mixed","220","210","32760","28850"
"In post","2021","Heterosexual / straight","East Wales","Other ethnicity","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","East Wales","Undeclared","100","90","32310","30280"
"In post","2021","Heterosexual / straight","East Wales","Unknown","140","130","29800","26800"
"In post","2021","Heterosexual / straight","East Wales","White","12290","11510","33690","28850"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Mixed","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Unknown","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","White","3090","2830","28020","26930"
"In post","2021","Heterosexual / straight","Eastern Scotland","Asian","160","150","32640","27570"
"In post","2021","Heterosexual / straight","Eastern Scotland","Black","70","70","32090","27990"
"In post","2021","Heterosexual / straight","Eastern Scotland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Eastern Scotland","Mixed","80","80","39410","33270"
"In post","2021","Heterosexual / straight","Eastern Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Eastern Scotland","Undeclared","110","100","34840","33650"
"In post","2021","Heterosexual / straight","Eastern Scotland","Unknown","100","90","32670","27570"
"In post","2021","Heterosexual / straight","Eastern Scotland","White","10430","9830","35870","30650"
"In post","2021","Heterosexual / straight","Essex","Asian","180","170","34200","29290"
"In post","2021","Heterosexual / straight","Essex","Black","210","200","29390","29290"
"In post","2021","Heterosexual / straight","Essex","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Essex","Mixed","80","70","31970","29290"
"In post","2021","Heterosexual / straight","Essex","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Essex","Undeclared","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Essex","Unknown","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Essex","White","3180","2920","30820","29290"
"In post","2021","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","Asian","590","570","34700","31840"
"In post","2021","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","Black","450","440","32790","31370"
"In post","2021","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","Chinese","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","Mixed","370","360","34110","30040"
"In post","2021","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","Other ethnicity","90","90","32790","28650"
"In post","2021","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","Undeclared","120","110","35210","33090"
"In post","2021","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","90","90","34500","31020"
"In post","2021","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","White","19650","18700","36840","33300"
"In post","2021","Heterosexual / straight","Greater Manchester","Asian","1140","1080","29230","27570"
"In post","2021","Heterosexual / straight","Greater Manchester","Black","430","420","28770","27570"
"In post","2021","Heterosexual / straight","Greater Manchester","Chinese","60","60","30020","25560"
"In post","2021","Heterosexual / straight","Greater Manchester","Mixed","240","230","30160","27480"
"In post","2021","Heterosexual / straight","Greater Manchester","Other ethnicity","50","50","31210","27570"
"In post","2021","Heterosexual / straight","Greater Manchester","Undeclared","90","90","29430","27570"
"In post","2021","Heterosexual / straight","Greater Manchester","Unknown","110","100","32020","30870"
"In post","2021","Heterosexual / straight","Greater Manchester","White","10370","9740","32090","27570"
"In post","2021","Heterosexual / straight","Hampshire and Isle of Wight","Asian","260","240","30610","27570"
"In post","2021","Heterosexual / straight","Hampshire and Isle of Wight","Black","150","140","28710","26670"
"In post","2021","Heterosexual / straight","Hampshire and Isle of Wight","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Hampshire and Isle of Wight","Mixed","150","140","32540","28650"
"In post","2021","Heterosexual / straight","Hampshire and Isle of Wight","Other ethnicity","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Hampshire and Isle of Wight","Undeclared","80","70","32520","27570"
"In post","2021","Heterosexual / straight","Hampshire and Isle of Wight","Unknown","80","70","27640","25400"
"In post","2021","Heterosexual / straight","Hampshire and Isle of Wight","White","10080","9330","32270","28650"
"In post","2021","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","Asian","160","140","27000","25790"
"In post","2021","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","Black","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","Mixed","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","Undeclared","[c]","[c]","[c]","[c]"
