"Status","Year","Function_of_post","Sexual_orientation","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Heterosexual / straight","Declared disabled","420","400","41400","37520"
"In post","2021","Analysis","Heterosexual / straight","Declared non-disabled","3560","3420","45050","40640"
"In post","2021","Analysis","Heterosexual / straight","Undeclared","120","120","45140","42440"
"In post","2021","Analysis","Heterosexual / straight","Unknown","550","530","38860","36030"
"In post","2021","Analysis","LGBO","Declared disabled","80","70","40430","36900"
"In post","2021","Analysis","LGBO","Declared non-disabled","280","270","42520","37020"
"In post","2021","Analysis","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Unknown","50","50","35290","30130"
"In post","2021","Analysis","Undeclared","Declared disabled","40","40","[c]","[c]"
"In post","2021","Analysis","Undeclared","Declared non-disabled","260","250","45140","39260"
"In post","2021","Analysis","Undeclared","Undeclared","120","120","42580","40400"
"In post","2021","Analysis","Undeclared","Unknown","70","70","46940","39940"
"In post","2021","Analysis","Unknown","Declared disabled","50","40","[c]","[c]"
"In post","2021","Analysis","Unknown","Declared non-disabled","440","420","40780","36580"
"In post","2021","Analysis","Unknown","Undeclared","110","100","41740","41090"
"In post","2021","Analysis","Unknown","Unknown","1050","1010","41150","36780"
"In post","2021","Commercial","Heterosexual / straight","Declared disabled","440","420","39450","37050"
"In post","2021","Commercial","Heterosexual / straight","Declared non-disabled","3200","3100","43240","38300"
"In post","2021","Commercial","Heterosexual / straight","Undeclared","190","180","43570","38860"
"In post","2021","Commercial","Heterosexual / straight","Unknown","380","370","36860","34800"
"In post","2021","Commercial","LGBO","Declared disabled","40","30","[c]","[c]"
"In post","2021","Commercial","LGBO","Declared non-disabled","120","120","38400","33300"
"In post","2021","Commercial","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Declared disabled","70","60","38960","36400"
"In post","2021","Commercial","Undeclared","Declared non-disabled","290","270","40290","34810"
"In post","2021","Commercial","Undeclared","Undeclared","160","160","40050","36520"
"In post","2021","Commercial","Undeclared","Unknown","60","50","41200","40000"
"In post","2021","Commercial","Unknown","Declared disabled","30","30","[c]","[c]"
"In post","2021","Commercial","Unknown","Declared non-disabled","380","370","47890","40060"
"In post","2021","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","1590","1550","58810","54700"
"In post","2021","Communications","Heterosexual / straight","Declared disabled","420","390","31960","29180"
"In post","2021","Communications","Heterosexual / straight","Declared non-disabled","3850","3710","35780","31810"
"In post","2021","Communications","Heterosexual / straight","Undeclared","140","140","34450","29200"
"In post","2021","Communications","Heterosexual / straight","Unknown","350","340","36290","32790"
"In post","2021","Communications","LGBO","Declared disabled","60","60","34790","31810"
"In post","2021","Communications","LGBO","Declared non-disabled","270","260","36340","31810"
"In post","2021","Communications","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Declared disabled","40","40","[c]","[c]"
"In post","2021","Communications","Undeclared","Declared non-disabled","260","250","33980","31810"
"In post","2021","Communications","Undeclared","Undeclared","140","130","33490","29780"
