"Status","Year","Region_ITL3","Sexual_orientation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","No function","370","350","44130","33650"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","Security","60","60","40940","44070"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","Unknown","580","540","33710","29190"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","No function","30","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Legal","80","70","24970","22820"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","No function","50","40","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Unknown","70","60","29980","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","No function","230","220","33210","33650"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Property","60","60","30420","28870"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Unknown","190","180","33880","29920"
"In post","2021","Angus and Dundee City","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Heterosexual / straight","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Heterosexual / straight","Legal","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Heterosexual / straight","No function","190","170","24690","21490"
"In post","2021","Angus and Dundee City","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Heterosexual / straight","Unknown","970","900","26960","23340"
"In post","2021","Angus and Dundee City","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","LGBO","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","LGBO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","LGBO","Unknown","60","60","23820","21070"
"In post","2021","Angus and Dundee City","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","Legal","60","50","25280","22820"
"In post","2021","Angus and Dundee City","Undeclared","No function","[c]","[c]","[c]","[c]"
