"Status","Year","Ethnicity","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Female","340","300","30220","27570"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Male","200","200","31730","29290"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Female","350","310","30140","27990"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Male","250","240","31390","28700"
"In post","2021","Asian","Cheshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","Male","30","30","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Female","370","320","29360","27570"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Male","280","270","30550","27570"
"In post","2021","Asian","Devon","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Anglia","Female","200","160","25310","21430"
"In post","2021","Asian","East Anglia","Male","170","160","29310","25310"
"In post","2021","Asian","East Wales","Female","160","150","29730","25720"
"In post","2021","Asian","East Wales","Male","170","170","31010","25560"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Eastern Scotland","Female","110","100","31640","27570"
"In post","2021","Asian","Eastern Scotland","Male","80","80","33190","27570"
"In post","2021","Asian","Essex","Female","120","110","32830","29290"
"In post","2021","Asian","Essex","Male","100","90","37170","29290"
"In post","2021","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Female","320","290","33390","28590"
"In post","2021","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Male","370","360","35720","32860"
"In post","2021","Asian","Greater Manchester","Female","640","570","27770","25560"
"In post","2021","Asian","Greater Manchester","Male","730","710","29840","27570"
