"Status","Year","Sex","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Attorney General's Departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Communications","60","50","43930","39750"
"In post","2021","Female","Attorney General's Departments","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Counter Fraud","110","110","42550","35480"
"In post","2021","Female","Attorney General's Departments","Digital, Data and Technology","80","70","38360","35290"
"In post","2021","Female","Attorney General's Departments","Finance","80","70","33290","30610"
"In post","2021","Female","Attorney General's Departments","Human Resources","160","150","40910","35000"
"In post","2021","Female","Attorney General's Departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Legal","3300","2970","56270","55010"
"In post","2021","Female","Attorney General's Departments","Operational Delivery","2220","2000","27060","25480"
"In post","2021","Female","Attorney General's Departments","Other","270","260","32080","27580"
"In post","2021","Female","Attorney General's Departments","Policy","60","50","50840","54760"
"In post","2021","Female","Attorney General's Departments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Other","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Unknown","4980","4830","44360","35590"
"In post","2021","Female","Chancellor's other departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","Other","120","110","56760","48930"
"In post","2021","Female","Chancellor's other departments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Counter Fraud","[c]","[c]","[c]","[c]"
