"Status","Year","Function_of_post","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Female","100","100","41970","41990"
"In post","2021","Analysis","Digital, Data and Technology","Male","140","130","42370","42220"
"In post","2021","Analysis","Economics","Female","430","420","46270","37950"
"In post","2021","Analysis","Economics","Male","840","830","46560","40480"
"In post","2021","Analysis","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Male","30","30","[c]","[c]"
"In post","2021","Analysis","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Female","140","130","51920","53360"
"In post","2021","Analysis","Intelligence Analysis","Male","150","150","52390","53360"
"In post","2021","Analysis","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Female","320","290","31620","29540"
"In post","2021","Analysis","Operational Delivery","Male","260","260","33270","30130"
"In post","2021","Analysis","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","Female","230","210","43040","39000"
"In post","2021","Analysis","Operational Research","Male","430","420","44750","46080"
"In post","2021","Analysis","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","Female","80","70","60160","58760"
"In post","2021","Analysis","Other","Male","140","130","66740","57250"
"In post","2021","Analysis","Policy","Female","180","170","47430","45250"
"In post","2021","Analysis","Policy","Male","170","160","47630","45540"
"In post","2021","Analysis","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","Female","270","250","32670","29680"
"In post","2021","Analysis","Science and Engineering","Male","400","390","38070","35900"
"In post","2021","Analysis","Social Research","Female","580","540","41330","37020"
"In post","2021","Analysis","Social Research","Male","290","280","41240","37020"
"In post","2021","Analysis","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","Female","810","770","42710","38770"
