"Status","Year","Sex","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Declared disabled","Analysis","300","270","40640","37280"
"In post","2021","Female","Declared disabled","Commercial","340","320","37700","34800"
"In post","2021","Female","Declared disabled","Communications","290","270","32980","29750"
"In post","2021","Female","Declared disabled","Counter Fraud","450","400","32180","29620"
"In post","2021","Female","Declared disabled","Debt","240","190","23150","21440"
"In post","2021","Female","Declared disabled","Digital, Data & Technology","460","440","37820","34160"
"In post","2021","Female","Declared disabled","Finance","480","440","35710","31810"
"In post","2021","Female","Declared disabled","Grants Management","100","80","25850","21050"
"In post","2021","Female","Declared disabled","Human Resources","860","800","38460","33490"
"In post","2021","Female","Declared disabled","Internal Audit","50","50","[c]","[c]"
"In post","2021","Female","Declared disabled","Legal","810","730","42950","38760"
"In post","2021","Female","Declared disabled","No function","10190","9180","30020","26780"
"In post","2021","Female","Declared disabled","Project Delivery","1350","1270","38510","34870"
"In post","2021","Female","Declared disabled","Property","360","330","33730","31810"
"In post","2021","Female","Declared disabled","Security","190","180","31260","28080"
"In post","2021","Female","Declared disabled","Unknown","13630","11800","28280","27570"
"In post","2021","Female","Declared non-disabled","Analysis","2050","1910","43290","38630"
"In post","2021","Female","Declared non-disabled","Commercial","2040","1940","40230","35760"
"In post","2021","Female","Declared non-disabled","Communications","2540","2390","36340","31810"
"In post","2021","Female","Declared non-disabled","Counter Fraud","2840","2600","32980","31810"
"In post","2021","Female","Declared non-disabled","Debt","1360","1160","24150","21440"
"In post","2021","Female","Declared non-disabled","Digital, Data & Technology","3210","3040","40720","38450"
"In post","2021","Female","Declared non-disabled","Finance","3600","3320","37330","33300"
"In post","2021","Female","Declared non-disabled","Grants Management","980","850","24980","21050"
"In post","2021","Female","Declared non-disabled","Human Resources","4430","4140","37650","33300"
"In post","2021","Female","Declared non-disabled","Internal Audit","290","270","43910","41690"
"In post","2021","Female","Declared non-disabled","Legal","5950","5350","45700","48080"
"In post","2021","Female","Declared non-disabled","No function","62290","56450","32210","27730"
"In post","2021","Female","Declared non-disabled","Project Delivery","8690","8230","40130","36800"
