"Status","Year","Sex","Parent_department","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Unknown","150","140","31930","29160"
"In post","2021","Female","Competition and Markets Authority","Analysis","60","50","57500","56360"
"In post","2021","Female","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Legal","90","80","67170","71370"
"In post","2021","Female","Competition and Markets Authority","Project Delivery","200","190","58920","55860"
"In post","2021","Female","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Analysis","120","120","43070","35640"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Commercial","130","130","40940","39270"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Communications","130","120","43980","40050"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Counter Fraud","120","110","38130","39170"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","480","450","39580","39420"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Finance","180","160","42340","39820"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Human Resources","300","280","39290","36100"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Legal","50","40","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","No function","4500","4210","38110","33570"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Project Delivery","410","390","42750","39840"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Property","40","40","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Analysis","50","50","53780","59730"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Human Resources","40","40","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","No function","670","650","47170","47060"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Project Delivery","110","110","46160","51730"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Education","Analysis","220","200","43850","42580"
"In post","2021","Female","Department for Education","Commercial","110","100","40350","38000"
"In post","2021","Female","Department for Education","Communications","210","200","38660","36720"
"In post","2021","Female","Department for Education","Digital, Data & Technology","270","260","40760","36870"
"In post","2021","Female","Department for Education","Finance","280","270","42340","40670"
"In post","2021","Female","Department for Education","Human Resources","120","110","35030","30070"
"In post","2021","Female","Department for Education","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Education","Legal","40","40","[c]","[c]"
"In post","2021","Female","Department for Education","No function","2610","2470","42670","37100"
"In post","2021","Female","Department for Education","Project Delivery","310","290","45590","49860"
"In post","2021","Female","Department for Education","Property","110","110","44820","49860"
"In post","2021","Female","Department for Education","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Education","Unknown","360","340","50760","42580"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Analysis","260","240","32170","29270"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Commercial","130","120","35650","35900"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Communications","250","230","37400","35900"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Digital, Data & Technology","290","270","42020","39050"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Finance","220","200","39750","36970"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Grants Management","1090","950","25070","21050"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Human Resources","200","190","42870","38600"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","No function","3170","2980","36430","32560"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Project Delivery","290","260","37730","35900"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Property","210","200","34030","30040"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Unknown","90","90","39520","36970"
"In post","2021","Female","Department for International Trade","Analysis","100","100","41910","38160"
"In post","2021","Female","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for International Trade","Communications","60","60","39600","38470"
"In post","2021","Female","Department for International Trade","Digital, Data & Technology","70","70","44510","43000"
"In post","2021","Female","Department for International Trade","Finance","40","40","[c]","[c]"
"In post","2021","Female","Department for International Trade","Human Resources","90","80","43770","38540"
"In post","2021","Female","Department for International Trade","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for International Trade","No function","850","840","45180","39280"
"In post","2021","Female","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for International Trade","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for International Trade","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Transport","Analysis","210","190","44920","42890"
"In post","2021","Female","Department for Transport","Commercial","110","100","32720","31040"
"In post","2021","Female","Department for Transport","Communications","180","170","36550","33350"
"In post","2021","Female","Department for Transport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Transport","Digital, Data & Technology","360","340","35740","32180"
"In post","2021","Female","Department for Transport","Finance","220","200","37200","32430"
"In post","2021","Female","Department for Transport","Human Resources","300","270","36590","32730"
"In post","2021","Female","Department for Transport","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Transport","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Transport","No function","5470","4710","27670","21590"
"In post","2021","Female","Department for Transport","Project Delivery","290","280","46590","42470"
"In post","2021","Female","Department for Transport","Property","70","70","31330","26780"
"In post","2021","Female","Department for Transport","Security","40","30","[c]","[c]"
"In post","2021","Female","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Work and Pensions","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Work and Pensions","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Work and Pensions","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Work and Pensions","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Work and Pensions","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Work and Pensions","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Work and Pensions","Human Resources","60","60","36990","31710"
"In post","2021","Female","Department for Work and Pensions","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Work and Pensions","No function","1090","990","38350","35910"
"In post","2021","Female","Department for Work and Pensions","Project Delivery","30","30","[c]","[c]"
"In post","2021","Female","Department for Work and Pensions","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Work and Pensions","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Work and Pensions","Unknown","59540","51290","27230","27570"
"In post","2021","Female","Department of Health and Social Care","Analysis","150","130","52140","53360"
"In post","2021","Female","Department of Health and Social Care","Commercial","130","130","45300","40650"
"In post","2021","Female","Department of Health and Social Care","Communications","180","180","43410","36200"
"In post","2021","Female","Department of Health and Social Care","Digital, Data & Technology","150","140","43480","39400"
"In post","2021","Female","Department of Health and Social Care","Finance","340","330","39190","34350"
"In post","2021","Female","Department of Health and Social Care","Human Resources","220","210","42640","36820"
"In post","2021","Female","Department of Health and Social Care","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department of Health and Social Care","No function","5760","5240","42840","37490"
"In post","2021","Female","Department of Health and Social Care","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department of Health and Social Care","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department of Health and Social Care","Unknown","720","690","47520","41040"
"In post","2021","Female","ESTYN","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","No function","50","50","56620","74730"
"In post","2021","Female","ESTYN","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","No function","340","340","38090","37350"
"In post","2021","Female","Food Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Commercial","110","110","39990","38500"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Communications","80","80","47100","42200"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Digital, Data & Technology","120","110","39350","36640"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Finance","160","150","42360","38230"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Human Resources","210","200","41680","37300"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Internal Audit","40","40","[c]","[c]"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Legal","50","40","[c]","[c]"
"In post","2021","Female","Foreign, Commonwealth and Development Office","No function","1760","1720","45720","38860"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Project Delivery","1210","1160","49790","52430"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Property","90","90","39880","34290"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Security","170","170","40290","36360"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Unknown","200","200","48240","42200"
"In post","2021","Female","HM Land Registry","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Land Registry","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Land Registry","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Land Registry","Digital, Data & Technology","240","210","37460","38450"
"In post","2021","Female","HM Land Registry","Finance","30","30","[c]","[c]"
"In post","2021","Female","HM Land Registry","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Land Registry","Human Resources","70","60","38190","33840"
"In post","2021","Female","HM Land Registry","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Land Registry","Legal","160","140","48960","57000"
"In post","2021","Female","HM Land Registry","No function","3180","2780","27860","27130"
"In post","2021","Female","HM Land Registry","Project Delivery","80","70","40820","38550"
"In post","2021","Female","HM Land Registry","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Revenue and Customs","Analysis","310","290","44340","38630"
"In post","2021","Female","HM Revenue and Customs","Commercial","80","70","34640","31960"
"In post","2021","Female","HM Revenue and Customs","Communications","2010","1880","29800","25560"
"In post","2021","Female","HM Revenue and Customs","Counter Fraud","4190","3800","31820","29570"
"In post","2021","Female","HM Revenue and Customs","Debt","2640","2280","23280","21440"
"In post","2021","Female","HM Revenue and Customs","Digital, Data & Technology","1050","990","38690","34170"
"In post","2021","Female","HM Revenue and Customs","Finance","1450","1230","30900","25560"
"In post","2021","Female","HM Revenue and Customs","Human Resources","1080","990","36060","31810"
"In post","2021","Female","HM Revenue and Customs","Internal Audit","40","40","[c]","[c]"
"In post","2021","Female","HM Revenue and Customs","Legal","690","630","39660","31810"
"In post","2021","Female","HM Revenue and Customs","No function","17220","14770","27420","21440"
"In post","2021","Female","HM Revenue and Customs","Project Delivery","2460","2280","42090","38630"
"In post","2021","Female","HM Revenue and Customs","Property","1780","1590","31140","26500"
"In post","2021","Female","HM Revenue and Customs","Security","70","60","36980","38630"
"In post","2021","Female","HM Treasury","Analysis","50","50","57500","54170"
"In post","2021","Female","HM Treasury","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Treasury","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Treasury","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Treasury","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Treasury","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Treasury","Finance","60","50","48070","48780"
"In post","2021","Female","HM Treasury","Human Resources","80","80","41050","37900"
"In post","2021","Female","HM Treasury","Internal Audit","160","150","47970","44380"
"In post","2021","Female","HM Treasury","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Treasury","No function","790","760","45930","41150"
"In post","2021","Female","HM Treasury","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Treasury","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Treasury","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Treasury","Unknown","60","60","40770","35210"
"In post","2021","Female","Home Office","Unknown","18320","16540","31370","27370"
"In post","2021","Female","Ministry of Defence","Analysis","230","210","38680","37320"
"In post","2021","Female","Ministry of Defence","Commercial","1010","960","34510","33300"
"In post","2021","Female","Ministry of Defence","Communications","370","350","34360","33000"
"In post","2021","Female","Ministry of Defence","Digital, Data & Technology","350","330","31280","28410"
"In post","2021","Female","Ministry of Defence","Finance","1260","1190","36060","33140"
"In post","2021","Female","Ministry of Defence","Human Resources","1560","1430","31350","26670"
"In post","2021","Female","Ministry of Defence","Internal Audit","80","70","37440","33300"
"In post","2021","Female","Ministry of Defence","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ministry of Defence","No function","870","810","37120","37320"
"In post","2021","Female","Ministry of Defence","Project Delivery","6130","5810","35520","33300"
"In post","2021","Female","Ministry of Defence","Property","1020","970","30900","33000"
"In post","2021","Female","Ministry of Defence","Security","920","890","27870","22780"
"In post","2021","Female","Ministry of Defence","Unknown","9000","8460","29190","22920"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","Analysis","80","70","46550","42980"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","Communications","50","50","40380","34200"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","Digital, Data & Technology","60","60","42810","39600"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","Finance","80","70","49220","48620"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","Human Resources","70","60","39500","33210"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","No function","1250","1180","43990","39600"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","Project Delivery","80","80","46290","40750"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ministry of Justice","Analysis","200","190","45030","40480"
"In post","2021","Female","Ministry of Justice","Commercial","580","560","41610","37970"
"In post","2021","Female","Ministry of Justice","Communications","90","80","44480","39610"
"In post","2021","Female","Ministry of Justice","Digital, Data & Technology","420","400","44650","42320"
"In post","2021","Female","Ministry of Justice","Finance","440","420","39580","36800"
"In post","2021","Female","Ministry of Justice","Human Resources","680","650","41330","36730"
"In post","2021","Female","Ministry of Justice","Internal Audit","40","40","[c]","[c]"
"In post","2021","Female","Ministry of Justice","Legal","1010","900","41400","41870"
"In post","2021","Female","Ministry of Justice","No function","39060","35670","27290","24120"
"In post","2021","Female","Ministry of Justice","Project Delivery","440","430","40140","35290"
"In post","2021","Female","Ministry of Justice","Property","170","170","35590","31770"
"In post","2021","Female","Ministry of Justice","Security","320","310","36770","32550"
"In post","2021","Female","National Crime Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","National Crime Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","National Crime Agency","Digital, Data & Technology","110","100","38090","36740"
"In post","2021","Female","National Crime Agency","Finance","30","30","[c]","[c]"
"In post","2021","Female","National Crime Agency","Human Resources","110","100","40250","40060"
"In post","2021","Female","National Crime Agency","Legal","30","30","[c]","[c]"
"In post","2021","Female","National Crime Agency","No function","2050","1970","36770","36200"
"In post","2021","Female","National Crime Agency","Project Delivery","50","50","[c]","[c]"
"In post","2021","Female","National Crime Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","National Crime Agency","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland Office","No function","70","60","43880","36800"
"In post","2021","Female","Northern Ireland Office","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland Office","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office for Standards in Education","Analysis","80","80","40340","35010"
"In post","2021","Female","Office for Standards in Education","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office for Standards in Education","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office for Standards in Education","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","Female","Office for Standards in Education","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office for Standards in Education","Human Resources","40","40","[c]","[c]"
"In post","2021","Female","Office for Standards in Education","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office for Standards in Education","No function","950","900","50340","51360"
"In post","2021","Female","Office for Standards in Education","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office for Standards in Education","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Gas and Electricity Markets","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Gas and Electricity Markets","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Gas and Electricity Markets","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Gas and Electricity Markets","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Gas and Electricity Markets","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Gas and Electricity Markets","Legal","50","50","59400","62300"
"In post","2021","Female","Office of Gas and Electricity Markets","No function","380","370","39430","34240"
"In post","2021","Female","Office of Gas and Electricity Markets","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Gas and Electricity Markets","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","No function","120","120","43250","38760"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Rail and Road","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Rail and Road","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Rail and Road","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Rail and Road","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Rail and Road","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Rail and Road","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Rail and Road","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Rail and Road","No function","90","80","48910","49580"
"In post","2021","Female","Office of Rail and Road","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Rail and Road","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other Cabinet Office Agencies","Commercial","190","180","33620","33340"
"In post","2021","Female","Other Cabinet Office Agencies","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other Cabinet Office Agencies","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Female","Other Cabinet Office Agencies","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other Cabinet Office Agencies","Human Resources","40","40","[c]","[c]"
"In post","2021","Female","Other Cabinet Office Agencies","No function","100","100","39270","36360"
"In post","2021","Female","Other Cabinet Office Agencies","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other Cabinet Office Agencies","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other Cabinet Office Agencies","Unknown","30","30","[c]","[c]"
"In post","2021","Female","Scotland Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland Office","Unknown","70","60","47420","47760"
"In post","2021","Female","Scottish Government","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scottish Government","Commercial","40","40","[c]","[c]"
"In post","2021","Female","Scottish Government","Communications","40","30","[c]","[c]"
"In post","2021","Female","Scottish Government","Digital, Data & Technology","60","50","39130","34190"
"In post","2021","Female","Scottish Government","Finance","140","130","35090","33650"
"In post","2021","Female","Scottish Government","Human Resources","200","190","34280","33650"
"In post","2021","Female","Scottish Government","Internal Audit","[c]","[c]","[c]","[c]"
