"Status","Year","Function_of_post","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Bedfordshire and Hertfordshire","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Nottingham","30","30","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","Dorset CC","120","110","33040","29270"
"In post","2021","Analysis","Dorset and Somerset","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Suffolk","350","330","34350","30220"
"In post","2021","Analysis","East Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Wales","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Wales","Monmouthshire and Newport","1040","990","36370","36030"
"In post","2021","Analysis","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","City of Edinburgh","50","50","[c]","[c]"
"In post","2021","Analysis","Essex","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","60","50","40630","38530"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","150","140","39320","34950"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","110","110","37690","37320"
"In post","2021","Analysis","Greater Manchester","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","Manchester","220","210","38190","33600"
"In post","2021","Analysis","Hampshire and Isle of Wight","Central Hampshire","350","340","40800","37700"
"In post","2021","Analysis","Hampshire and Isle of Wight","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Hampshire and Isle of Wight","South Hampshire","450","430","37290","36030"
"In post","2021","Analysis","Hampshire and Isle of Wight","Southampton","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Herefordshire, Worcestershire and Warwickshire","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Highlands and Islands","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inner London - East","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inner London - East","Tower Hamlets","680","660","50780","46850"
"In post","2021","Analysis","Inner London - West","Camden and City of London","230","220","67630","60780"
"In post","2021","Analysis","Inner London - West","Westminster","2490","2430","46680","42980"
"In post","2021","Analysis","Kent","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Kent","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lancashire","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leicestershire, Rutland and Northamptonshire","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leicestershire, Rutland and Northamptonshire","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lincolnshire","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merseyside","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merseyside","Liverpool","80","70","39950","38630"
"In post","2021","Analysis","Merseyside","Sefton","40","30","[c]","[c]"
"In post","2021","Analysis","Merseyside","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Yorkshire","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Yorkshire","York","60","60","37880","31830"
"In post","2021","Analysis","Northumberland and Tyne and Wear","Tyneside","[c]","[c]","[c]","[c]"
