"Status","Year","Sex","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Attorney General's Departments","East Midlands (England)","300","270","37150","30130"
"In post","2021","Female","Attorney General's Departments","East of England","330","280","37950","30110"
"In post","2021","Female","Attorney General's Departments","London","2930","2700","49500","51250"
"In post","2021","Female","Attorney General's Departments","North East (England)","230","200","36330","28430"
"In post","2021","Female","Attorney General's Departments","North West (England)","650","590","37850","30610"
"In post","2021","Female","Attorney General's Departments","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","South East (England)","470","430","40860","33930"
"In post","2021","Female","Attorney General's Departments","South West (England)","200","180","39820","38000"
"In post","2021","Female","Attorney General's Departments","Wales","240","220","38680","34480"
"In post","2021","Female","Attorney General's Departments","West Midlands (England)","380","340","38270","32370"
"In post","2021","Female","Attorney General's Departments","Yorkshire and The Humber","640","560","40200","38000"
"In post","2021","Female","Cabinet Office","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","East of England","60","50","46960","38460"
"In post","2021","Female","Cabinet Office","London","3450","3380","47090","40600"
"In post","2021","Female","Cabinet Office","North East (England)","250","230","28400","24570"
"In post","2021","Female","Cabinet Office","North West (England)","250","240","45240","38890"
"In post","2021","Female","Cabinet Office","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Scotland","40","40","[c]","[c]"
"In post","2021","Female","Cabinet Office","South East (England)","110","100","39030","33300"
"In post","2021","Female","Cabinet Office","South West (England)","80","70","54100","49620"
"In post","2021","Female","Cabinet Office","Unknown","330","320","36050","32000"
"In post","2021","Female","Cabinet Office","Wales","40","40","[c]","[c]"
"In post","2021","Female","Cabinet Office","West Midlands (England)","30","30","[c]","[c]"
"In post","2021","Female","Cabinet Office","Yorkshire and The Humber","400","370","36140","32960"
"In post","2021","Female","Chancellor's other departments","London","160","150","53920","47940"
"In post","2021","Female","Chancellor's other departments","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","London","50","50","[c]","[c]"
"In post","2021","Female","Charity Commission","North West (England)","180","160","32560","29160"
"In post","2021","Female","Charity Commission","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","London","400","380","58800","56000"
"In post","2021","Female","Competition and Markets Authority","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Scotland","30","30","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","East Midlands (England)","120","110","30400","30950"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","East of England","130","120","31680","30950"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","London","2740","2640","47180","43130"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","North East (England)","130","120","30320","29190"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","North West (England)","260","240","31880","30950"
