"Status","Year","Organisation","Disability","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Declared disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Declared disabled","EO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Declared disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Declared non-disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Declared non-disabled","EO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Declared non-disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Declared non-disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Declared non-disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared disabled","EO","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared disabled","SEO/HEO","60","60","33980","31720"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared non-disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared non-disabled","EO","70","70","24900","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared non-disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared non-disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared non-disabled","SEO/HEO","110","100","35350","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","AA/AO","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","EO","240","220","25110","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","G6/G7","40","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","SEO/HEO","410","370","36350","34500"
"In post","2021","Animal and Plant Health Agency","Declared disabled","AA/AO","140","130","21950","21050"
"In post","2021","Animal and Plant Health Agency","Declared disabled","EO","100","100","26500","25330"
"In post","2021","Animal and Plant Health Agency","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Declared disabled","SEO/HEO","90","80","33510","32560"
"In post","2021","Animal and Plant Health Agency","Declared non-disabled","AA/AO","580","540","21830","21050"
"In post","2021","Animal and Plant Health Agency","Declared non-disabled","EO","570","550","26640","26160"
"In post","2021","Animal and Plant Health Agency","Declared non-disabled","G6/G7","170","160","54870","54310"
"In post","2021","Animal and Plant Health Agency","Declared non-disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Declared non-disabled","SEO/HEO","680","640","36530","36520"
"In post","2021","Animal and Plant Health Agency","Undeclared","AA/AO","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","EO","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","SEO/HEO","50","50","35110","35720"
"In post","2021","Animal and Plant Health Agency","Unknown","AA/AO","60","60","22340","21050"
"In post","2021","Animal and Plant Health Agency","Unknown","EO","50","50","25880","25330"
"In post","2021","Animal and Plant Health Agency","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","SEO/HEO","60","60","36140","36520"
"In post","2021","Attorney General's Office","Declared disabled","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Declared disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Declared non-disabled","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Declared non-disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Declared non-disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Declared non-disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Declared disabled","AA/AO","80","70","22090","20920"
"In post","2021","Cabinet Office (excl. agencies)","Declared disabled","EO","120","110","27190","27500"
"In post","2021","Cabinet Office (excl. agencies)","Declared disabled","G6/G7","240","230","58140","56340"
"In post","2021","Cabinet Office (excl. agencies)","Declared disabled","SCS","50","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Declared disabled","SEO/HEO","230","230","36210","35590"
"In post","2021","Cabinet Office (excl. agencies)","Declared non-disabled","AA/AO","280","260","22070","20920"
"In post","2021","Cabinet Office (excl. agencies)","Declared non-disabled","EO","560","550","27260","27500"
"In post","2021","Cabinet Office (excl. agencies)","Declared non-disabled","G6/G7","1710","1680","58890","56340"
"In post","2021","Cabinet Office (excl. agencies)","Declared non-disabled","SCS","440","430","98070","91440"
"In post","2021","Cabinet Office (excl. agencies)","Declared non-disabled","SEO/HEO","1500","1470","36370","35590"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","EO","40","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","G6/G7","90","90","58780","56920"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","SEO/HEO","110","110","36550","35590"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","AA/AO","170","160","21270","20920"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","EO","170","170","27210","27500"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","G6/G7","990","970","61270","55910"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","SCS","460","460","86880","72580"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","SEO/HEO","2180","2170","31370","29250"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared disabled","EO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared non-disabled","AA/AO","40","40","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared non-disabled","EO","90","80","25070","24920"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared non-disabled","G6/G7","60","50","51470","48080"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared non-disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared non-disabled","SEO/HEO","210","200","32870","30660"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","EO","30","30","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","G6/G7","50","50","52980","48560"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","SEO/HEO","90","80","32880","30220"
"In post","2021","Charity Commission","Declared disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared non-disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared non-disabled","EO","50","50","24440","24440"
"In post","2021","Charity Commission","Declared non-disabled","G6/G7","40","40","[c]","[c]"
