"Status","Year","Disability","Function_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","London","230","220","47220","42460"
"In post","2021","Declared disabled","Analysis","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","North West (England)","40","40","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","South East (England)","100","90","38540","37320"
"In post","2021","Declared disabled","Analysis","South West (England)","40","30","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Wales","90","80","36440","36030"
"In post","2021","Declared disabled","Analysis","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Yorkshire and The Humber","40","30","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East of England","40","40","[c]","[c]"
"In post","2021","Declared disabled","Commercial","London","120","110","44960","40930"
"In post","2021","Declared disabled","Commercial","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North West (England)","60","50","36430","33300"
"In post","2021","Declared disabled","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Scotland","30","30","[c]","[c]"
"In post","2021","Declared disabled","Commercial","South East (England)","70","60","33900","33300"
"In post","2021","Declared disabled","Commercial","South West (England)","130","120","40630","40000"
"In post","2021","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Yorkshire and The Humber","50","40","[c]","[c]"
"In post","2021","Declared disabled","Communications","East Midlands (England)","50","40","[c]","[c]"
"In post","2021","Declared disabled","Communications","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","London","120","120","40340","37380"
"In post","2021","Declared disabled","Communications","North East (England)","120","100","26250","25560"
"In post","2021","Declared disabled","Communications","North West (England)","40","40","[c]","[c]"
"In post","2021","Declared disabled","Communications","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","South East (England)","30","30","[c]","[c]"
"In post","2021","Declared disabled","Communications","South West (England)","30","30","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Wales","70","60","29550","25560"
"In post","2021","Declared disabled","Communications","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Yorkshire and The Humber","40","40","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","East Midlands (England)","40","40","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","East of England","40","40","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","London","160","150","38430","36160"
"In post","2021","Declared disabled","Counter Fraud","North East (England)","60","50","32340","31810"
"In post","2021","Declared disabled","Counter Fraud","North West (England)","150","140","33530","31810"
"In post","2021","Declared disabled","Counter Fraud","Northern Ireland","40","30","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Scotland","80","70","31090","28130"
"In post","2021","Declared disabled","Counter Fraud","South East (England)","40","40","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","South West (England)","40","30","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Wales","40","40","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","West Midlands (England)","70","60","31090","31810"
"In post","2021","Declared disabled","Counter Fraud","Yorkshire and The Humber","70","60","30030","25630"
"In post","2021","Declared disabled","Debt","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","London","50","40","[c]","[c]"
"In post","2021","Declared disabled","Debt","North East (England)","40","30","[c]","[c]"
"In post","2021","Declared disabled","Debt","North West (England)","30","30","[c]","[c]"
