"Status","Year","Responsibility_level","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Heterosexual / straight","250","230","25980","22220"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Undeclared","90","80","24880","22490"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Unknown","200","180","24790","22920"
"In post","2021","AA/AO","Angus and Dundee City","Heterosexual / straight","630","580","21230","21010"
"In post","2021","AA/AO","Angus and Dundee City","LGBO","60","50","21050","21010"
"In post","2021","AA/AO","Angus and Dundee City","Undeclared","110","100","21200","21010"
"In post","2021","AA/AO","Angus and Dundee City","Unknown","310","280","20870","21010"
"In post","2021","AA/AO","Antrim and Newtownabbey","Heterosexual / straight","130","130","20750","20310"
"In post","2021","AA/AO","Antrim and Newtownabbey","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Antrim and Newtownabbey","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Antrim and Newtownabbey","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ards and North Down","Heterosexual / straight","130","130","20890","20310"
"In post","2021","AA/AO","Ards and North Down","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ards and North Down","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ards and North Down","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Armagh City, Banbridge and Craigavon","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Armagh City, Banbridge and Craigavon","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barking & Dagenham and Havering","Heterosexual / straight","80","70","23580","23210"
"In post","2021","AA/AO","Barking & Dagenham and Havering","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barking & Dagenham and Havering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barking & Dagenham and Havering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barnet","Heterosexual / straight","200","170","23780","23530"
