"Status","Year","Disability","Function_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","EO","60","60","27130","27200"
"In post","2021","Declared disabled","Analysis","G6/G7","160","150","58680","57390"
"In post","2021","Declared disabled","Analysis","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","SEO/HEO","330","310","36100","36480"
"In post","2021","Declared disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AA/AO","70","60","22520","21590"
"In post","2021","Declared disabled","Commercial","EO","90","80","27240","26780"
"In post","2021","Declared disabled","Commercial","G6/G7","80","80","60270","57370"
"In post","2021","Declared disabled","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SEO/HEO","290","280","38610","38300"
"In post","2021","Declared disabled","Commercial","Unknown","30","30","[c]","[c]"
"In post","2021","Declared disabled","Communications","AA/AO","80","60","21260","21130"
"In post","2021","Declared disabled","Communications","EO","200","190","25920","25560"
"In post","2021","Declared disabled","Communications","G6/G7","50","40","[c]","[c]"
"In post","2021","Declared disabled","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","SEO/HEO","220","220","35570","33510"
"In post","2021","Declared disabled","Counter Fraud","AA/AO","110","100","21730","21440"
"In post","2021","Declared disabled","Counter Fraud","EO","270","250","27130","25720"
"In post","2021","Declared disabled","Counter Fraud","G6/G7","90","80","57750","54700"
"In post","2021","Declared disabled","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","SEO/HEO","350","330","35280","35000"
"In post","2021","Declared disabled","Debt","AA/AO","280","240","21260","20220"
"In post","2021","Declared disabled","Debt","EO","80","70","26780","25560"
"In post","2021","Declared disabled","Debt","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","AA/AO","50","40","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","EO","260","240","27470","26670"
"In post","2021","Declared disabled","Digital, Data & Technology","G6/G7","240","230","57470","56570"
"In post","2021","Declared disabled","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","SEO/HEO","510","490","36790","36320"
"In post","2021","Declared disabled","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","AA/AO","150","120","21110","21180"
"In post","2021","Declared disabled","Finance","EO","160","140","26090","26580"
"In post","2021","Declared disabled","Finance","G6/G7","150","150","57990","57910"
"In post","2021","Declared disabled","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","SEO/HEO","340","320","36960","36440"
"In post","2021","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","AA/AO","80","70","21050","21050"
"In post","2021","Declared disabled","Grants Management","EO","30","30","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","AA/AO","200","180","21450","21130"
"In post","2021","Declared disabled","Human Resources","EO","220","200","26930","26670"
