"Status","Year","Sexual_orientation","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Female","4490","4120","42960","40800"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Male","2280","2230","46660","48830"
"In post","2021","Heterosexual / straight","Cabinet Office","Female","2470","2370","45960","40580"
"In post","2021","Heterosexual / straight","Cabinet Office","Male","1940","1920","50540","49700"
"In post","2021","Heterosexual / straight","Chancellor's other departments","Female","140","130","53500","46180"
"In post","2021","Heterosexual / straight","Chancellor's other departments","Male","160","150","64840","55220"
"In post","2021","Heterosexual / straight","Charity Commission","Female","130","120","34350","29160"
"In post","2021","Heterosexual / straight","Charity Commission","Male","100","100","34560","29160"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Female","360","350","58160","55860"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Male","320","320","61680","58320"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","Female","3750","3520","40890","38000"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","Male","3260","3200","45730","40940"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Female","700","670","48940","51730"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Male","550","550","50570","51730"
"In post","2021","Heterosexual / straight","Department for Education","Female","3310","3130","43010","37710"
"In post","2021","Heterosexual / straight","Department for Education","Male","2190","2170","44780","40510"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","Female","4030","3730","35690","32560"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","Male","2940","2890","38780","35900"
"In post","2021","Heterosexual / straight","Department for International Trade","Female","740","720","45780","40290"
"In post","2021","Heterosexual / straight","Department for International Trade","Male","810","800","47070","42160"
"In post","2021","Heterosexual / straight","Department for Transport","Female","4540","4060","31670","26700"
"In post","2021","Heterosexual / straight","Department for Transport","Male","5420","5270","36120","30780"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","Female","39960","34910","27780","27570"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","Male","20600","19840","29480","27570"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","Female","4650","4270","42070","37470"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","Male","2160","2090","47580","40850"
"In post","2021","Heterosexual / straight","ESTYN","Female","60","50","53540","62360"
"In post","2021","Heterosexual / straight","ESTYN","Male","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","Female","390","370","39120","37910"
"In post","2021","Heterosexual / straight","Food Standards Agency","Male","470","460","37490","32830"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office","Female","3020","2920","46180","39770"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office","Male","2960","2930","48500","44230"
"In post","2021","Heterosexual / straight","HM Land Registry","Female","2170","1910","31080","27130"
"In post","2021","Heterosexual / straight","HM Land Registry","Male","1370","1300","33680","31740"
"In post","2021","Heterosexual / straight","HM Revenue and Customs","Female","19790","17560","31790","28130"
"In post","2021","Heterosexual / straight","HM Revenue and Customs","Male","16910","16270","34130","31810"
"In post","2021","Heterosexual / straight","HM Treasury","Female","980","940","46540","42900"
"In post","2021","Heterosexual / straight","HM Treasury","Male","970","960","49550","52500"
"In post","2021","Heterosexual / straight","Home Office","Female","14900","13410","31300","27240"
"In post","2021","Heterosexual / straight","Home Office","Male","13290","12720","32440","27370"
"In post","2021","Heterosexual / straight","Ministry of Defence","Female","17580","16570","31990","28510"
"In post","2021","Heterosexual / straight","Ministry of Defence","Male","24670","24250","35070","33300"
"In post","2021","Heterosexual / straight","Ministry of Housing, Communities and Local Government","Female","1320","1250","44740","40720"
"In post","2021","Heterosexual / straight","Ministry of Housing, Communities and Local Government","Male","1230","1200","47170","46320"
"In post","2021","Heterosexual / straight","Ministry of Justice","Female","31190","28530","28800","25380"
"In post","2021","Heterosexual / straight","Ministry of Justice","Male","23970","23190","31120","28800"
"In post","2021","Heterosexual / straight","National Crime Agency","Female","1840","1760","37210","36200"
"In post","2021","Heterosexual / straight","National Crime Agency","Male","2260","2250","42390","40170"
"In post","2021","Heterosexual / straight","Northern Ireland Office","Female","50","50","44140","36860"
"In post","2021","Heterosexual / straight","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office for Standards in Education","Female","990","940","49150","51360"
"In post","2021","Heterosexual / straight","Office for Standards in Education","Male","450","440","52440","51360"
"In post","2021","Heterosexual / straight","Office of Gas and Electricity Markets","Female","220","220","42830","38000"
"In post","2021","Heterosexual / straight","Office of Gas and Electricity Markets","Male","250","240","43170","37130"
"In post","2021","Heterosexual / straight","Office of Qualifications and Examinations Regulation","Female","100","100","41930","38510"
"In post","2021","Heterosexual / straight","Office of Qualifications and Examinations Regulation","Male","60","60","49940","46660"
"In post","2021","Heterosexual / straight","Office of Rail and Road","Female","80","70","49590","50810"
"In post","2021","Heterosexual / straight","Office of Rail and Road","Male","90","80","52380","51730"
"In post","2021","Heterosexual / straight","Other Cabinet Office Agencies","Female","380","360","38870","35290"
"In post","2021","Heterosexual / straight","Other Cabinet Office Agencies","Male","350","350","44070","37010"
"In post","2021","Heterosexual / straight","Scotland Office","Female","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scottish Government","Female","6430","6010","38600","33650"
"In post","2021","Heterosexual / straight","Scottish Government","Male","5230","5070","39580","34150"
"In post","2021","Heterosexual / straight","The National Archives","Female","130","120","35060","33170"
"In post","2021","Heterosexual / straight","The National Archives","Male","100","90","38400","35130"
"In post","2021","Heterosexual / straight","UK Export Finance","Female","130","120","47970","43000"
"In post","2021","Heterosexual / straight","UK Export Finance","Male","200","190","55450","50430"
"In post","2021","Heterosexual / straight","UK Supreme Court","Female","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","United Kingdom Statistics Authority","Female","2050","1800","31950","29540"
"In post","2021","Heterosexual / straight","United Kingdom Statistics Authority","Male","1440","1300","34100","30130"
"In post","2021","Heterosexual / straight","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Wales Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Wales Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Water Services Regulation Authority","Female","60","50","57100","51460"
"In post","2021","Heterosexual / straight","Water Services Regulation Authority","Male","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Welsh Government","Female","2830","2610","39650","37410"
"In post","2021","Heterosexual / straight","Welsh Government","Male","1840","1800","42480","37410"
"In post","2021","LGBO","Attorney General's Departments","Female","190","180","42110","33310"
"In post","2021","LGBO","Attorney General's Departments","Male","250","240","47650","50510"
"In post","2021","LGBO","Cabinet Office","Female","170","160","41470","34640"
"In post","2021","LGBO","Cabinet Office","Male","270","270","46990","43890"
"In post","2021","LGBO","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Competition and Markets Authority","Male","40","40","[c]","[c]"
"In post","2021","LGBO","Department for Business, Energy and Industrial Strategy","Female","310","310","41820","39170"
"In post","2021","LGBO","Department for Business, Energy and Industrial Strategy","Male","370","360","45110","40220"
"In post","2021","LGBO","Department for Digital, Culture, Media and Sport","Female","80","80","41960","34130"
"In post","2021","LGBO","Department for Digital, Culture, Media and Sport","Male","100","100","51280","51730"
"In post","2021","LGBO","Department for Education","Female","200","200","42050","38620"
"In post","2021","LGBO","Department for Education","Male","220","220","43910","37100"
"In post","2021","LGBO","Department for Environment, Food and Rural Affairs","Female","250","240","36000","32560"
"In post","2021","LGBO","Department for Environment, Food and Rural Affairs","Male","260","260","37090","32830"
"In post","2021","LGBO","Department for International Trade","Female","60","60","43870","38540"
"In post","2021","LGBO","Department for International Trade","Male","130","120","48750","51710"
"In post","2021","LGBO","Department for Transport","Female","240","230","31720","26780"
"In post","2021","LGBO","Department for Transport","Male","340","330","38130","33990"
"In post","2021","LGBO","Department for Work and Pensions","Female","1740","1640","27970","27570"
"In post","2021","LGBO","Department for Work and Pensions","Male","2000","1940","28320","27570"
"In post","2021","LGBO","Department of Health and Social Care","Female","230","220","39370","32790"
"In post","2021","LGBO","Department of Health and Social Care","Male","240","230","46400","40650"
"In post","2021","LGBO","ESTYN","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","ESTYN","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Foreign, Commonwealth and Development Office","Female","150","150","42470","37530"
"In post","2021","LGBO","Foreign, Commonwealth and Development Office","Male","260","260","50630","53000"
"In post","2021","LGBO","HM Land Registry","Female","60","50","27730","22350"
"In post","2021","LGBO","HM Land Registry","Male","80","80","30370","27130"
"In post","2021","LGBO","HM Revenue and Customs","Female","930","870","31720","28130"
"In post","2021","LGBO","HM Revenue and Customs","Male","1290","1260","32620","28130"
"In post","2021","LGBO","HM Treasury","Female","80","80","47470","52500"
"In post","2021","LGBO","HM Treasury","Male","90","90","48970","52500"
"In post","2021","LGBO","Home Office","Female","490","470","31680","25960"
"In post","2021","LGBO","Home Office","Male","680","660","33710","28760"
"In post","2021","LGBO","Ministry of Defence","Female","630","610","31000","27540"
"In post","2021","LGBO","Ministry of Defence","Male","770","760","33940","32670"
"In post","2021","LGBO","Ministry of Housing, Communities and Local Government","Female","100","100","42250","39600"
"In post","2021","LGBO","Ministry of Housing, Communities and Local Government","Male","140","130","48480","48680"
"In post","2021","LGBO","Ministry of Justice","Female","2250","2190","29220","26810"
"In post","2021","LGBO","Ministry of Justice","Male","1300","1270","31550","28200"
"In post","2021","LGBO","National Crime Agency","Female","110","110","36350","36410"
"In post","2021","LGBO","National Crime Agency","Male","80","80","38330","36410"
"In post","2021","LGBO","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Office for Standards in Education","Female","50","50","50620","46360"
"In post","2021","LGBO","Office for Standards in Education","Male","80","80","46510","35010"
"In post","2021","LGBO","Office of Gas and Electricity Markets","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Office of Gas and Electricity Markets","Male","40","40","[c]","[c]"
"In post","2021","LGBO","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Other Cabinet Office Agencies","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Other Cabinet Office Agencies","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Scotland Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Scotland Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Scottish Government","Female","390","390","35220","32140"
"In post","2021","LGBO","Scottish Government","Male","400","390","38310","33620"
"In post","2021","LGBO","The National Archives","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","The National Archives","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","UK Export Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","UK Supreme Court","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","United Kingdom Statistics Authority","Female","110","110","31450","29540"
"In post","2021","LGBO","United Kingdom Statistics Authority","Male","110","100","35330","30130"
"In post","2021","LGBO","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Wales Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Wales Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Welsh Government","Female","100","90","39740","37410"
"In post","2021","LGBO","Welsh Government","Male","110","110","43500","38360"
