"Status","Year","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","4540","4250","32470","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","9590","9130","32900","29650"
"In post","2021","Cheshire","3900","3680","31290","28840"
"In post","2021","Cornwall and Isles of Scilly","1650","1500","26590","26670"
"In post","2021","Cumbria","2140","1950","27990","25100"
"In post","2021","Derbyshire and Nottinghamshire","12290","11390","30970","27570"
"In post","2021","Devon","9020","8290","31290","27570"
"In post","2021","Dorset and Somerset","5210","4840","29650","27570"
"In post","2021","East Anglia","12460","11600","30130","27570"
"In post","2021","East Wales","20380","19060","32530","27680"
"In post","2021","East Yorkshire and Northern Lincolnshire","4710","4310","27870","26930"
"In post","2021","Eastern Scotland","19840","18650","34310","29350"
"In post","2021","Essex","5590","5130","30790","29290"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","29310","27830","36460","33300"
"In post","2021","Greater Manchester","19710","18500","30950","27570"
"In post","2021","Hampshire and Isle of Wight","15350","14170","32110","28430"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","3990","3730","28020","26470"
"In post","2021","Highlands and Islands","1950","1830","28800","27570"
"In post","2021","Inner London - East","17200","16380","42040","36160"
"In post","2021","Inner London - West","61140","59480","47030","41950"
"In post","2021","Kent","8520","7970","29630","28300"
"In post","2021","Lancashire","14110","12820","28250","27570"
"In post","2021","Leicestershire, Rutland and Northamptonshire","6250","5720","27410","26220"
"In post","2021","Lincolnshire","2830","2660","28120","26750"
"In post","2021","Merseyside","19480","17760","28680","25560"
"In post","2021","North Eastern Scotland","1870","1760","36180","30650"
"In post","2021","North Yorkshire","4730","4470","33500","29200"
"In post","2021","Northern Ireland","3820","3590","27990","25560"
"In post","2021","Northumberland and Tyne and Wear","21370","19130","28300","25560"
"In post","2021","Outer London - East and North East","3780","3530","30650","31060"
"In post","2021","Outer London - South","10740","10180","37520","32520"
"In post","2021","Outer London - West and North West","9060","8420","33270","31060"
"In post","2021","Overseas","3750","3740","49990","49760"
"In post","2021","Shropshire and Staffordshire","8310","7740","29870","27570"
"In post","2021","South Yorkshire","9930","9070","31380","27570"
"In post","2021","Southern Scotland","6020","5440","29430","26530"
"In post","2021","Surrey, East and West Sussex","8300","7610","30540","27570"
"In post","2021","Tees Valley and Durham","9240","8370","27900","26300"
"In post","2021","Unknown","3730","3650","35670","32100"
"In post","2021","West Central Scotland","17920","16550","30640","27570"
"In post","2021","West Midlands","18200","16810","30810","27570"
"In post","2021","West Wales and The Valleys","15710","14200","28660","26350"
"In post","2021","West Yorkshire","17250","15970","31400","27570"
"In post","2022","Bedfordshire and Hertfordshire","4700","4430","33550","29450"
