"Status","Year","Function_of_post","Sex","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Female","Declared disabled","300","270","40640","37280"
"In post","2021","Analysis","Female","Declared non-disabled","2050","1910","43290","38630"
"In post","2021","Analysis","Female","Undeclared","140","130","41680","40470"
"In post","2021","Analysis","Female","Unknown","770","730","39710","36390"
"In post","2021","Analysis","Male","Declared disabled","280","270","41810","37320"
"In post","2021","Analysis","Male","Declared non-disabled","2490","2450","45520","40960"
"In post","2021","Analysis","Male","Undeclared","230","230","44100","42020"
"In post","2021","Analysis","Male","Unknown","920","900","41280","36370"
"In post","2021","Analysis","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Declared disabled","340","320","37700","34800"
"In post","2021","Commercial","Female","Declared non-disabled","2040","1940","40230","35760"
"In post","2021","Commercial","Female","Undeclared","180","170","38620","34800"
"In post","2021","Commercial","Female","Unknown","980","940","51700","49700"
"In post","2021","Commercial","Male","Declared disabled","240","230","40860","39860"
"In post","2021","Commercial","Male","Declared non-disabled","1940","1920","46580","40580"
"In post","2021","Commercial","Male","Undeclared","210","210","45460","41500"
"In post","2021","Commercial","Male","Unknown","1060","1050","56280","52540"
"In post","2021","Communications","Female","Declared disabled","290","270","32980","29750"
"In post","2021","Communications","Female","Declared non-disabled","2540","2390","36340","31810"
"In post","2021","Communications","Female","Undeclared","170","160","37490","31970"
"In post","2021","Communications","Female","Unknown","1290","1230","34280","29220"
"In post","2021","Communications","Male","Declared disabled","260","250","31110","27290"
"In post","2021","Communications","Male","Declared non-disabled","2180","2150","34940","31810"
"In post","2021","Communications","Male","Undeclared","190","190","34550","31590"
"In post","2021","Communications","Male","Unknown","1290","1270","32560","25560"
"In post","2021","Counter Fraud","Female","Declared disabled","450","400","32180","29620"
"In post","2021","Counter Fraud","Female","Declared non-disabled","2840","2600","32980","31810"
"In post","2021","Counter Fraud","Female","Undeclared","230","210","33910","31810"
"In post","2021","Counter Fraud","Female","Unknown","1000","920","30390","28130"
"In post","2021","Counter Fraud","Male","Declared disabled","380","350","34430","31810"
"In post","2021","Counter Fraud","Male","Declared non-disabled","3080","3000","35930","31810"
"In post","2021","Counter Fraud","Male","Undeclared","420","400","36800","32100"
"In post","2021","Counter Fraud","Male","Unknown","1230","1190","32700","31810"
"In post","2021","Debt","Female","Declared disabled","240","190","23150","21440"
"In post","2021","Debt","Female","Declared non-disabled","1360","1160","24150","21440"
"In post","2021","Debt","Female","Undeclared","100","80","23820","21440"
"In post","2021","Debt","Female","Unknown","950","850","22090","20140"
"In post","2021","Debt","Male","Declared disabled","140","130","22900","20640"
"In post","2021","Debt","Male","Declared non-disabled","950","900","24170","21440"
"In post","2021","Debt","Male","Undeclared","110","100","24830","21440"
"In post","2021","Debt","Male","Unknown","830","810","22070","20140"
"In post","2021","Digital, Data & Technology","Female","Declared disabled","460","440","37820","34160"
"In post","2021","Digital, Data & Technology","Female","Declared non-disabled","3210","3040","40720","38450"
"In post","2021","Digital, Data & Technology","Female","Undeclared","220","210","40350","38070"
"In post","2021","Digital, Data & Technology","Female","Unknown","1100","1060","40230","36740"
"In post","2021","Digital, Data & Technology","Male","Declared disabled","620","600","40250","36780"
"In post","2021","Digital, Data & Technology","Male","Declared non-disabled","5300","5210","43250","39650"
"In post","2021","Digital, Data & Technology","Male","Undeclared","460","450","41000","38450"
"In post","2021","Digital, Data & Technology","Male","Unknown","2210","2190","40720","37720"
"In post","2021","Digital, Data & Technology","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","Declared disabled","480","440","35710","31810"
"In post","2021","Finance","Female","Declared non-disabled","3600","3320","37330","33300"
"In post","2021","Finance","Female","Undeclared","270","240","37250","33300"
"In post","2021","Finance","Female","Unknown","940","860","35370","31810"
"In post","2021","Finance","Male","Declared disabled","330","320","40260","36460"
"In post","2021","Finance","Male","Declared non-disabled","2730","2690","43640","39450"
"In post","2021","Finance","Male","Undeclared","250","240","41100","37370"
"In post","2021","Finance","Male","Unknown","810","790","38190","33000"
"In post","2021","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Female","Declared disabled","100","80","25850","21050"
"In post","2021","Grants Management","Female","Declared non-disabled","980","850","24980","21050"
"In post","2021","Grants Management","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Male","Declared disabled","60","50","25140","21050"
"In post","2021","Grants Management","Male","Declared non-disabled","710","700","26010","24920"
"In post","2021","Grants Management","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Female","Declared disabled","860","800","38460","33490"
"In post","2021","Human Resources","Female","Declared non-disabled","4430","4140","37650","33300"
"In post","2021","Human Resources","Female","Undeclared","340","320","37160","33270"
"In post","2021","Human Resources","Female","Unknown","1050","980","34370","30360"
"In post","2021","Human Resources","Male","Declared disabled","360","350","38880","34420"
"In post","2021","Human Resources","Male","Declared non-disabled","1900","1860","39470","34810"
"In post","2021","Human Resources","Male","Undeclared","170","160","37680","33300"
"In post","2021","Human Resources","Male","Unknown","480","470","33980","31700"
"In post","2021","Human Resources","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Female","Declared disabled","50","50","[c]","[c]"
"In post","2021","Internal Audit","Female","Declared non-disabled","290","270","43910","41690"
"In post","2021","Internal Audit","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Male","Declared disabled","40","40","[c]","[c]"
"In post","2021","Internal Audit","Male","Declared non-disabled","280","270","48790","47180"
"In post","2021","Internal Audit","Male","Undeclared","30","30","[c]","[c]"
"In post","2021","Internal Audit","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","Declared disabled","810","730","42950","38760"
"In post","2021","Legal","Female","Declared non-disabled","5950","5350","45700","48080"
"In post","2021","Legal","Female","Undeclared","220","200","49870","50940"
"In post","2021","Legal","Female","Unknown","2740","2490","35450","29350"
"In post","2021","Legal","Male","Declared disabled","440","420","45710","46530"
"In post","2021","Legal","Male","Declared non-disabled","3220","3120","49730","51250"
"In post","2021","Legal","Male","Undeclared","150","150","51740","50750"
"In post","2021","Legal","Male","Unknown","1340","1290","38430","31180"
"In post","2021","No function","Female","Declared disabled","10190","9180","30020","26780"
"In post","2021","No function","Female","Declared non-disabled","62290","56450","32210","27730"
"In post","2021","No function","Female","Undeclared","6230","5600","31220","28130"
"In post","2021","No function","Female","Unknown","20640","18990","30420","25870"
"In post","2021","No function","Male","Declared disabled","7320","6940","32730","30400"
"In post","2021","No function","Male","Declared non-disabled","51080","49330","35370","31650"
"In post","2021","No function","Male","Undeclared","7630","7200","33950","31650"
"In post","2021","No function","Male","Unknown","19540","18890","32580","28970"
"In post","2021","No function","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","No function","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","No function","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","Declared disabled","1350","1270","38510","34870"
"In post","2021","Project Delivery","Female","Declared non-disabled","8690","8230","40130","36800"
"In post","2021","Project Delivery","Female","Undeclared","630","600","39260","36870"
"In post","2021","Project Delivery","Female","Unknown","1950","1840","41150","38600"
"In post","2021","Project Delivery","Male","Declared disabled","1290","1260","40020","38500"
"In post","2021","Project Delivery","Male","Declared non-disabled","11020","10840","42540","39860"
"In post","2021","Project Delivery","Male","Undeclared","1170","1140","40550","38400"
"In post","2021","Project Delivery","Male","Unknown","2290","2250","42700","39860"
"In post","2021","Project Delivery","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Declared disabled","360","330","33730","31810"
"In post","2021","Property","Female","Declared non-disabled","2640","2430","33130","30670"
"In post","2021","Property","Female","Undeclared","250","230","32870","31050"
"In post","2021","Property","Female","Unknown","630","590","28220","25300"
"In post","2021","Property","Male","Declared disabled","380","360","35460","33250"
"In post","2021","Property","Male","Declared non-disabled","3700","3610","36980","33300"
"In post","2021","Property","Male","Undeclared","370","360","37910","33880"
"In post","2021","Property","Male","Unknown","990","960","31430","28790"
"In post","2021","Security","Female","Declared disabled","190","180","31260","28080"
"In post","2021","Security","Female","Declared non-disabled","1320","1270","32380","30120"
"In post","2021","Security","Female","Undeclared","120","120","36190","33300"
"In post","2021","Security","Female","Unknown","430","410","30190","26670"
"In post","2021","Security","Male","Declared disabled","470","450","32280","29540"
"In post","2021","Security","Male","Declared non-disabled","4020","3960","31190","26670"
"In post","2021","Security","Male","Undeclared","570","560","34450","36550"
"In post","2021","Security","Male","Unknown","1640","1620","30900","28600"
"In post","2021","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Declared disabled","13630","11800","28280","27570"
"In post","2021","Unknown","Female","Declared non-disabled","73500","64840","29630","27570"
"In post","2021","Unknown","Female","Undeclared","3980","3600","29100","27570"
"In post","2021","Unknown","Female","Unknown","7250","6820","34640","29160"
"In post","2021","Unknown","Male","Declared disabled","7870","7440","29360","27570"
"In post","2021","Unknown","Male","Declared non-disabled","48560","46860","31950","27570"
"In post","2021","Unknown","Male","Undeclared","3660","3550","31150","27570"
"In post","2021","Unknown","Male","Unknown","8260","8130","35900","31060"
"In post","2022","Analysis","Female","Declared disabled","380","350","41370","37930"
"In post","2022","Analysis","Female","Declared non-disabled","2630","2460","43070","38340"
"In post","2022","Analysis","Female","Undeclared","130","120","43230","40090"
"In post","2022","Analysis","Female","Unknown","840","800","41270","38340"
"In post","2022","Analysis","Male","Declared disabled","340","330","41780","38020"
"In post","2022","Analysis","Male","Declared non-disabled","3050","3000","45400","40520"
"In post","2022","Analysis","Male","Undeclared","150","140","45460","40670"
"In post","2022","Analysis","Male","Unknown","940","920","42600","38000"
"In post","2022","Analysis","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Female","Declared disabled","260","240","38040","37040"
"In post","2022","Commercial","Female","Declared non-disabled","1840","1750","40840","37280"
"In post","2022","Commercial","Female","Undeclared","120","120","39160","36490"
"In post","2022","Commercial","Female","Unknown","1190","1150","52680","50530"
"In post","2022","Commercial","Male","Declared disabled","200","200","41310","37430"
"In post","2022","Commercial","Male","Declared non-disabled","1660","1640","46760","40600"
"In post","2022","Commercial","Male","Undeclared","150","150","46150","41090"
"In post","2022","Commercial","Male","Unknown","1200","1190","57330","54070"
"In post","2022","Communications","Female","Declared disabled","350","330","35520","33080"
"In post","2022","Communications","Female","Declared non-disabled","2760","2610","37220","33370"
"In post","2022","Communications","Female","Undeclared","140","140","37700","33370"
"In post","2022","Communications","Female","Unknown","1320","1260","36060","32790"
"In post","2022","Communications","Male","Declared disabled","250","250","33820","33080"
"In post","2022","Communications","Male","Declared non-disabled","2250","2230","36150","33080"
"In post","2022","Communications","Male","Undeclared","170","170","34280","29200"
"In post","2022","Communications","Male","Unknown","1290","1280","34010","27270"
"In post","2022","Counter Fraud","Female","Declared disabled","1170","1020","30460","27570"
"In post","2022","Counter Fraud","Female","Declared non-disabled","6150","5480","31110","27570"
"In post","2022","Counter Fraud","Female","Undeclared","410","360","32070","28920"
"In post","2022","Counter Fraud","Female","Unknown","1270","1180","31800","28920"
"In post","2022","Counter Fraud","Male","Declared disabled","820","760","31940","27570"
"In post","2022","Counter Fraud","Male","Declared non-disabled","5220","5010","34220","31880"
"In post","2022","Counter Fraud","Male","Undeclared","550","530","35920","33370"
"In post","2022","Counter Fraud","Male","Unknown","1450","1410","33980","33080"
"In post","2022","Debt","Female","Declared disabled","530","440","23540","21260"
"In post","2022","Debt","Female","Declared non-disabled","2700","2270","23860","21260"
"In post","2022","Debt","Female","Undeclared","180","150","23300","21260"
"In post","2022","Debt","Female","Unknown","770","680","23300","21250"
"In post","2022","Debt","Male","Declared disabled","280","260","23170","21260"
"In post","2022","Debt","Male","Declared non-disabled","1560","1480","24170","21260"
"In post","2022","Debt","Male","Undeclared","150","140","23910","21260"
"In post","2022","Debt","Male","Unknown","660","640","23760","21250"
"In post","2022","Digital, Data & Technology","Female","Declared disabled","870","820","38040","34550"
"In post","2022","Digital, Data & Technology","Female","Declared non-disabled","5580","5290","40240","37070"
"In post","2022","Digital, Data & Technology","Female","Undeclared","360","340","38900","35900"
"In post","2022","Digital, Data & Technology","Female","Unknown","1450","1400","41040","37170"
"In post","2022","Digital, Data & Technology","Male","Declared disabled","1130","1100","39920","36050"
"In post","2022","Digital, Data & Technology","Male","Declared non-disabled","9090","8930","42690","39650"
"In post","2022","Digital, Data & Technology","Male","Undeclared","840","820","41130","37910"
"In post","2022","Digital, Data & Technology","Male","Unknown","2750","2720","41910","38500"
"In post","2022","Finance","Female","Declared disabled","660","590","36340","32440"
"In post","2022","Finance","Female","Declared non-disabled","4730","4370","37910","34150"
"In post","2022","Finance","Female","Undeclared","310","290","37180","33370"
"In post","2022","Finance","Female","Unknown","1170","1090","36260","32940"
"In post","2022","Finance","Male","Declared disabled","480","460","39330","35310"
"In post","2022","Finance","Male","Declared non-disabled","3720","3650","42690","39350"
"In post","2022","Finance","Male","Undeclared","320","310","41650","37590"
"In post","2022","Finance","Male","Unknown","990","970","39190","35310"
"In post","2022","Grants Management","Female","Declared disabled","120","100","25410","21300"
"In post","2022","Grants Management","Female","Declared non-disabled","1220","1070","24780","21300"
"In post","2022","Grants Management","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Male","Declared disabled","70","60","25350","21300"
"In post","2022","Grants Management","Male","Declared non-disabled","870","850","25550","21300"
"In post","2022","Grants Management","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Female","Declared disabled","1110","1040","38110","33680"
"In post","2022","Human Resources","Female","Declared non-disabled","5460","5090","37740","33300"
"In post","2022","Human Resources","Female","Undeclared","410","390","36430","33300"
"In post","2022","Human Resources","Female","Unknown","1100","1030","34850","30740"
"In post","2022","Human Resources","Male","Declared disabled","490","480","38150","33370"
"In post","2022","Human Resources","Male","Declared non-disabled","2400","2350","39210","34260"
"In post","2022","Human Resources","Male","Undeclared","210","200","37030","33370"
"In post","2022","Human Resources","Male","Unknown","550","540","36290","33080"
"In post","2022","Internal Audit","Female","Declared disabled","60","50","43950","40580"
"In post","2022","Internal Audit","Female","Declared non-disabled","300","280","44610","42530"
"In post","2022","Internal Audit","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Male","Declared disabled","40","40","[c]","[c]"
"In post","2022","Internal Audit","Male","Declared non-disabled","260","250","48190","46430"
"In post","2022","Internal Audit","Male","Undeclared","30","30","[c]","[c]"
"In post","2022","Internal Audit","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Female","Declared disabled","790","710","43000","39750"
"In post","2022","Legal","Female","Declared non-disabled","5510","5010","46300","48990"
"In post","2022","Legal","Female","Undeclared","180","160","51170","53370"
"In post","2022","Legal","Female","Unknown","1590","1470","42930","40520"
"In post","2022","Legal","Male","Declared disabled","430","410","46730","49930"
"In post","2022","Legal","Male","Declared non-disabled","2990","2900","50260","52040"
"In post","2022","Legal","Male","Undeclared","140","130","51960","54810"
"In post","2022","Legal","Male","Unknown","790","770","46170","48080"
"In post","2022","No function","Female","Declared disabled","20910","18450","29340","27570"
"In post","2022","No function","Female","Declared non-disabled","104940","94010","30930","27570"
"In post","2022","No function","Female","Undeclared","7780","6990","30330","27570"
"In post","2022","No function","Female","Unknown","26030","24050","31420","27570"
"In post","2022","No function","Male","Declared disabled","12050","11380","31080","27570"
"In post","2022","No function","Male","Declared non-disabled","72670","70210","33930","29180"
"In post","2022","No function","Male","Undeclared","8290","7830","33090","31650"
"In post","2022","No function","Male","Unknown","21860","21110","33260","29250"
"In post","2022","No function","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","No function","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Female","Declared disabled","1370","1270","39010","35390"
"In post","2022","Project Delivery","Female","Declared non-disabled","8300","7780","41110","38070"
"In post","2022","Project Delivery","Female","Undeclared","510","480","39480","37930"
"In post","2022","Project Delivery","Female","Unknown","1670","1580","42770","40180"
"In post","2022","Project Delivery","Male","Declared disabled","1250","1210","40550","39080"
"In post","2022","Project Delivery","Male","Declared non-disabled","10450","10250","43300","40520"
"In post","2022","Project Delivery","Male","Undeclared","890","860","43000","40580"
"In post","2022","Project Delivery","Male","Unknown","2140","2090","43490","40520"
"In post","2022","Project Delivery","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Property","Female","Declared disabled","380","350","36520","33300"
