"Status","Year","Disability","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Economics","60","60","46070","41250"
"In post","2021","Declared disabled","Analysis","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","50","50","30860","30180"
"In post","2021","Declared disabled","Analysis","Operational Research","80","80","42430","37590"
"In post","2021","Declared disabled","Analysis","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Policy","30","30","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Science and Engineering","40","40","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Social Research","90","80","40500","37700"
"In post","2021","Declared disabled","Analysis","Statistics","160","150","42740","38630"
"In post","2021","Declared disabled","Analysis","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Commercial","380","360","39070","37940"
"In post","2021","Declared disabled","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Knowledge and Information Management","100","100","34070","30870"
"In post","2021","Declared disabled","Commercial","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","30","30","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Communications","230","220","36880","33830"
"In post","2021","Declared disabled","Communications","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Operational Delivery","130","110","27140","25560"
"In post","2021","Declared disabled","Communications","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Tax","130","120","28490","25560"
"In post","2021","Declared disabled","Communications","Unknown","40","30","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Counter Fraud","50","50","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Legal","230","210","31330","29570"
"In post","2021","Declared disabled","Counter Fraud","Operational Delivery","290","270","29950","28130"
"In post","2021","Declared disabled","Counter Fraud","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Other","50","40","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Tax","160","140","39830","35000"
"In post","2021","Declared disabled","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Operational Delivery","340","290","23180","21440"
"In post","2021","Declared disabled","Debt","Tax","30","30","[c]","[c]"
"In post","2021","Declared disabled","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Digital, Data and Technology","860","820","38380","35000"
"In post","2021","Declared disabled","Digital, Data & Technology","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Operational Delivery","40","40","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Unknown","110","100","46280","52580"
"In post","2021","Declared disabled","Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Finance","640","600","37540","33440"
"In post","2021","Declared disabled","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Operational Delivery","80","70","30070","27400"
