"Status","Year","Sex","Organisation","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Accountant in Bankruptcy","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Accountant in Bankruptcy","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Accountant in Bankruptcy","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Accountant in Bankruptcy","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Accountant in Bankruptcy","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Accountant in Bankruptcy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Accountant in Bankruptcy","White","60","50","31460","29190"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Unknown","170","160","28530","24250"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","White","380","340","33380","31240"
"In post","2021","Female","Animal and Plant Health Agency","Asian","40","30","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Undeclared","70","70","32940","30150"
"In post","2021","Female","Animal and Plant Health Agency","Unknown","140","130","29330","25330"
"In post","2021","Female","Animal and Plant Health Agency","White","1320","1220","29430","25660"
"In post","2021","Female","Attorney General's Office","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Office","Black","[c]","[c]","[c]","[c]"
