"Status","Year","Sexual_orientation","Function_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Analysis","East Midlands (England)","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","East of England","150","140","34900","30660"
"In post","2021","Heterosexual / straight","Analysis","London","2290","2220","49320","45250"
"In post","2021","Heterosexual / straight","Analysis","North East (England)","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","North West (England)","240","230","39430","38630"
"In post","2021","Heterosexual / straight","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Scotland","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","South East (England)","620","590","39430","37320"
"In post","2021","Heterosexual / straight","Analysis","South West (England)","290","280","38100","36770"
"In post","2021","Heterosexual / straight","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Wales","650","620","37240","36030"
"In post","2021","Heterosexual / straight","Analysis","West Midlands (England)","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Yorkshire and The Humber","250","240","42060","41990"
"In post","2021","Heterosexual / straight","Commercial","East Midlands (England)","120","110","40420","37970"
"In post","2021","Heterosexual / straight","Commercial","East of England","270","260","39140","35760"
"In post","2021","Heterosexual / straight","Commercial","London","950","930","53210","46130"
"In post","2021","Heterosexual / straight","Commercial","North East (England)","80","70","44640","40930"
"In post","2021","Heterosexual / straight","Commercial","North West (England)","450","440","40010","35420"
"In post","2021","Heterosexual / straight","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Overseas","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Scotland","220","210","36920","34800"
"In post","2021","Heterosexual / straight","Commercial","South East (England)","490","470","36180","33300"
"In post","2021","Heterosexual / straight","Commercial","South West (England)","850","820","39890","37400"
