"Status","Year","Profession_of_post","Parent_department","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","G6/G7","110","110","53340","48540"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","SEO/HEO","120","110","37170","37420"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","EO","30","30","[c]","[c]"
"In post","2021","Commercial","Department for Education","G6/G7","100","100","54870","51800"
"In post","2021","Commercial","Department for Education","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","SEO/HEO","240","230","35810","36780"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
