"Status","Year","Function_of_post","Parent_department","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","White","120","110","76630","72110"
"In post","2021","Analysis","Charity Commission","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
