"Status","Year","Profession_of_post","Disability","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Declared disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","White","410","390","39280","37340"
"In post","2021","Commercial","Declared non-disabled","Asian","180","170","38590","36730"
"In post","2021","Commercial","Declared non-disabled","Black","140","140","38040","35050"
"In post","2021","Commercial","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Mixed","60","60","36970","33300"
"In post","2021","Commercial","Declared non-disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Undeclared","80","70","39000","37920"
"In post","2021","Commercial","Declared non-disabled","Unknown","90","90","39340","37400"
"In post","2021","Commercial","Declared non-disabled","White","2950","2840","41280","38200"
"In post","2021","Commercial","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Undeclared","90","90","42050","41090"
"In post","2021","Commercial","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","White","210","200","43140","40210"
"In post","2021","Commercial","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Chinese","[c]","[c]","[c]","[c]"
