"Status","Year","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Commercial","270","250","22530","21590"
"In post","2021","AA/AO","Communications","240","230","22250","21590"
"In post","2021","AA/AO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","50","50","20900","21430"
"In post","2021","AA/AO","Digital, Data and Technology","440","430","21920","21580"
"In post","2021","AA/AO","Economics","90","90","22640","22500"
"In post","2021","AA/AO","Finance","1170","990","21410","21430"
"In post","2021","AA/AO","Human Resources","1210","1110","21650","21130"
"In post","2021","AA/AO","Intelligence Analysis","130","120","23320","21900"
"In post","2021","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","340","320","22110","21490"
"In post","2021","AA/AO","Legal","310","270","21500","21400"
"In post","2021","AA/AO","Medicine","350","330","22100","22640"
"In post","2021","AA/AO","Operational Delivery","80940","72690","22960","21440"
"In post","2021","AA/AO","Operational Research","40","30","[c]","[c]"
"In post","2021","AA/AO","Other","7840","7450","21250","20920"
"In post","2021","AA/AO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Policy","800","760","23450","23510"
"In post","2021","AA/AO","Project Delivery","320","300","21740","21390"
"In post","2021","AA/AO","Property","1020","960","19660","18800"
"In post","2021","AA/AO","Psychology","70","60","21260","20890"
"In post","2021","AA/AO","Science and Engineering","1400","1350","21720","21640"
"In post","2021","AA/AO","Security","5420","5310","26850","22650"
"In post","2021","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Statistics","40","40","[c]","[c]"
"In post","2021","AA/AO","Tax","3790","3570","20260","20140"
"In post","2021","AA/AO","Unknown","34350","29850","21300","21010"
"In post","2021","AA/AO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","710","680","25970","26400"
"In post","2021","EO","Communications","630","610","27460","27140"
"In post","2021","EO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Counter Fraud","190","170","26610","26090"
"In post","2021","EO","Digital, Data and Technology","2220","2150","27500","26670"
"In post","2021","EO","Economics","120","120","27000","26750"
"In post","2021","EO","Finance","1630","1540","26570","26670"
"In post","2021","EO","Human Resources","1380","1300","27120","26710"
"In post","2021","EO","Intelligence Analysis","1560","1480","27800","27370"
"In post","2021","EO","Internal Audit","50","50","[c]","[c]"
"In post","2021","EO","International Trade","100","100","26910","26510"
"In post","2021","EO","Knowledge and Information Management","510","480","26950","26670"
"In post","2021","EO","Legal","1940","1870","27400","25670"
"In post","2021","EO","Medicine","330","300","30550","30620"
"In post","2021","EO","Operational Delivery","45090","41840","27760","26880"
"In post","2021","EO","Operational Research","60","60","27900","26670"
"In post","2021","EO","Other","5150","4910","26400","26670"
"In post","2021","EO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","EO","Policy","2690","2610","28300","28490"
"In post","2021","EO","Project Delivery","1900","1830","26540","26670"
"In post","2021","EO","Property","1500","1410","27020","26560"
"In post","2021","EO","Psychology","420","410","26890","26330"
"In post","2021","EO","Science and Engineering","2000","1940","25870","26370"
"In post","2021","EO","Security","1090","1070","32830","29080"
"In post","2021","EO","Social Research","40","40","[c]","[c]"
"In post","2021","EO","Statistics","250","240","27760","27850"
"In post","2021","EO","Tax","4060","3770","26550","25560"
"In post","2021","EO","Unknown","53220","48450","28070","27570"
"In post","2021","EO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Commercial","1020","990","59000","56420"
"In post","2021","G6/G7","Communications","940","910","58070","56690"
"In post","2021","G6/G7","Corporate Finance","70","70","58240","56360"
"In post","2021","G6/G7","Counter Fraud","120","120","61670","58820"
"In post","2021","G6/G7","Digital, Data and Technology","3460","3400","58330","57050"
"In post","2021","G6/G7","Economics","950","920","59590","58000"
"In post","2021","G6/G7","Finance","2140","2090","59080","57900"
"In post","2021","G6/G7","Human Resources","1670","1610","58310","57430"
"In post","2021","G6/G7","Inspector of Education and Training","510","500","75360","75500"
"In post","2021","G6/G7","Intelligence Analysis","410","400","58590","57460"
"In post","2021","G6/G7","Internal Audit","200","190","58920","56840"
"In post","2021","G6/G7","International Trade","600","590","55610","53420"
"In post","2021","G6/G7","Knowledge and Information Management","410","380","57470","55550"
"In post","2021","G6/G7","Legal","5930","5480","59420","58040"
"In post","2021","G6/G7","Medicine","670","580","74320","75330"
"In post","2021","G6/G7","Operational Delivery","6540","6360","58760","56490"
"In post","2021","G6/G7","Operational Research","510","480","54330","53660"
"In post","2021","G6/G7","Other","1950","1890","61690","59160"
"In post","2021","G6/G7","Planning","60","60","57840","54940"
"In post","2021","G6/G7","Planning Inspectors","340","300","57760","58810"
"In post","2021","G6/G7","Policy","11380","11060","58480","57310"
"In post","2021","G6/G7","Project Delivery","4330","4240","56890","54860"
"In post","2021","G6/G7","Property","1160","1130","58120","56140"
"In post","2021","G6/G7","Psychology","120","110","63810","65520"
"In post","2021","G6/G7","Science and Engineering","3130","2980","55650","54290"
"In post","2021","G6/G7","Security","340","340","59680","57430"
"In post","2021","G6/G7","Social Research","320","300","56340","57110"
"In post","2021","G6/G7","Statistics","660","630","57080","57470"
"In post","2021","G6/G7","Tax","2720","2590","56920","52580"
"In post","2021","G6/G7","Unknown","9630","9330","59600","57840"
"In post","2021","G6/G7","Veterinarian","150","150","55880","54460"
"In post","2021","SCS","Commercial","100","100","89570","81130"
"In post","2021","SCS","Communications","120","110","86780","80910"
"In post","2021","SCS","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","230","220","91190","85000"
"In post","2021","SCS","Economics","90","90","88830","82390"
"In post","2021","SCS","Finance","280","280","90570","83380"
"In post","2021","SCS","Human Resources","190","190","89040","82680"
"In post","2021","SCS","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","SCS","International Trade","110","110","85670","75570"
"In post","2021","SCS","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Legal","390","380","88390","82870"
"In post","2021","SCS","Medicine","420","360","106790","101230"
"In post","2021","SCS","Operational Delivery","660","640","92990","86780"
"In post","2021","SCS","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Other","270","260","94350","87250"
"In post","2021","SCS","Planning","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Policy","1840","1780","85630","77730"
"In post","2021","SCS","Project Delivery","430","420","92030","85440"
"In post","2021","SCS","Property","70","70","90360","81660"
"In post","2021","SCS","Science and Engineering","130","120","98650","94590"
"In post","2021","SCS","Security","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Statistics","50","50","84830","78340"
"In post","2021","SCS","Tax","90","80","81910","78760"
"In post","2021","SCS","Unknown","1660","1620","91410","82040"
"In post","2021","SCS","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Commercial","3040","2950","37650","37320"
"In post","2021","SEO/HEO","Communications","2020","1970","37950","37410"
"In post","2021","SEO/HEO","Corporate Finance","60","60","36970","37320"
"In post","2021","SEO/HEO","Counter Fraud","530","510","37550","37910"
"In post","2021","SEO/HEO","Digital, Data and Technology","6880","6690","37750","37450"
"In post","2021","SEO/HEO","Economics","910","900","34940","33930"
"In post","2021","SEO/HEO","Finance","3820","3690","37790","37290"
"In post","2021","SEO/HEO","Human Resources","3370","3220","36840","36330"
"In post","2021","SEO/HEO","Inspector of Education and Training","340","330","51020","51360"
"In post","2021","SEO/HEO","Intelligence Analysis","1270","1240","36990","36160"
"In post","2021","SEO/HEO","Internal Audit","480","460","40520","40190"
"In post","2021","SEO/HEO","International Trade","660","650","35430","34980"
"In post","2021","SEO/HEO","Knowledge and Information Management","1060","1020","36840","36540"
"In post","2021","SEO/HEO","Legal","3580","3360","38370","37940"
"In post","2021","SEO/HEO","Medicine","730","670","38660","37890"
"In post","2021","SEO/HEO","Operational Delivery","30680","29210","36840","35570"
"In post","2021","SEO/HEO","Operational Research","570","550","36760","37320"
"In post","2021","SEO/HEO","Other","5390","5210","36110","35400"
"In post","2021","SEO/HEO","Planning","100","100","38690","39100"
"In post","2021","SEO/HEO","Policy","12360","12060","37190","36780"
"In post","2021","SEO/HEO","Project Delivery","8480","8220","36880","37320"
"In post","2021","SEO/HEO","Property","3170","3050","37180","36240"
"In post","2021","SEO/HEO","Psychology","800","760","37340","33120"
"In post","2021","SEO/HEO","Science and Engineering","6610","6330","37050","37320"
"In post","2021","SEO/HEO","Security","1350","1320","40480","38160"
"In post","2021","SEO/HEO","Social Research","780","750","37350","37020"
"In post","2021","SEO/HEO","Statistics","1030","1000","36810","37010"
"In post","2021","SEO/HEO","Tax","7150","6780","34590","31870"
"In post","2021","SEO/HEO","Unknown","21530","20650","35630","34550"
"In post","2021","SEO/HEO","Veterinarian","290","270","40580","37910"
"In post","2021","Unknown","Commercial","220","210","38620","37230"
"In post","2021","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Digital, Data and Technology","60","60","36010","33400"
"In post","2021","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Finance","130","130","41340","39860"
"In post","2021","Unknown","Human Resources","40","40","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","60","60","47100","44000"
"In post","2021","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","[c]","[c]","[c]","[c]"
