"Status","Year","Organisation","Function_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","Declared non-disabled","70","60","32520","29190"
"In post","2021","Accountant in Bankruptcy","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","Unknown","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","No function","Declared disabled","90","80","30110","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","No function","Declared non-disabled","160","150","29650","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","No function","Unknown","590","540","31210","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Unknown","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Declared non-disabled","40","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","No function","Declared disabled","320","300","28280","25100"
"In post","2021","Animal and Plant Health Agency","No function","Declared non-disabled","1900","1800","31090","27980"
"In post","2021","Animal and Plant Health Agency","No function","Undeclared","140","130","31690","29180"
"In post","2021","Animal and Plant Health Agency","No function","Unknown","180","170","29370","25430"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","Unknown","[c]","[c]","[c]","[c]"
