"Status","Year","Responsibility_level","Sexual_orientation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Heterosexual / straight","East Midlands (England)","5110","4650","22040","21010"
"In post","2021","AA/AO","Heterosexual / straight","East of England","5300","4880","23540","21440"
"In post","2021","AA/AO","Heterosexual / straight","London","7960","7420","25490","25110"
"In post","2021","AA/AO","Heterosexual / straight","North East (England)","7990","6900","21460","21010"
"In post","2021","AA/AO","Heterosexual / straight","North West (England)","12690","11360","21460","21010"
"In post","2021","AA/AO","Heterosexual / straight","Northern Ireland","1110","1020","20850","20310"
"In post","2021","AA/AO","Heterosexual / straight","Overseas","40","40","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Scotland","8610","7770","22090","21010"
"In post","2021","AA/AO","Heterosexual / straight","South East (England)","9390","8560","23850","21550"
"In post","2021","AA/AO","Heterosexual / straight","South West (England)","6190","5680","22060","21010"
"In post","2021","AA/AO","Heterosexual / straight","Unknown","160","140","22170","21010"
"In post","2021","AA/AO","Heterosexual / straight","Wales","7780","6960","21370","21300"
"In post","2021","AA/AO","Heterosexual / straight","West Midlands (England)","6520","5940","21860","21010"
"In post","2021","AA/AO","Heterosexual / straight","Yorkshire and The Humber","7320","6570","22430","21050"
"In post","2021","AA/AO","LGBO","East Midlands (England)","280","270","22900","21010"
"In post","2021","AA/AO","LGBO","East of England","280","270","24150","22420"
"In post","2021","AA/AO","LGBO","London","400","390","26240","25110"
"In post","2021","AA/AO","LGBO","North East (England)","420","390","21500","21010"
"In post","2021","AA/AO","LGBO","North West (England)","760","720","21640","21010"
"In post","2021","AA/AO","LGBO","Northern Ireland","40","40","[c]","[c]"
"In post","2021","AA/AO","LGBO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Scotland","510","490","21580","21010"
"In post","2021","AA/AO","LGBO","South East (England)","590","570","24830","23120"
"In post","2021","AA/AO","LGBO","South West (England)","360","350","22730","21010"
"In post","2021","AA/AO","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Wales","440","420","21100","21010"
"In post","2021","AA/AO","LGBO","West Midlands (England)","380","360","22350","21010"
"In post","2021","AA/AO","LGBO","Yorkshire and The Humber","440","420","22630","21010"
"In post","2021","AA/AO","Undeclared","East Midlands (England)","700","620","22000","21010"
"In post","2021","AA/AO","Undeclared","East of England","690","630","23460","21440"
"In post","2021","AA/AO","Undeclared","London","1130","1040","25060","25110"
"In post","2021","AA/AO","Undeclared","North East (England)","960","820","21600","21010"
"In post","2021","AA/AO","Undeclared","North West (England)","1570","1380","21530","21010"
"In post","2021","AA/AO","Undeclared","Northern Ireland","100","90","21340","20810"
"In post","2021","AA/AO","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Scotland","1900","1680","22100","21010"
"In post","2021","AA/AO","Undeclared","South East (England)","1220","1110","24290","21580"
"In post","2021","AA/AO","Undeclared","South West (England)","840","760","22670","21010"
"In post","2021","AA/AO","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Wales","1770","1460","20890","21510"
"In post","2021","AA/AO","Undeclared","West Midlands (England)","820","720","21720","21010"
"In post","2021","AA/AO","Undeclared","Yorkshire and The Humber","960","850","22980","21100"
"In post","2021","AA/AO","Unknown","East Midlands (England)","1910","1710","22040","21010"
"In post","2021","AA/AO","Unknown","East of England","1570","1410","23810","21580"
"In post","2021","AA/AO","Unknown","London","3220","2970","25760","24890"
"In post","2021","AA/AO","Unknown","North East (England)","4320","3620","21470","21010"
"In post","2021","AA/AO","Unknown","North West (England)","6090","5340","21660","21010"
"In post","2021","AA/AO","Unknown","Northern Ireland","440","400","20490","20140"
"In post","2021","AA/AO","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Scotland","5830","5300","22190","21010"
"In post","2021","AA/AO","Unknown","South East (England)","2960","2650","24520","21940"
"In post","2021","AA/AO","Unknown","South West (England)","2000","1800","22170","21010"
"In post","2021","AA/AO","Unknown","Unknown","60","50","22320","21310"
"In post","2021","AA/AO","Unknown","Wales","2930","2570","21100","21010"
"In post","2021","AA/AO","Unknown","West Midlands (England)","2640","2350","21820","21010"
"In post","2021","AA/AO","Unknown","Yorkshire and The Humber","2950","2650","22140","21010"
"In post","2021","EO","Heterosexual / straight","East Midlands (England)","3920","3630","27040","27570"
"In post","2021","EO","Heterosexual / straight","East of England","4990","4600","28200","27570"
"In post","2021","EO","Heterosexual / straight","London","14240","13530","29980","30100"
