"Status","Year","Sexual_orientation","Region_ITL2","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Digital, Data and Technology","50","50","36390","36250"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Finance","90","80","43210","37640"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Human Resources","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Legal","80","80","53040","51120"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Operational Delivery","1470","1370","29820","27850"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Other","150","140","28160","25390"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Policy","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Project Delivery","120","120","41730","39580"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Science and Engineering","110","110","47820","41540"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Security","60","60","25020","22650"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Unknown","850","800","29650","29290"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Commercial","150","150","39160","36890"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Communications","60","60","32620","31290"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data and Technology","180","180","42160","39370"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Finance","250","240","37980","34990"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","110","100","38370","33300"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","International Trade","50","50","44200","38540"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Knowledge and Information Management","60","60","35100","33300"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Legal","150","130","46550","50520"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Medicine","90","80","51210","37890"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","2250","2130","29690","28200"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Other","720","700","26450","21950"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Policy","50","50","41160","38610"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","290","280","40310","35390"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Property","270","270","33770","33150"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Psychology","70","60","37480","31180"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Science and Engineering","170","160","41820","39700"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Security","640","620","34300","33100"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Tax","110","100","37510","35000"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Unknown","890","820","28750","27610"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Digital, Data and Technology","100","100","42330","45480"
"In post","2021","Heterosexual / straight","Cheshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Human Resources","50","50","42290","39940"
"In post","2021","Heterosexual / straight","Cheshire","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Operational Delivery","1680","1620","32340","31180"
"In post","2021","Heterosexual / straight","Cheshire","Other","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Project Delivery","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Unknown","650","590","25580","27570"
"In post","2021","Heterosexual / straight","Cheshire","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Operational Delivery","200","180","26860","25210"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Other","170","160","23460","21130"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Property","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Science and Engineering","70","70","24450","22500"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Security","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Unknown","510","460","26060","27570"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cumbria","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cumbria","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cumbria","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cumbria","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cumbria","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cumbria","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cumbria","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cumbria","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cumbria","Operational Delivery","710","630","26000","23970"
"In post","2021","Heterosexual / straight","Cumbria","Other","80","80","22380","20900"
"In post","2021","Heterosexual / straight","Cumbria","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cumbria","Project Delivery","80","70","41810","37320"
"In post","2021","Heterosexual / straight","Cumbria","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cumbria","Science and Engineering","90","80","37330","35440"
"In post","2021","Heterosexual / straight","Cumbria","Security","60","60","27580","23540"
"In post","2021","Heterosexual / straight","Cumbria","Unknown","170","150","27110","27570"
"In post","2021","Heterosexual / straight","Cumbria","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Commercial","60","50","45420","43130"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Communications","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Digital, Data and Technology","100","90","40010","36520"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Finance","120","120","37300","33310"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Human Resources","230","210","40690","38550"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Inspector of Education and Training","60","60","65280","64500"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Legal","220","200","41730","38630"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Operational Delivery","3650","3380","28050","25560"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Other","160","150","31290","22080"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Policy","190","180","41350","36960"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Project Delivery","140","130","43390","38930"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Property","200","190","39740","38630"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Psychology","80","80","34420","30450"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Science and Engineering","210","200","41240","39390"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Security","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Tax","650","620","35980","31810"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Unknown","1590","1430","27010","27570"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Devon","Commercial","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Devon","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Devon","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Devon","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Devon","Digital, Data and Technology","310","290","39630","38450"
"In post","2021","Heterosexual / straight","Devon","Finance","60","50","39070","37080"
"In post","2021","Heterosexual / straight","Devon","Human Resources","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Devon","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Devon","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Devon","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Devon","Legal","60","50","49470","54600"
"In post","2021","Heterosexual / straight","Devon","Medicine","80","70","46220","37890"
"In post","2021","Heterosexual / straight","Devon","Operational Delivery","1860","1710","27940","25380"
"In post","2021","Heterosexual / straight","Devon","Operational Research","[c]","[c]","[c]","[c]"
