"Status","Year","Ethnicity","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Attorney General's Departments","900","840","42470","40800"
"In post","2021","Asian","Cabinet Office","470","460","45860","40600"
"In post","2021","Asian","Chancellor's other departments","50","50","[c]","[c]"
"In post","2021","Asian","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","110","100","46180","37680"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","720","690","39340","35150"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","130","120","46630","42110"
"In post","2021","Asian","Department for Education","710","690","39700","36780"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","350","340","36050","32560"
"In post","2021","Asian","Department for International Trade","210","210","42710","38540"
"In post","2021","Asian","Department for Transport","520","510","40110","35060"
"In post","2021","Asian","Department for Work and Pensions","7400","6670","27910","27570"
"In post","2021","Asian","Department of Health and Social Care","1150","1090","42210","33350"
"In post","2021","Asian","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","50","50","38640","32830"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","480","460","42700","37270"
"In post","2021","Asian","HM Land Registry","210","190","30840","27130"
"In post","2021","Asian","HM Revenue and Customs","4390","4100","30950","29570"
"In post","2021","Asian","HM Treasury","270","270","44940","39920"
"In post","2021","Asian","Home Office","4500","4160","31280","28810"
"In post","2021","Asian","Ministry of Defence","1340","1300","34330","31950"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","230","220","41030","36340"
"In post","2021","Asian","Ministry of Justice","3950","3660","28550","24440"
"In post","2021","Asian","National Crime Agency","240","230","36250","36200"
"In post","2021","Asian","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Standards in Education","100","100","40850","35010"
"In post","2021","Asian","Office of Gas and Electricity Markets","100","100","44120","39050"
"In post","2021","Asian","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other Cabinet Office Agencies","30","30","[c]","[c]"
"In post","2021","Asian","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Government","180","170","36360","33100"
"In post","2021","Asian","The National Archives","50","40","[c]","[c]"
"In post","2021","Asian","UK Export Finance","60","60","49250","42240"
"In post","2021","Asian","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Asian","United Kingdom Statistics Authority","130","120","30310","29540"
"In post","2021","Asian","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Welsh Government","50","50","[c]","[c]"
"In post","2021","Black","Attorney General's Departments","560","530","40370","32410"
"In post","2021","Black","Cabinet Office","260","250","41960","35590"
"In post","2021","Black","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Black","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Black","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2021","Black","Department for Business, Energy and Industrial Strategy","400","390","38370","34620"
"In post","2021","Black","Department for Digital, Culture, Media and Sport","90","90","40910","34020"
"In post","2021","Black","Department for Education","290","290","39880","36780"
"In post","2021","Black","Department for Environment, Food and Rural Affairs","200","200","35230","32560"
"In post","2021","Black","Department for International Trade","130","130","38750","35560"
"In post","2021","Black","Department for Transport","250","240","37040","35060"
"In post","2021","Black","Department for Work and Pensions","3890","3680","29220","30130"
"In post","2021","Black","Department of Health and Social Care","680","640","39590","33060"
"In post","2021","Black","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Black","Food Standards Agency","50","50","[c]","[c]"
"In post","2021","Black","Foreign, Commonwealth and Development Office","260","260","38450","35030"
"In post","2021","Black","HM Land Registry","60","60","32480","30600"
"In post","2021","Black","HM Revenue and Customs","1460","1400","32110","30430"
"In post","2021","Black","HM Treasury","100","100","38080","32960"
"In post","2021","Black","Home Office","1890","1780","32540","29080"
"In post","2021","Black","Ministry of Defence","760","740","32750","30750"
"In post","2021","Black","Ministry of Housing, Communities and Local Government","150","150","40630","37460"
"In post","2021","Black","Ministry of Justice","3600","3470","29990","27490"
"In post","2021","Black","National Crime Agency","100","100","36660","36200"
"In post","2021","Black","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Office for Standards in Education","60","60","44520","44610"
"In post","2021","Black","Office of Gas and Electricity Markets","60","60","43040","39550"
"In post","2021","Black","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Black","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Black","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Black","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Scottish Government","60","60","37900","32140"
"In post","2021","Black","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Black","UK Export Finance","30","30","[c]","[c]"
"In post","2021","Black","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Black","United Kingdom Statistics Authority","70","60","30210","29540"
"In post","2021","Black","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Black","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Attorney General's Departments","50","40","[c]","[c]"
"In post","2021","Chinese","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Department for Business, Energy and Industrial Strategy","60","60","41360","40050"
"In post","2021","Chinese","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Department for Education","40","30","[c]","[c]"
"In post","2021","Chinese","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Department for Transport","40","30","[c]","[c]"
"In post","2021","Chinese","Department for Work and Pensions","160","140","28630","27570"
"In post","2021","Chinese","Department of Health and Social Care","90","90","49190","42190"
"In post","2021","Chinese","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Foreign, Commonwealth and Development Office","40","40","[c]","[c]"
"In post","2021","Chinese","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","HM Revenue and Customs","180","170","34270","29570"
"In post","2021","Chinese","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Home Office","150","140","31790","28980"
"In post","2021","Chinese","Ministry of Defence","80","70","33310","30440"
"In post","2021","Chinese","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Ministry of Justice","140","130","30990","26830"
"In post","2021","Chinese","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Attorney General's Departments","280","260","46760","50520"
"In post","2021","Mixed","Cabinet Office","190","190","47050","40420"
"In post","2021","Mixed","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2021","Mixed","Department for Business, Energy and Industrial Strategy","290","280","43830","40050"
"In post","2021","Mixed","Department for Digital, Culture, Media and Sport","90","80","45610","42020"
"In post","2021","Mixed","Department for Education","200","190","42190","40300"
"In post","2021","Mixed","Department for Environment, Food and Rural Affairs","190","180","37980","33730"
"In post","2021","Mixed","Department for International Trade","100","100","46460","43600"
"In post","2021","Mixed","Department for Transport","210","200","34720","31210"
"In post","2021","Mixed","Department for Work and Pensions","1640","1540","28370","27570"
"In post","2021","Mixed","Department of Health and Social Care","330","310","41210","37800"
"In post","2021","Mixed","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Foreign, Commonwealth and Development Office","270","270","45460","38860"
"In post","2021","Mixed","HM Land Registry","70","70","28620","27130"
"In post","2021","Mixed","HM Revenue and Customs","750","710","33830","31810"
"In post","2021","Mixed","HM Treasury","110","110","46630","45390"
"In post","2021","Mixed","Home Office","720","670","33310","28940"
"In post","2021","Mixed","Ministry of Defence","610","590","34860","33000"
"In post","2021","Mixed","Ministry of Housing, Communities and Local Government","90","90","41950","39600"
"In post","2021","Mixed","Ministry of Justice","1580","1500","31040","28200"
"In post","2021","Mixed","National Crime Agency","100","100","39450","37850"
"In post","2021","Mixed","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"In post","2021","Mixed","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Scottish Government","120","110","40770","35110"
"In post","2021","Mixed","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","United Kingdom Statistics Authority","90","80","31420","29540"
"In post","2021","Mixed","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Welsh Government","60","60","39540","37410"
"In post","2021","Other ethnicity","Attorney General's Departments","130","120","50810","52290"
"In post","2021","Other ethnicity","Cabinet Office","70","70","46530","38700"
"In post","2021","Other ethnicity","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Department for Business, Energy and Industrial Strategy","100","100","43130","40050"
"In post","2021","Other ethnicity","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Department for Education","60","60","45220","40510"
"In post","2021","Other ethnicity","Department for Environment, Food and Rural Affairs","60","50","38840","33120"
"In post","2021","Other ethnicity","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Department for Transport","60","60","38150","34880"
"In post","2021","Other ethnicity","Department for Work and Pensions","480","440","30090","27570"
"In post","2021","Other ethnicity","Department of Health and Social Care","130","120","51510","43690"
"In post","2021","Other ethnicity","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Foreign, Commonwealth and Development Office","100","90","43790","37560"
"In post","2021","Other ethnicity","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","HM Revenue and Customs","220","210","34880","31810"
"In post","2021","Other ethnicity","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Home Office","210","200","32080","28670"
"In post","2021","Other ethnicity","Ministry of Defence","220","210","34390","30420"
"In post","2021","Other ethnicity","Ministry of Housing, Communities and Local Government","30","30","[c]","[c]"
"In post","2021","Other ethnicity","Ministry of Justice","410","380","30690","28180"
"In post","2021","Other ethnicity","National Crime Agency","40","30","[c]","[c]"
"In post","2021","Other ethnicity","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Other Cabinet Office Agencies","40","40","[c]","[c]"
"In post","2021","Other ethnicity","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Scottish Government","40","40","[c]","[c]"
"In post","2021","Other ethnicity","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Attorney General's Departments","160","150","44300","45220"
"In post","2021","Undeclared","Cabinet Office","230","230","47670","42740"
"In post","2021","Undeclared","Chancellor's other departments","40","40","[c]","[c]"
"In post","2021","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Department for Business, Energy and Industrial Strategy","620","590","44720","41900"
"In post","2021","Undeclared","Department for Digital, Culture, Media and Sport","50","50","[c]","[c]"
"In post","2021","Undeclared","Department for Education","290","280","44110","40300"
"In post","2021","Undeclared","Department for Environment, Food and Rural Affairs","450","430","35640","31900"
"In post","2021","Undeclared","Department for International Trade","70","70","44750","39670"
"In post","2021","Undeclared","Department for Transport","1060","1010","33260","29730"
"In post","2021","Undeclared","Department for Work and Pensions","4530","4010","28290","27570"
"In post","2021","Undeclared","Department of Health and Social Care","570","520","45980","40850"
"In post","2021","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Foreign, Commonwealth and Development Office","340","330","47750","42890"
"In post","2021","Undeclared","HM Land Registry","250","220","33480","33840"
"In post","2021","Undeclared","HM Revenue and Customs","2650","2430","34090","31810"
"In post","2021","Undeclared","HM Treasury","120","120","45400","40890"
"In post","2021","Undeclared","Home Office","2130","1970","33070","28990"
"In post","2021","Undeclared","Ministry of Defence","3360","3260","36380","34990"
"In post","2021","Undeclared","Ministry of Housing, Communities and Local Government","110","110","45910","46120"
"In post","2021","Undeclared","Ministry of Justice","2110","1990","30160","27380"
"In post","2021","Undeclared","National Crime Agency","190","180","36290","36200"
"In post","2021","Undeclared","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of Gas and Electricity Markets","80","80","46870","38240"
"In post","2021","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of Rail and Road","30","30","[c]","[c]"
"In post","2021","Undeclared","Other Cabinet Office Agencies","50","50","41660","38600"
"In post","2021","Undeclared","Scottish Government","660","620","37100","33650"
"In post","2021","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","UK Supreme Court","[c]","[c]","[c]","[c]"
