"Status","Year","Organisation","Ethnicity","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","White","Heterosexual / straight","80","70","32830","29190"
"In post","2021","Accountant in Bankruptcy","White","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","White","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Asian","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Black","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Undeclared","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Unknown","250","240","28540","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","White","Heterosexual / straight","530","490","34930","34390"
"In post","2021","Advisory, Conciliation and Arbitration Service","White","LGBO","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","White","Undeclared","80","70","36310","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Asian","Heterosexual / straight","50","50","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","Undeclared","120","110","32680","30110"
