"Status","Year","Parent_department","Region_ITL1","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","East Midlands (England)","Asian","50","50","36170","28430"
"In post","2021","Attorney General's Departments","East Midlands (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Unknown","50","40","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","White","300","280","39370","34480"
"In post","2021","Attorney General's Departments","East of England","Asian","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Unknown","50","40","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","White","360","320","40210","33290"
"In post","2021","Attorney General's Departments","London","Asian","590","550","44340","43920"
"In post","2021","Attorney General's Departments","London","Black","440","420","40550","32160"
"In post","2021","Attorney General's Departments","London","Chinese","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Mixed","170","160","49120","51250"
"In post","2021","Attorney General's Departments","London","Other ethnicity","110","100","52310","52730"
"In post","2021","Attorney General's Departments","London","Undeclared","90","90","48700","50520"
"In post","2021","Attorney General's Departments","London","Unknown","650","610","51190","52100"
"In post","2021","Attorney General's Departments","London","White","2600","2440","52660","51830"
"In post","2021","Attorney General's Departments","North East (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","White","310","280","38050","32370"
"In post","2021","Attorney General's Departments","North West (England)","Asian","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Unknown","110","100","40310","34480"
"In post","2021","Attorney General's Departments","North West (England)","White","790","740","39130","33310"
"In post","2021","Attorney General's Departments","Overseas","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","White","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Scotland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Scotland","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Scotland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Scotland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Scotland","White","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Unknown","70","60","36160","30110"
"In post","2021","Attorney General's Departments","South East (England)","White","540","500","43240","40000"
"In post","2021","Attorney General's Departments","South West (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South West (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South West (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South West (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South West (England)","Unknown","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","South West (England)","White","280","260","41140","38890"
"In post","2021","Attorney General's Departments","Wales","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Wales","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Wales","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Wales","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Wales","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Wales","Unknown","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Wales","White","300","280","40550","38000"
"In post","2021","Attorney General's Departments","West Midlands (England)","Asian","100","90","36280","28430"
"In post","2021","Attorney General's Departments","West Midlands (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
