"Status","Year","Function_of_post","Responsibility_level","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","AA/AO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Unknown","40","40","[c]","[c]"
"In post","2021","Analysis","AA/AO","White","130","120","21310","21050"
"In post","2021","Analysis","EO","Asian","50","50","27690","27680"
"In post","2021","Analysis","EO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Unknown","120","110","25990","25880"
"In post","2021","Analysis","EO","White","490","460","26200","25800"
"In post","2021","Analysis","G6/G7","Asian","130","130","59230","58820"
"In post","2021","Analysis","G6/G7","Black","30","30","[c]","[c]"
"In post","2021","Analysis","G6/G7","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Mixed","60","60","58100","55430"
"In post","2021","Analysis","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Undeclared","100","90","58210","56350"
"In post","2021","Analysis","G6/G7","Unknown","300","290","57160","54760"
"In post","2021","Analysis","G6/G7","White","1750","1670","58510","56410"
"In post","2021","Analysis","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","White","140","130","88320","78830"
"In post","2021","Analysis","SEO/HEO","Asian","220","210","37000","36160"
"In post","2021","Analysis","SEO/HEO","Black","110","110","37580","36800"
"In post","2021","Analysis","SEO/HEO","Chinese","40","40","[c]","[c]"
