"Status","Year","Region_ITL2","Responsibility_level","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Heterosexual / straight","880","820","24300","22650"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","LGBO","50","50","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Undeclared","110","100","23930","22430"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Unknown","230","210","24740","22980"
"In post","2021","Bedfordshire and Hertfordshire","EO","Heterosexual / straight","1150","1070","28890","29290"
"In post","2021","Bedfordshire and Hertfordshire","EO","LGBO","60","50","28930","29290"
"In post","2021","Bedfordshire and Hertfordshire","EO","Undeclared","150","130","29490","29290"
"In post","2021","Bedfordshire and Hertfordshire","EO","Unknown","260","230","29380","29290"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Heterosexual / straight","220","210","60690","59730"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Undeclared","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Unknown","70","60","59270","56560"
"In post","2021","Bedfordshire and Hertfordshire","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Heterosexual / straight","720","700","38570","37640"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Undeclared","110","110","38930","37920"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Unknown","150","140","38820","39000"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Heterosexual / straight","210","200","28900","28200"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Heterosexual / straight","2370","2270","25200","22920"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","LGBO","150","150","26320","24750"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Undeclared","320","300","26560","23200"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Unknown","730","700","26140","25110"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Heterosexual / straight","1690","1610","29060","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","LGBO","100","100","29490","29140"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Undeclared","220","210","30220","28670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Unknown","400","370","29640","28130"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Heterosexual / straight","520","490","60080","57260"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Undeclared","60","50","60930","56520"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Unknown","170","150","59460","57300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","Heterosexual / straight","40","40","[c]","[c]"
